source_index|h_power|x_power|y_power|expr
0|0|0|11|-11*h_0_11^2*A3_1_3*B2_0_11+11*h_0_10*A3_1_3*B2_0_11+11*h_0_11*A3_1_2*B2_0_11+10*h_0_11*A3_1_3*B2_0_10-11*A3_1_1*B2_0_11-10*A3_1_2*B2_0_10-9*A3_1_3*B2_0_9
1|0|0|10|-11*h_0_11*h_0_10*A3_1_3*B2_0_11+11*h_0_9*A3_1_3*B2_0_11+11*h_0_10*A3_1_2*B2_0_11+10*h_0_10*A3_1_3*B2_0_10-11*A3_1_0*B2_0_11-10*A3_1_1*B2_0_10-9*A3_1_2*B2_0_9-8*A3_1_3*B2_0_8
2|0|0|9|-11*h_0_11*h_0_9*A3_1_3*B2_0_11+11*h_0_8*A3_1_3*B2_0_11+11*h_0_9*A3_1_2*B2_0_11+10*h_0_9*A3_1_3*B2_0_10-10*A3_1_0*B2_0_10-9*A3_1_1*B2_0_9-8*A3_1_2*B2_0_8-7*A3_1_3*B2_0_7
3|0|0|8|-11*h_0_11*h_0_8*A3_1_3*B2_0_11+11*h_0_7*A3_1_3*B2_0_11+11*h_0_8*A3_1_2*B2_0_11+10*h_0_8*A3_1_3*B2_0_10-9*A3_1_0*B2_0_9-8*A3_1_1*B2_0_8-7*A3_1_2*B2_0_7-6*A3_1_3*B2_0_6
4|0|0|7|-11*h_0_11*h_0_7*A3_1_3*B2_0_11+11*h_0_6*A3_1_3*B2_0_11+11*h_0_7*A3_1_2*B2_0_11+10*h_0_7*A3_1_3*B2_0_10-8*A3_1_0*B2_0_8-7*A3_1_1*B2_0_7-6*A3_1_2*B2_0_6-5*A3_1_3*B2_0_5
5|0|0|6|-11*h_0_11*h_0_6*A3_1_3*B2_0_11+11*h_0_5*A3_1_3*B2_0_11+11*h_0_6*A3_1_2*B2_0_11+10*h_0_6*A3_1_3*B2_0_10-7*A3_1_0*B2_0_7-6*A3_1_1*B2_0_6-5*A3_1_2*B2_0_5-4*A3_1_3*B2_0_4
6|0|0|5|-11*h_0_11*h_0_5*A3_1_3*B2_0_11+11*h_0_4*A3_1_3*B2_0_11+11*h_0_5*A3_1_2*B2_0_11+10*h_0_5*A3_1_3*B2_0_10-6*A3_1_0*B2_0_6-5*A3_1_1*B2_0_5-4*A3_1_2*B2_0_4-3*A3_1_3*B2_0_3
7|0|0|4|-11*h_0_11*h_0_4*A3_1_3*B2_0_11+11*h_0_3*A3_1_3*B2_0_11+11*h_0_4*A3_1_2*B2_0_11+10*h_0_4*A3_1_3*B2_0_10-5*A3_1_0*B2_0_5-4*A3_1_1*B2_0_4-3*A3_1_2*B2_0_3-2*A3_1_3*B2_0_2
8|0|0|3|-11*h_0_11*h_0_3*A3_1_3*B2_0_11+11*h_0_2*A3_1_3*B2_0_11+11*h_0_3*A3_1_2*B2_0_11+10*h_0_3*A3_1_3*B2_0_10-4*A3_1_0*B2_0_4-3*A3_1_1*B2_0_3-2*A3_1_2*B2_0_2-A3_1_3*B2_0_1
9|0|0|2|-11*h_0_11*h_0_2*A3_1_3*B2_0_11+11*h_0_1*A3_1_3*B2_0_11+11*h_0_2*A3_1_2*B2_0_11+10*h_0_2*A3_1_3*B2_0_10-3*A3_1_0*B2_0_3-2*A3_1_1*B2_0_2-A3_1_2*B2_0_1
