CENSUS-REBASE: every group surviving Moh (1)-(13) + the pinned-N knapsack
(N integral, 6 <= N <= 16, mixed form) at 48 <= D <= 120.
columns: D | m | M_2..M_s | V_s | K | (d,e) | u | per-branch (V, q, delta_1) | achievable N under (UNI) in [6,16]

---- D = 105 : 3 surviving groups ----
D=105 m=70 M=[28, 103] V_s=5 K=35 (d,e)=(2,3) u=25 | (V={2: 1, 3: 5},q=1/2,d1=7/12) | N=[6, 7, 8, 9, 10, 11, 12]
D=105 m=70 M=[28, 103] V_s=6 K=35 (d,e)=(2,3) u=30 | (V={2: 1, 3: 6},q=9/13,d1=11/26) | N=[9]
D=105 m=70 M=[40, 103] V_s=4 K=35 (d,e)=(2,3) u=28 | (V={2: 1, 3: 4},q=9/17,d1=19/34) | N=[9]

---- D = 108 : 76 surviving groups ----
D=108 m=72 M=[-60, -40, 106] V_s=3 K=36 (d,e)=(2,3) u=27 | (V={2: 1, 3: 9, 4: 3},q=99/125,d1=17/50) (V={2: 2, 3: 9, 4: 3},q=4/5,d1=1/3) | N=[8, 16]
D=108 m=72 M=[-60, -20, 106] V_s=3 K=36 (d,e)=(2,3) u=27 | (V={2: 1, 3: 9, 4: 3},q=99/125,d1=17/50) (V={2: 2, 3: 9, 4: 3},q=4/5,d1=1/3) | N=[8, 16]
D=108 m=72 M=[-60, 20, 106] V_s=3 K=36 (d,e)=(2,3) u=27 | (V={2: 1, 3: 9, 4: 3},q=99/125,d1=17/50) (V={2: 2, 3: 9, 4: 3},q=4/5,d1=1/3) | N=[8, 16]
D=108 m=72 M=[-60, 40, 106] V_s=3 K=36 (d,e)=(2,3) u=27 | (V={2: 1, 3: 9, 4: 3},q=99/125,d1=17/50) (V={2: 2, 3: 9, 4: 3},q=4/5,d1=1/3) | N=[8, 16]
D=108 m=72 M=[-60, 80, 106] V_s=3 K=36 (d,e)=(2,3) u=27 | (V={2: 1, 3: 9, 4: 3},q=99/125,d1=17/50) (V={2: 2, 3: 9, 4: 3},q=4/5,d1=1/3) | N=[8, 16]
D=108 m=72 M=[-60, 100, 106] V_s=3 K=36 (d,e)=(2,3) u=27 | (V={2: 1, 3: 4, 4: 3},q=3/5,d1=1/2) (V={2: 1, 3: 9, 4: 3},q=99/125,d1=17/50) (V={2: 2, 3: 9, 4: 3},q=4/5,d1=1/3) | N=[6, 8, 9, 12, 15, 16]
D=108 m=72 M=[-48, 68, 106] V_s=3 K=36 (d,e)=(2,3) u=27 | (V={2: 1, 3: 9, 4: 3},q=45/58,d1=41/116) (V={2: 2, 3: 9, 4: 3},q=23/29,d1=59/174) | N=[]
D=108 m=72 M=[-48, 102, 106] V_s=5 K=36 (d,e)=(2,3) u=30 | (V={2: 1, 3: 7, 4: 5},q=5/6,d1=11/36) | N=[10, 15]
D=108 m=72 M=[-24, 4, 106] V_s=3 K=36 (d,e)=(2,3) u=27 | (V={2: 1, 3: 9, 4: 3},q=36/49,d1=19/49) (V={2: 2, 3: 9, 4: 3},q=38/49,d1=52/147) (V={2: 20, 3: 9, 4: 3},q=62/77,d1=76/231) | N=[]
D=108 m=72 M=[-24, 32, 106] V_s=3 K=36 (d,e)=(2,3) u=27 | (V={2: 1, 3: 9, 4: 3},q=36/49,d1=19/49) (V={2: 2, 3: 9, 4: 3},q=38/49,d1=52/147) | N=[]
D=108 m=72 M=[-24, 88, 106] V_s=3 K=36 (d,e)=(2,3) u=27 | (V={2: 1, 3: 2, 4: 3},q=4/7,d1=11/21) (V={2: 1, 3: 9, 4: 3},q=36/49,d1=19/49) (V={2: 2, 3: 9, 4: 3},q=38/49,d1=52/147) | N=[8, 12]
D=108 m=72 M=[-24, 102, 106] V_s=4 K=36 (d,e)=(2,3) u=24 | (V={2: 1, 3: 5, 4: 4},q=4/9,d1=17/27) | N=[8]
D=108 m=72 M=[-24, 102, 106] V_s=5 K=36 (d,e)=(2,3) u=30 | (V={2: 1, 3: 9, 4: 5},q=6/7,d1=2/7) | N=[6, 12]
D=108 m=72 M=[-24, 104, 106] V_s=3 K=36 (d,e)=(2,3) u=27 | (V={2: 1, 3: 7, 4: 3},q=12/19,d1=9/19) | N=[12]
D=108 m=72 M=[-24, 106] V_s=11 K=36 (d,e)=(2,3) u=33 | (V={2: 1, 3: 11},q=1,d1=1/6) | N=[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]
D=108 m=72 M=[-18, 30, 106] V_s=5 K=36 (d,e)=(2,3) u=30 | (V={2: 1, 3: 15, 4: 5},q=45/52,d1=29/104) (V={2: 2, 3: 15, 4: 5},q=12/13,d1=3/13) | N=[]
D=108 m=72 M=[-18, 78, 106] V_s=5 K=36 (d,e)=(2,3) u=30 | (V={2: 2, 3: 1, 4: 5},q=4/9,d1=17/27) (V={2: 2, 3: 15, 4: 5},q=12/13,d1=3/13) | N=[8]
D=108 m=72 M=[-18, 81, 106] V_s=7 K=36 (d,e)=(2,3) u=28 | (V={2: 2, 3: 1, 4: 7},q=1/3,d1=13/18) | N=[6, 8]
D=108 m=72 M=[-18, 99, 106] V_s=7 K=36 (d,e)=(2,3) u=28 | (V={2: 1, 3: 8, 4: 7},q=15/22,d1=19/44) | N=[15]
D=108 m=72 M=[-18, 99, 106] V_s=8 K=36 (d,e)=(2,3) u=32 | (V={2: 2, 3: 15, 4: 8},q=1,d1=1/6) | N=[6, 8, 10, 12, 14, 16]
D=108 m=72 M=[-18, 102, 106] V_s=5 K=36 (d,e)=(2,3) u=30 | (V={2: 1, 3: 11, 4: 5},q=15/19,d1=13/38) (V={2: 2, 3: 7, 4: 5},q=2/3,d1=4/9) (V={2: 2, 3: 13, 4: 5},q=8/9,d1=7/27) | N=[8, 12, 15, 16]
