row	tuple	K	u	dprime	eprime	delta1	chart	top	unknowns	equations	sanity_deg_x_J	modular	exact
(64,48)	(16,12;13;3;1)	4	1	3	4	1/4	k16_hadic_order	fixed	18	23	5	32003:SATURATED-EMPTY,32009:SATURATED-EMPTY,32027:SATURATED-EMPTY	SATURATED-EMPTY
(75,50) V2=2	(15,10;11;2;2)	5	3	2	3	4/3	d2e3_ab	fixed	14	34	6	32003:SATURATED-EMPTY,32009:SATURATED-EMPTY,32027:SATURATED-EMPTY	SATURATED-EMPTY
(75,50) V2=3	(15,10;11;3;2)	5	2	2	3	1/2	d2e3_ab	fixed	13	22	4	32003:SATURATED-EMPTY,32009:SATURATED-EMPTY,32027:SATURATED-EMPTY	SATURATED-EMPTY
(84,56)	(21,14;18;5;1)	7	2	2	3	1/3	d2e3_ab	fixed	16	31	4	32003:SATURATED-EMPTY,32009:SATURATED-EMPTY,32027:SATURATED-EMPTY	SATURATED-EMPTY
(112,80)	(28,20;25;3;1)	4	1	5	7	2/7	k16_hadic_order	fixed	27	37	9	32003:SATURATED-EMPTY,32009:SATURATED-EMPTY,32027:SATURATED-EMPTY	SATURATED-EMPTY
(132,88)	(33,22;30;8;1)	11	3	2	3	1/3	d2e3_ab	D1-only	31	None			COUNTING-BOUND
(147,98)	(21,14;15;6;4)	7	1	2	3	0	d2e3_ab	fixed	18	0	2		INSTRUMENT-FAIL
(168,112) drop1	(24,16;18;7;4)	8	1	2	3	0	d2e3_ab	fixed	20	0	2		INSTRUMENT-FAIL
(180,120) drop1	(45,30;42;11;1)	15	4	2	3	1/3	d2e3_ab	D1-only	48	None			COUNTING-BOUND
(189,126) drop1	(27,18;21;8;4)	9	1	2	3	0	d2e3_ab	fixed	22	0	2		INSTRUMENT-FAIL
