step|row_slot|variable|unit|row_terms|rhs_terms|rhs
1|43|A1_1_7|18|1|0|0
2|83|A1_2_5|36|1|0|0
3|121|A1_3_3|54|1|0|0
4|157|A1_4_1|72|1|0|0
5|42|A1_1_6|18|2|1|8/9*h_1_7*A1_0_8
6|190|A2_5_8|90|2|1|3/2*B2_5_8
7|222|A2_6_6|108|2|1|3/2*B2_6_6
8|252|A2_7_4|126|2|1|3/2*B2_7_4
9|280|A2_8_2|144|2|1|3/2*B2_8_2
10|306|A2_9_0|162|2|1|3/2*B2_9_0
11|330|A3_10_7|180|2|1|3/8*B2_5_8^2
12|81|A1_2_4|36|3|2|-4/81*h_1_7^2*A1_0_8+8/9*h_2_5*A1_0_8
13|351|A3_11_5|198|3|2|-3/8*h_1_7*B2_5_8^2+3/4*B2_5_8*B2_6_6
14|41|A1_1_5|18|4|3|-64/81*h_0_8*h_1_7*A1_0_8+7/9*h_1_7*A1_0_7+8/9*h_1_6*A1_0_8
15|117|A1_3_2|54|4|3|40/2187*h_1_7^3*A1_0_8-8/81*h_1_7*h_2_5*A1_0_8+8/9*h_3_3*A1_0_8
16|152|A1_4_0|72|6|5|-190/19683*h_1_7^4*A1_0_8+40/729*h_1_7^2*h_2_5*A1_0_8-8/81*h_1_7*h_3_3*A1_0_8-4/81*h_2_5^2*A1_0_8+8/9*h_4_1*A1_0_8
17|368|A3_12_3|216|6|5|3/8*h_1_7^2*B2_5_8^2-3/4*h_1_7*B2_5_8*B2_6_6-3/8*h_2_5*B2_5_8^2+3/4*B2_5_8*B2_7_4+3/8*B2_6_6^2
18|79|A1_2_3|36|7|6|32/243*h_0_8*h_1_7^2*A1_0_8-64/81*h_0_8*h_2_5*A1_0_8-7/81*h_1_7^2*A1_0_7-8/81*h_1_7*h_1_6*A1_0_8+7/9*h_2_5*A1_0_7+8/9*h_2_4*A1_0_8
19|40|A1_1_4|18|8|7|512/729*h_0_8^2*h_1_7*A1_0_8-56/81*h_0_8*h_1_7*A1_0_7-64/81*h_0_8*h_1_6*A1_0_8-56/81*h_0_7*h_1_7*A1_0_8+2/3*h_1_7*A1_0_6+7/9*h_1_6*A1_0_7+8/9*h_1_5*A1_0_8
20|183|A2_5_7|90|9|8|1064/177147*h_1_7^5*A1_0_8-760/19683*h_1_7^3*h_2_5*A1_0_8+40/729*h_1_7^2*h_3_3*A1_0_8+40/729*h_1_7*h_2_5^2*A1_0_8-8/81*h_1_7*h_4_1*A1_0_8-8/81*h_2_5*h_3_3*A1_0_8+13/9*A1_0_8*B2_5_8+3/2*B2_5_7
21|383|A3_13_1|234|10|9|-3/8*h_1_7^3*B2_5_8^2+3/4*h_1_7^2*B2_5_8*B2_6_6+3/4*h_1_7*h_2_5*B2_5_8^2-3/4*h_1_7*B2_5_8*B2_7_4-3/8*h_1_7*B2_6_6^2-3/4*h_2_5*B2_5_8*B2_6_6-3/8*h_3_3*B2_5_8^2+3/4*B2_5_8*B2_8_2+3/4*B2_6_6*B2_7_4
22|114|A1_3_1|54|11|10|-1376/19683*h_0_8*h_1_7^3*A1_0_8+64/243*h_0_8*h_1_7*h_2_5*A1_0_8+77/2187*h_1_7^3*A1_0_7+40/729*h_1_7^2*h_1_6*A1_0_8-64/81*h_0_8*h_3_3*A1_0_8-14/81*h_1_7*h_2_5*A1_0_7-8/81*h_1_7*h_2_4*A1_0_8-8/81*h_1_6*h_2_5*A1_0_8+7/9*h_3_3*A1_0_7+8/9*h_3_2*A1_0_8
23|213|A2_6_5|108|13|12|9044/4782969*h_1_7^6*A1_0_8-1520/177147*h_1_7^4*h_2_5*A1_0_8+320/19683*h_1_7^3*h_3_3*A1_0_8-20/6561*h_1_7^2*h_2_5^2*A1_0_8-32/729*h_1_7^2*h_4_1*A1_0_8+8/729*h_1_7*h_2_5*h_3_3*A1_0_8+40/2187*h_2_5^3*A1_0_8-13/81*h_1_7*A1_0_8*B2_5_8-8/81*h_2_5*h_4_1*A1_0_8-4/81*h_3_3^2*A1_0_8+13/9*A1_0_8*B2_6_6+3/2*B2_6_5
24|39|A1_1_3|18|15|14|-4096/6561*h_0_8^3*h_1_7*A1_0_8+448/729*h_0_8^2*h_1_7*A1_0_7+512/729*h_0_8^2*h_1_6*A1_0_8+896/729*h_0_8*h_0_7*h_1_7*A1_0_8-16/27*h_0_8*h_1_7*A1_0_6-56/81*h_0_8*h_1_6*A1_0_7-64/81*h_0_8*h_1_5*A1_0_8-49/81*h_0_7*h_1_7*A1_0_7-56/81*h_0_7*h_1_6*A1_0_8-16/27*h_1_7*h_0_6*A1_0_8+5/9*h_1_7*A1_0_5+2/3*h_1_6*A1_0_6+7/9*h_1_5*A1_0_7+8/9*h_1_4*A1_0_8
25|76|A1_2_2|36|16|15|-512/2187*h_0_8^2*h_1_7^2*A1_0_8+512/729*h_0_8^2*h_2_5*A1_0_8+140/729*h_0_8*h_1_7^2*A1_0_7+64/243*h_0_8*h_1_7*h_1_6*A1_0_8+112/729*h_0_7*h_1_7^2*A1_0_8-56/81*h_0_8*h_2_5*A1_0_7-64/81*h_0_8*h_2_4*A1_0_8-56/81*h_0_7*h_2_5*A1_0_8-1/9*h_1_7^2*A1_0_6-14/81*h_1_7*h_1_6*A1_0_7-8/81*h_1_7*h_1_5*A1_0_8-4/81*h_1_6^2*A1_0_8+2/3*h_2_5*A1_0_6+7/9*h_2_4*A1_0_7+8/9*h_2_3*A1_0_8
26|240|A2_7_3|126|17|16|-47804/43046721*h_1_7^7*A1_0_8+18088/1594323*h_1_7^5*h_2_5*A1_0_8-1520/177147*h_1_7^4*h_3_3*A1_0_8-6460/177147*h_1_7^3*h_2_5^2*A1_0_8+320/19683*h_1_7^3*h_4_1*A1_0_8+320/6561*h_1_7^2*h_2_5*h_3_3*A1_0_8+680/19683*h_1_7*h_2_5^3*A1_0_8+65/729*h_1_7^2*A1_0_8*B2_5_8-64/729*h_1_7*h_2_5*h_4_1*A1_0_8+4/729*h_1_7*h_3_3^2*A1_0_8-32/729*h_2_5^2*h_3_3*A1_0_8-13/81*h_1_7*A1_0_8*B2_6_6-13/81*h_2_5*A1_0_8*B2_5_8-8/81*h_3_3*h_4_1*A1_0_8+13/9*A1_0_8*B2_7_4+3/2*B2_7_3
27|146|A2_4_8|72|19|18|2800/59049*h_0_8*h_1_7^4*A1_0_8-1376/6561*h_0_8*h_1_7^2*h_2_5*A1_0_8-385/19683*h_1_7^4*A1_0_7-760/19683*h_1_7^3*h_1_6*A1_0_8+64/243*h_0_8*h_1_7*h_3_3*A1_0_8+32/243*h_0_8*h_2_5^2*A1_0_8+77/729*h_1_7^2*h_2_5*A1_0_7+40/729*h_1_7^2*h_2_4*A1_0_8+80/729*h_1_7*h_1_6*h_2_5*A1_0_8-64/81*h_0_8*h_4_1*A1_0_8-14/81*h_1_7*h_3_3*A1_0_7-8/81*h_1_7*h_3_2*A1_0_8-8/81*h_1_6*h_3_3*A1_0_8-7/81*h_2_5^2*A1_0_7-8/81*h_2_5*h_2_4*A1_0_8+7/9*h_4_1*A1_0_7+8/9*h_4_0*A1_0_8+3/2*B2_4_8
28|266|A2_8_1|144|24|23|274873/387420489*h_1_7^8*A1_0_8-334628/43046721*h_1_7^6*h_2_5*A1_0_8+18088/1594323*h_1_7^5*h_3_3*A1_0_8+45220/1594323*h_1_7^4*h_2_5^2*A1_0_8-1520/177147*h_1_7^4*h_4_1*A1_0_8-12920/177147*h_1_7^3*h_2_5*h_3_3*A1_0_8-6460/177147*h_1_7^2*h_2_5^3*A1_0_8-1235/19683*h_1_7^3*A1_0_8*B2_5_8+320/6561*h_1_7^2*h_2_5*h_4_1*A1_0_8+340/6561*h_1_7^2*h_3_3^2*A1_0_8+680/6561*h_1_7*h_2_5^2*h_3_3*A1_0_8+170/19683*h_2_5^4*A1_0_8+65/729*h_1_7^2*A1_0_8*B2_6_6+130/729*h_1_7*h_2_5*A1_0_8*B2_5_8-64/729*h_1_7*h_3_3*h_4_1*A1_0_8-32/729*h_2_5^2*h_4_1*A1_0_8-68/729*h_2_5*h_3_3^2*A1_0_8-13/81*h_1_7*A1_0_8*B2_7_4-13/81*h_2_5*A1_0_8*B2_6_6-13/81*h_3_3*A1_0_8*B2_5_8-4/81*h_4_1^2*A1_0_8+13/9*A1_0_8*B2_8_2+3/2*B2_8_1
29|38|A1_1_2|18|27|26|32768/59049*h_0_8^4*h_1_7*A1_0_8-3584/6561*h_0_8^3*h_1_7*A1_0_7-4096/6561*h_0_8^3*h_1_6*A1_0_8-3584/2187*h_0_8^2*h_0_7*h_1_7*A1_0_8+128/243*h_0_8^2*h_1_7*A1_0_6+448/729*h_0_8^2*h_1_6*A1_0_7+512/729*h_0_8^2*h_1_5*A1_0_8+784/729*h_0_8*h_0_7*h_1_7*A1_0_7+896/729*h_0_8*h_0_7*h_1_6*A1_0_8+256/243*h_0_8*h_1_7*h_0_6*A1_0_8+392/729*h_0_7^2*h_1_7*A1_0_8-40/81*h_0_8*h_1_7*A1_0_5-16/27*h_0_8*h_1_6*A1_0_6-56/81*h_0_8*h_1_5*A1_0_7-64/81*h_0_8*h_1_4*A1_0_8-14/27*h_0_7*h_1_7*A1_0_6-49/81*h_0_7*h_1_6*A1_0_7-56/81*h_0_7*h_1_5*A1_0_8-14/27*h_1_7*h_0_6*A1_0_7-40/81*h_1_7*h_0_5*A1_0_8-16/27*h_0_6*h_1_6*A1_0_8+4/9*h_1_7*A1_0_4+5/9*h_1_6*A1_0_5+2/3*h_1_5*A1_0_6+7/9*h_1_4*A1_0_7+8/9*h_1_3*A1_0_8
30|110|A1_3_0|54|27|26|29440/177147*h_0_8^2*h_1_7^3*A1_0_8-1024/2187*h_0_8^2*h_1_7*h_2_5*A1_0_8-2296/19683*h_0_8*h_1_7^3*A1_0_7-1376/6561*h_0_8*h_1_7^2*h_1_6*A1_0_8-1624/19683*h_0_7*h_1_7^3*A1_0_8+512/729*h_0_8^2*h_3_3*A1_0_8+280/729*h_0_8*h_1_7*h_2_5*A1_0_7+64/243*h_0_8*h_1_7*h_2_4*A1_0_8+64/243*h_0_8*h_1_6*h_2_5*A1_0_8+224/729*h_0_7*h_1_7*h_2_5*A1_0_8+4/81*h_1_7^3*A1_0_6+77/729*h_1_7^2*h_1_6*A1_0_7+40/729*h_1_7^2*h_1_5*A1_0_8+40/729*h_1_7*h_1_6^2*A1_0_8-56/81*h_0_8*h_3_3*A1_0_7-64/81*h_0_8*h_3_2*A1_0_8-56/81*h_0_7*h_3_3*A1_0_8-2/9*h_1_7*h_2_5*A1_0_6-14/81*h_1_7*h_2_4*A1_0_7-8/81*h_1_7*h_2_3*A1_0_8-14/81*h_1_6*h_2_5*A1_0_7-8/81*h_1_6*h_2_4*A1_0_8-8/81*h_1_5*h_2_5*A1_0_8+2/3*h_3_3*A1_0_6+7/9*h_3_2*A1_0_7+8/9*h_3_1*A1_0_8
