step|x_power|y_power|derivative_scalar_check|image_zero_check
1|0|42|PASS|PASS
2|1|40|PASS|PASS
3|2|38|PASS|PASS
4|3|36|PASS|PASS
5|0|41|PASS|PASS
6|4|34|PASS|PASS
7|5|32|PASS|PASS
8|6|30|PASS|PASS
9|7|28|PASS|PASS
10|8|26|PASS|PASS
11|9|24|PASS|PASS
12|1|39|PASS|PASS
13|10|22|PASS|PASS
14|0|40|PASS|PASS
15|2|37|PASS|PASS
16|3|35|PASS|PASS
17|11|20|PASS|PASS
18|1|38|PASS|PASS
19|0|39|PASS|PASS
20|4|33|PASS|PASS
21|12|18|PASS|PASS
22|2|36|PASS|PASS
23|5|31|PASS|PASS
24|0|38|PASS|PASS
25|1|37|PASS|PASS
26|6|29|PASS|PASS
27|3|34|PASS|PASS
28|7|27|PASS|PASS
29|0|37|PASS|PASS
30|2|35|PASS|PASS
31|4|32|PASS|PASS
32|8|25|PASS|PASS
33|1|36|PASS|PASS
34|5|30|PASS|PASS
35|9|23|PASS|PASS
36|0|36|PASS|PASS
37|3|33|PASS|PASS
38|2|34|PASS|PASS
39|1|35|PASS|PASS
40|10|21|PASS|PASS
41|6|28|PASS|PASS
42|4|31|PASS|PASS
43|0|35|PASS|PASS
44|11|19|PASS|PASS
45|7|26|PASS|PASS
46|3|32|PASS|PASS
47|1|34|PASS|PASS
48|2|33|PASS|PASS
49|5|29|PASS|PASS
50|0|34|PASS|PASS
51|12|17|PASS|PASS
52|8|24|PASS|PASS
53|4|30|PASS|PASS
