step|row_slot|variable|unit|row_terms|rhs_terms|rhs_sha256
1|43|A1_1_7|18|1|0|5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9
2|83|A1_2_5|36|1|0|5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9
3|121|A1_3_3|54|1|0|5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9
4|157|A1_4_1|72|1|0|5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9
5|42|A1_1_6|18|2|1|03a8e6abfcb9ab94c1d81e67a52997fb00d14541d09da04a52ffeda2ddf2513b
6|190|A2_5_8|90|2|1|1df8da05626d323a351e75379abdbe84a2ae7817d42ffced85b0f78e9bc3b356
7|222|A2_6_6|108|2|1|8f11b605fde5a4f0ef36cd6fd6dccf37c6daf77d82a28a0e15115aa724f75386
8|252|A2_7_4|126|2|1|7ed57bd297d548e11b278adc36ad76909ef384c97094cce9a95e884fed7dfbff
9|280|A2_8_2|144|2|1|86add75e90a2fbc9dd276f7688bf7c2a1eba829244b6ee31b4b74c9facc086f5
10|306|A2_9_0|162|2|1|e8f4bb654c1e8398a196ea238b0f247d3fb5a04453f588de99d9755fb02aad0a
11|330|A3_10_7|180|2|1|45966721b31494ed886e8224be0b25b161d63b9ed5765ec68e2a0b1b2d38eff9
12|81|A1_2_4|36|3|2|b9c13a64fedfe6f8fa0fde818491ee6e00ed4d3b9438d4b405385c1181369563
13|351|A3_11_5|198|3|2|1434df90e7aafeb67ee0c3c22c736c402e02892308890dbedaa42d7449f9993f
