step|row_slot|variable|unit|row_terms|rhs_terms|rhs_sha256
1|43|A1_1_7|18|1|0|5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9
2|83|A1_2_5|36|1|0|5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9
3|121|A1_3_3|54|1|0|5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9
4|157|A1_4_1|72|1|0|5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9
5|42|A1_1_6|18|2|1|03a8e6abfcb9ab94c1d81e67a52997fb00d14541d09da04a52ffeda2ddf2513b
6|190|A2_5_8|90|2|1|1df8da05626d323a351e75379abdbe84a2ae7817d42ffced85b0f78e9bc3b356
7|222|A2_6_6|108|2|1|8f11b605fde5a4f0ef36cd6fd6dccf37c6daf77d82a28a0e15115aa724f75386
8|252|A2_7_4|126|2|1|7ed57bd297d548e11b278adc36ad76909ef384c97094cce9a95e884fed7dfbff
9|280|A2_8_2|144|2|1|86add75e90a2fbc9dd276f7688bf7c2a1eba829244b6ee31b4b74c9facc086f5
10|306|A2_9_0|162|2|1|e8f4bb654c1e8398a196ea238b0f247d3fb5a04453f588de99d9755fb02aad0a
11|330|A3_10_7|180|2|1|45966721b31494ed886e8224be0b25b161d63b9ed5765ec68e2a0b1b2d38eff9
12|81|A1_2_4|36|3|2|b9c13a64fedfe6f8fa0fde818491ee6e00ed4d3b9438d4b405385c1181369563
13|351|A3_11_5|198|3|2|1434df90e7aafeb67ee0c3c22c736c402e02892308890dbedaa42d7449f9993f
14|41|A1_1_5|18|4|3|fdd2a752b38937915dfe27d7cd71177100890206a454c0def67d72df2db76e2d
15|117|A1_3_2|54|4|3|7a6bfc488ff8bc659fc8174ad09c2cecf513b566e0c8c745895c35b5b9ed9027
16|152|A1_4_0|72|6|5|e800dc511c253ac820210d82d955a92d4afcd17c3b4a598c2bffe039da7eca86
17|368|A3_12_3|216|6|5|4d6a2e58af646ce80cc6f19290ed28ac89b24a2e870063b8d73251d569c43dbc
18|79|A1_2_3|36|7|6|1142df073399b2481148c1fede1a4cef3a95d2092a0ae3dfd6dffd4f3f6b07fd
19|40|A1_1_4|18|8|7|ef26f446f4f04c6aa8bac7ab226a56e2f3e8df1f27dff38f6090b6756fe02a71
20|183|A2_5_7|90|9|8|d8cb536d8ff3e35fcedf26850b2861d99b23b0e132722e8e34d484b4b81a7907
21|383|A3_13_1|234|10|9|0aa1167b37ec7599998944b3a6ebaa38eed571e1e1d1dd8bb970e94ca942761a
22|114|A1_3_1|54|11|10|9ac2127cccdbdd14e9e468816e8f252171a87522a9140b70ed815b5a49a4a3e7
23|213|A2_6_5|108|13|12|3cb4f2110e173d715ef88d12e9b15964723510f12fb3da7ca60c6d5c5e203864
24|39|A1_1_3|18|15|14|741debd583701dbde0a192784be80cfd79bf393bda70f39bb76e43812e62c565
25|76|A1_2_2|36|16|15|d9a3c097a75c722793838cb1cf000a5f850d8e73ce24ac322a39baf041fa1bf1
26|240|A2_7_3|126|17|16|03ec56c690f6a1501a78560911c1ce99b0b3619322fc5520d4a3c9d393d0d0a1
27|146|A2_4_8|72|19|18|797135f6ddefff45764393f262f4bcdecdc16452b74da87dffd36e5fa25f591d
28|266|A2_8_1|144|24|23|10d298781cae045bcac911668efc002d32bbdf2d88cad5357d675b9c7f5c8689
29|38|A1_1_2|18|27|26|efbd09b96ff4f9a410771c043a0028017484345bd589e231dd6b159d3c87bd84
30|110|A1_3_0|54|27|26|51b68e47e4e0a0dc8c9db5166e92ad751af99da6eac252eccf367c1294cce6d2
31|176|A2_5_6|90|28|27|9a73de566ac1efc1d9d72ced9c411565748d2ff8856012fc2820da39e743bdc6
32|288|A3_9_8|162|31|30|deafc3de696c5c476df8752ce5ec372c49d92d4008297c6c8c3e337c3ea697d1
33|74|A1_2_1|36|32|31|716d26133bb7ed12ea6d35e8572ffe2d6e0c0eaaac0f74c48011cd057a617299
34|205|A2_6_4|108|43|42|bcfdee1a8719ecc93704ac84f49b7ebdd0147b0a4b134d0b4db48392c903b713
35|309|A3_10_6|180|44|43|7f4763782acc8fd8001cc4d38f378fded6c2242a2ce11be2d23c0f68e4d39596
36|37|A1_1_1|18|46|45|b114833ebdef5a52690652ae3aad0aa3dc06574b17f5e8cf90d79c95715581f5
