step|x_power|y_power|linear_monic_H1|row_vanishes_H2|rhs_v_free_H3
1|0|42|PASS|PASS|PASS
2|1|40|PASS|PASS|PASS
3|2|38|PASS|PASS|PASS
4|3|36|PASS|PASS|PASS
5|0|41|PASS|PASS|PASS
6|4|34|PASS|PASS|PASS
7|5|32|PASS|PASS|PASS
8|6|30|PASS|PASS|PASS
9|7|28|PASS|PASS|PASS
10|8|26|PASS|PASS|PASS
11|9|24|PASS|PASS|PASS
12|1|39|PASS|PASS|PASS
13|10|22|PASS|PASS|PASS
14|0|40|PASS|PASS|PASS
15|2|37|PASS|PASS|PASS
16|3|35|PASS|PASS|PASS
17|11|20|PASS|PASS|PASS
18|1|38|PASS|PASS|PASS
19|0|39|PASS|PASS|PASS
20|4|33|PASS|PASS|PASS
21|12|18|PASS|PASS|PASS
22|2|36|PASS|PASS|PASS
23|5|31|PASS|PASS|PASS
24|0|38|PASS|PASS|PASS
25|1|37|PASS|PASS|PASS
26|6|29|PASS|PASS|PASS
27|3|34|PASS|PASS|PASS
28|7|27|PASS|PASS|PASS
29|0|37|PASS|PASS|PASS
30|2|35|PASS|PASS|PASS
31|4|32|PASS|PASS|PASS
32|8|25|PASS|PASS|PASS
33|1|36|PASS|PASS|PASS
34|5|30|PASS|PASS|PASS
35|9|23|PASS|PASS|PASS
36|0|36|PASS|PASS|PASS
