
== FAST FILTER (branch-robust U_rob only), n <= 400 ==
     n=D  #groups  kill<2  kill<4   min U_rob   max U_rob    surv
      48       50       5       5      240/49      336/23      45
      54       40       5       5      120/49     1344/79      35
      60      110      40      40      288/59     1728/89      70
      63       30      10      10      216/59     1620/89      20
      64       84       0       0      160/23     2016/97      84
      66       25       5       5      144/59      240/11      20
      72      316      12      12       80/23    2640/109     304
      75       40       0       0      225/37      200/11      40
      78       30       5       5       56/23    3168/119      25
      80      496       7       7      400/69    3456/125     489
      81       40      10      10      135/37      432/17      30
      84      207      54      54      384/79     1248/43     153
      88       35       7       7      288/83    4320/139      28
      90      577      29      29      192/79    4368/139     548
      96     1113       5       5      432/89     1760/51    1108
      99       50      10      10      324/89    4860/149      40
     100      732      70      70      480/83    5760/161     662
     102       40       5       5      216/89     1920/53      35
     104       42       7       7      336/97    6336/167      35
     105      264      30      30      360/83    5400/161     234
     108      824      65      65      160/33    6528/169     759
     110      120      24      24      240/83    7200/179      96
     112     1163       0       0      560/89    7488/181    1163
     114       45       5       5       80/33    7344/179      40
     117       60      10      10      189/52    7128/179      50
     120     4104      19      19      128/37       224/5    4085
     125      192       0       0      375/52    6000/179     192
     126     1081      47      47     264/109    9120/199    1034
     128     1725       0       0     864/125   10080/209    1725
     130      144      24      24      280/97     2112/43     120
     132      400      65      65     576/119     3600/73     335
     135      702      40      40     432/119    9828/209     662
     136       56       7       7     432/125   11520/223      49
     138       55       5       5     288/119     3696/73      50
     140     3072      70      70     640/111   12480/233    3002
     144     7479      16      16     480/109     4352/79    7463
     147      420      18      18     504/107   11340/233     402
     150     3556      29      29      104/43   14560/251    3527
     152       63       7       7     480/139   14688/251      56
     153       80      10      10      243/67   12960/239      70
     154      275      42      42     336/107     2160/37     233
     156      480      65      65     672/139   15840/263     415
     160     9487       7       7      144/25   16800/269    9480
     162     1701      29      29     336/139   15600/259    1672
     165      440      30      30      108/25   16200/269     410
     168     9125      12      12      176/51     1248/19    9113
     170      192      24      24       72/25   19200/287     168
     171       90      10      10     540/149   16524/269      80
     174       70       5       5     360/149     2016/31      65
     175     1016       0       0    1000/139   15000/269    1016
     176     4076      11      11     576/131   20160/293    4065
     180    17344     148     148      200/43     4352/61   17196
     182      330      42      42     392/125   22176/311     288
     184       77       7       7     576/167   22176/307      70
     186       75       5       5      128/53   20880/299      70
     189     1626      50      50      297/82   20520/299    1576
     190      216      24      24     400/139     1440/19     192
     192    23052       5       5     816/169     3600/47   23047
     195      528      30      30      315/73   23760/323     498
     196     2961       0       0     896/143   26208/337    2961
     198     2644      71      71     408/169    8640/113    2573
     200    15174      14      14     624/181   27360/341   15160
     204      640      65      65     864/179     3200/39     575
     207      110      10      10     648/179     3564/47     100
     208     6390      11      11      224/51   28800/349    6379
     210    14908      71      71     432/179   30400/359   14837
     216    27265      12      12      224/65   32640/373   27253
     220     9373      83      83      144/31   33600/377    9290
     222       90       5       5      152/63   30240/359      85
     224    25391       0       0      144/23   35280/389   25391
     225     5844      40      40      351/97     2520/29    5804
     228      720      65      65     960/199     7344/79     655
     230      264      24      24     480/167     7392/79     240
     231     1768      44      44      108/23   34020/389    1724
     232       98       7       7     720/209   36288/391      91
     234     3463      60      60     480/199     3456/37    3403
     238      440      42      42       72/23     8064/83     398
     240   100325      23      23     768/175   13680/139  100302
     242      765      42      42     528/155   39600/419     723
     243     1418      32      32     756/209   35100/389    1386
     245     1752       0       0    1400/179   31500/389    1752
     246      100       5       5     504/209   12480/133      95
     248      105       7       7     768/223   41760/419      98
     250     6688      24      24     520/181   44160/431    6664
     252    34394      82      82      352/73   45600/439   34312
     255      704      30      30      405/94   43200/431     674
     256    36861       0       0      544/79   47040/449   36861
     258      105       5       5      176/73   41328/419     100
     260    14318      83      83     840/181   48000/449   14235
     261      140      10      10     405/112   40824/419     130
     264    28490      12      12      272/79   50400/461   28478
     266      495      42      42     560/179   51408/467     453
     270    40504      70      70     552/229   52000/467   40434
     272    13410      11      11     864/197   53760/479   13399
     273     2340      48      48      441/94   49896/467    2292
     275     2184       0       0    1500/209   45000/449    2184
     276      880      65      65    1152/239     2640/23     815
     279      150      10      10     864/239   46980/449     140
     280    72965      14      14     864/251   57456/493   72951
     282      115       5       5     576/239     1840/17     110
     285      792      30      30     900/209    11016/97     762
     286     2018      73      73     616/181   58080/503    1945
     288   183845      24      24      400/83   12144/101  183821
     290      336      24      24     600/209   60480/503     312
     294    14704      47      47      200/83   21280/173   14657
     296      126       7       7     912/265   60480/503     119
     297     3194      58      58     459/127   58320/509    3136
     300   114343     148     148      320/69   66240/527  114195
     304    18340      11      11      320/73     9792/77   18329
     306     5389      68      68     624/259   23040/181    5321
     308    16437      17      17      144/29   14112/109   16420
     310      360      24      24     640/223   69600/539     336
     312    44322      12      12      320/93     8000/61   44310
     315    23578      92      92     972/269   68400/539   23486
     318      130       5       5     648/269   21216/173     125
     320   218412       7       7    1360/237   76608/569  218405
     322      605      42      42     672/215   77616/571     563
     324    60424      65      65      448/93   78000/571   60359
     325     2912       0       0     875/122     6000/49    2912
     328      140       7       7    1008/293     5760/43     133
     330    44660      88      88      224/93   15872/115   44572
     333      180      10      10     513/142     9720/77     170
     336   266764      16      16    1056/241   28336/199  266748
     338     1320      31      31     728/209   82368/599    1289
     340    29064      83      83    1080/233   84480/593   28981
     342     6496      72      72     696/289   88128/611    6424
     343      990       0       0    2744/251   12348/109     990
     344      147       7       7    1056/307   82656/587     140
     345      968      30      30    1080/251   83160/593     938
     348     1120      65      65    1440/299     6048/41    1055
     350    42024      66      66     720/251    13248/89   41958
     351     4122      62      62    1080/299   85536/611    4060
     352   114618      19      19    1152/227   94080/629  114599
     354      145       5       5     720/299   26448/193     140
     357     3700      56      56     567/121    12960/89    3644
     360   559247      42      42     368/107    13920/91  559205
     363     1780      26      26    1188/233   89100/629    1754
     364    24330      17      17      392/79  100800/649   24313
     366      150       5       5     248/103   84960/599     145
     368    31600      11      11    1152/263  103488/659   31589
     369      200      10      10     567/157   84240/599     190
     370      432      24      24      152/53  100800/647     408
     372     1200      65      65    1536/319  104400/659    1135
     374     3174      81      81     792/233     9600/61    3093
     375    17800      30      30     585/136   99360/647   17770
     376      161       7       7    1152/335   99360/643     154
     378    75159      94      94     768/319      1456/9   75065
     380    39313      83      83    1200/259  110160/683   39230
     384   626760       5       5    1584/329  113344/689  626755
     385     7312       0       0    2100/269   94500/649    7312
     387      210      10      10    1188/329   92988/629     200
     390    68336      77      77     792/329  112480/683   68259
     392    77419       7       7    1200/349  117936/701   77412
     396    95889      90      90     544/113  120960/713   95799
     399     4488      60      60    1260/269  115668/701    4428
     400   435963      18      18      416/95  123648/719  435945

   TOTAL n<=400: groups=3874261  killed(U<2)=4700  killed(U<4)=4700  surviving=3869561
   global min U_rob = 792/329 (2.407) at (Fraction(792, 329), 260, (-195, 388), 33)
   global max U_rob = 123648/719 (171.972) at (Fraction(123648, 719), 350, (375, 398), 24)
   degrees D with EVERY group killed under H2: NONE
   wall 169.0s
