optimized	mutation	rc	stdout_sha256	stderr_sha256	marker	wall_s
normal	positive	0	57ede9d764ded48e047aaf5f1a7b6431279f0ab1b790dea46414469e1ed3bca2	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855		0.043
normal	--change-hyperbola	1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	681a8635197080878d192562ff9c0308fe9406847e4432c65f44527a8bade8e9	ValueError: actual nonempty hyperbola point	0.103
normal	--change-CRT-sign	1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	36a3b4852daad25e5566883c8604167867d5373b59e7d3c49bbd7d20ce351d18	ValueError: exact comaximal CRT certificate	0.102
normal	--change-nilpotent-algebra	1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	370b45623626ec973f718688e2af928166cbacf5090a89a8d88faf850f698792	ValueError: actual nonreduced unit-k algebra	0.102
normal	--omit-gamma-shear	1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	55be531cfb0fbf9918145afc29727512fbb18808a91aa1bb175e68c923b1cd05	ValueError: actual beta gamma shear invariant	0.102
normal	--change-unit-root	1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0ecd9dd119fb3d5aa1b4fdaeb261c181d2ed6d25343c9b5ae19c1989e83eeed8	ValueError: actual unit-root parameter identity	0.102
-O	positive	0	57ede9d764ded48e047aaf5f1a7b6431279f0ab1b790dea46414469e1ed3bca2	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855		0.159
-O	--change-hyperbola	1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	681a8635197080878d192562ff9c0308fe9406847e4432c65f44527a8bade8e9	ValueError: actual nonempty hyperbola point	0.519
-O	--change-CRT-sign	1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	36a3b4852daad25e5566883c8604167867d5373b59e7d3c49bbd7d20ce351d18	ValueError: exact comaximal CRT certificate	0.520
-O	--change-nilpotent-algebra	1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	370b45623626ec973f718688e2af928166cbacf5090a89a8d88faf850f698792	ValueError: actual nonreduced unit-k algebra	0.521
-O	--omit-gamma-shear	1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	55be531cfb0fbf9918145afc29727512fbb18808a91aa1bb175e68c923b1cd05	ValueError: actual beta gamma shear invariant	0.517
-O	--change-unit-root	1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0ecd9dd119fb3d5aa1b4fdaeb261c181d2ed6d25343c9b5ae19c1989e83eeed8	ValueError: actual unit-root parameter identity	0.516
