run	opt=none	mode=positive	rc=0	stdout=a21b8c2a35768ca144a69f336fec870105bfbbc2882a2d40fe90b30098597377	stderr=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	marker=
run_freeze-moving-reference	opt=none	mode=--freeze-moving-reference	rc=1	stdout=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	stderr=f2fd9e9447207bc2b535ab8db2614e0ea97ebf4b2b9922bfb9dfd72c3ff94fa0	marker=ValueError: actual moving derivative
run_wrong-filtered-input	opt=none	mode=--wrong-filtered-input	rc=1	stdout=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	stderr=1637d050a273a36a466e451fb20416f1b03d18c3c63311bcec23e35db67db0e8	marker=ValueError: actual filtered input fails without weight
run_omit-cross-bracket	opt=none	mode=--omit-cross-bracket	rc=1	stdout=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	stderr=4e3bb8458a8b3a85c3c90cb98ee5242e370b883c5ba495c9bb98dab71f1e135e	marker=ValueError: full formal moving identity retains cross
run_wrong-critical-factor	opt=none	mode=--wrong-critical-factor	rc=1	stdout=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	stderr=c083d07b9fabf94c14b48befda2816343e095e80e14cf386f7928632f4caae93	marker=ValueError: critical derivative factor
run_wrong-target-factor	opt=none	mode=--wrong-target-factor	rc=1	stdout=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	stderr=29c37d9ed02e296696278e0880e8adff2654254ead041ee19759b885caf014d3	marker=ValueError: target factor after Jacobian division
run_wrong-primitive-sign	opt=none	mode=--wrong-primitive-sign	rc=1	stdout=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	stderr=538e517c3dc78cd9d4f897a062e79090dfc8c1a87617ca6ed00da385ddaa3d33	marker=ValueError: primitive sign
run_O	opt=-O	mode=positive	rc=0	stdout=a21b8c2a35768ca144a69f336fec870105bfbbc2882a2d40fe90b30098597377	stderr=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	marker=
run_O_freeze-moving-reference	opt=-O	mode=--freeze-moving-reference	rc=1	stdout=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	stderr=f2fd9e9447207bc2b535ab8db2614e0ea97ebf4b2b9922bfb9dfd72c3ff94fa0	marker=ValueError: actual moving derivative
run_O_wrong-filtered-input	opt=-O	mode=--wrong-filtered-input	rc=1	stdout=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	stderr=1637d050a273a36a466e451fb20416f1b03d18c3c63311bcec23e35db67db0e8	marker=ValueError: actual filtered input fails without weight
run_O_omit-cross-bracket	opt=-O	mode=--omit-cross-bracket	rc=1	stdout=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	stderr=4e3bb8458a8b3a85c3c90cb98ee5242e370b883c5ba495c9bb98dab71f1e135e	marker=ValueError: full formal moving identity retains cross
run_O_wrong-critical-factor	opt=-O	mode=--wrong-critical-factor	rc=1	stdout=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	stderr=c083d07b9fabf94c14b48befda2816343e095e80e14cf386f7928632f4caae93	marker=ValueError: critical derivative factor
run_O_wrong-target-factor	opt=-O	mode=--wrong-target-factor	rc=1	stdout=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	stderr=29c37d9ed02e296696278e0880e8adff2654254ead041ee19759b885caf014d3	marker=ValueError: target factor after Jacobian division
run_O_wrong-primitive-sign	opt=-O	mode=--wrong-primitive-sign	rc=1	stdout=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	stderr=538e517c3dc78cd9d4f897a062e79090dfc8c1a87617ca6ed00da385ddaa3d33	marker=ValueError: primitive sign
