== GENERAL (no (UNI)) knapsack, D in [48,90] ==
      D   groups     killed     capped       wall
     48       50          9          3      16.1s
     49        0          0          0       0.0s
     50        0          0          0       0.0s
     51        0          0          0       0.0s
     52        0          0          0       0.0s
     53        0          0          0       0.0s
     54       40         18          0       0.1s
     55        0          0          0       0.0s
     56        0          0          0       0.0s
     57        0          0          0       0.0s
     58        0          0          0       0.0s
     59        0          0          0       0.0s
     60      110         23         11     147.0s
     61        0          0          0       0.0s
     62        0          0          0       0.0s
     63       30         15          0       0.1s
     64       84         16          0       4.2s
     65        0          0          0       0.0s
     66       25         12          0       0.1s
     67        0          0          0       0.0s
     68        0          0          0       0.0s
     69        0          0          0       0.0s
     70        0          0          0       0.0s
     71        0          0          0       0.0s
     72      316         56         32    1316.7s
     73        0          0          0       0.0s
     74        0          0          0       0.0s
     75       40         15          0       0.1s
     76        0          0          0       0.0s
     77        0          0          0       0.0s
     78       30         15          0       0.1s
     79        0          0          0       0.0s
