source_index|h_power|x_power|y_power|expr
0|0|4|7|-48*a2*br^2
1|0|3|8|6*a2^2*bq^2+12*a2*bq^2+36*a2*bq*br+108*a2*br^2+54*br^2
2|0|3|7|6*h_1_2*h_0_0*a2*bp^2+3*h_1_3*a2*bp^3-6*h_0_1*a2*bp*br+48*h_2_8*br^2-48*a2*br*bs
3|0|3|6|3*h_1_2*a2*bp^3+66*h_0_0*a2*bp*br+42*h_2_7*br^2
4|0|3|5|-18*a2*bp^2*br+36*h_2_6*br^2
5|0|3|4|30*h_2_5*br^2
6|0|2|9|-12*a2^2*bq^2-12*a2*bq^2-48*a2*bq*br-60*a2*br^2-12*bq^2-24*bq*br-120*br^2
7|0|2|8|-12*h_1_2*h_0_0*a2*bp^2-6*h_1_3*a2*bp^3-6*h_1_2*h_0_0*bp^2-3*h_1_3*bp^3-6*h_2_8*a2*bq^2+12*h_0_1*a2*bp*br-12*h_2_8*bq^2+6*h_0_1*bp*br-30*h_2_8*bq*br+54*h_1_9*br^2+18*a2*bq*bs+108*a2*br*bs+54*br*bs
8|0|2|7|-6*h_2_8*h_1_2*h_0_0*bp^2-3*h_2_8*h_1_3*bp^3-6*h_1_2*a2*bp^3-3*h_1_2*bp^3-6*h_2_7*a2*bq^2+6*h_2_8*h_0_1*bp*br-132*h_0_0*a2*bp*br-12*h_2_7*bq^2-66*h_0_0*bp*br-36*h_2_7*bq*br+48*h_1_8*br^2+48*h_2_8*br*bs
9|0|2|6|-6*h_2_7*h_1_2*h_0_0*bp^2-3*h_2_7*h_1_3*bp^3-3*h_2_8*h_1_2*bp^3+9*a2*bp^2*bq-6*h_2_6*a2*bq^2+6*h_2_7*h_0_1*bp*br-60*h_2_8*h_0_0*bp*br+42*a2*bp^2*br+18*h_0_0*a2*bp*bs-12*h_2_6*bq^2+21*bp^2*br-42*h_2_6*bq*br+42*h_1_7*br^2+42*h_2_7*br*bs
10|0|2|5|-6*h_2_6*h_1_2*h_0_0*bp^2-18*h_0_0^2*a2*bp^2-3*h_2_6*h_1_3*bp^3-3*h_2_7*h_1_2*bp^3-9*h_0_1*a2*bp^3-6*h_2_5*a2*bq^2+6*h_2_6*h_0_1*bp*br-54*h_2_7*h_0_0*bp*br+18*h_2_8*bp^2*br-12*h_2_5*bq^2-48*h_2_5*bq*br+36*h_1_6*br^2+36*h_2_6*br*bs
