source_index|h_power|x_power|y_power|expr
0|0|1|2|2*b4*a4_1*b2_1-b3*a4_2*b2_1+b3*a4_3*b2_1-b4*a3_2*b3_0-2*b4*a3_1*b3_1-b3*a3_2*b3_1-3*a4_2*b2_0+3*a4_3*b2_0-a4_1*b3_0+a4_0*b3_1
1|0|1|1|3*b4*a4_2*b2_1-3*b4*a4_3*b2_1-2*b4*a3_2*b3_1-2*a4_2*b3_0+2*a4_3*b3_0
2|0|1|0|-a4_2*b3_1+a4_3*b3_1-c
3|0|0|3|-2*b4*a4_1*b2_1+b3*a4_2*b2_1-b3*a4_3*b2_1+b4*a3_2*b3_0+2*b4*a3_1*b3_1+b3*a3_2*b3_1+3*a4_2*b2_0-4*a4_3*b2_0+a4_1*b3_0-a4_0*b3_1
4|0|0|2|-2*b1*b4*a4_1*b2_1+b1*b3*a4_2*b2_1-b1*b3*a4_3*b2_1+b1*b4*a3_2*b3_0+2*b1*b4*a3_1*b3_1+b1*b3*a3_2*b3_1+3*b1*a4_2*b2_0-3*b1*a4_3*b2_0-3*b4*a4_2*b2_1+4*b4*a4_3*b2_1+b1*a4_1*b3_0+2*b4*a3_2*b3_1-b1*a4_0*b3_1+2*a4_2*b3_0-3*a4_3*b3_0
5|0|0|1|-2*b2*b4*a4_1*b2_1+b2*b3*a4_2*b2_1-3*b1*b4*a4_2*b2_1-b2*b3*a4_3*b2_1+3*b1*b4*a4_3*b2_1+b2*b4*a3_2*b3_0+2*b2*b4*a3_1*b3_1+b2*b3*a3_2*b3_1+2*b1*b4*a3_2*b3_1-b4*a4_0*b2_0-b3*a4_1*b2_0+2*b2*a4_2*b2_0-2*b2*a4_3*b2_0+b4*a3_0*b3_0+b2*a4_1*b3_0+2*b1*a4_2*b3_0-2*b1*a4_3*b3_0+b3*a3_0*b3_1-b2*a4_0*b3_1+a4_2*b3_1-2*a4_3*b3_1
6|0|0|0|b4^2*a4_0*b2_1-b3*b4*a4_1*b2_1+b3^2*a4_2*b2_1-2*b2*b4*a4_2*b2_1-b3^2*a4_3*b2_1+2*b2*b4*a4_3*b2_1-b4^2*a3_1*b3_0+b3*b4*a3_1*b3_1+2*b2*b4*a3_2*b3_1-2*b4*a4_1*b2_0+b3*a4_2*b2_0-b3*a4_3*b2_0+b2*a4_2*b3_0-b2*a4_3*b3_0+2*b4*a3_0*b3_1+b1*a4_2*b3_1-b1*a4_3*b3_1
7|1|1|2|b4*a3_2*b2_1-4*b4*a2_1*b3_1-3*a4_1*b2_1+3*a3_1*b3_1
8|1|1|1|-5*a4_2*b2_1+5*a4_3*b2_1+2*a3_2*b3_1
9|1|0|3|-b4*a3_2*b2_1+4*b4*a2_1*b3_1+3*a4_1*b2_1-3*a3_1*b3_1
10|1|0|2|-b1*b4*a3_2*b2_1+4*b1*b4*a2_1*b3_1+3*b1*a4_1*b2_1-3*b1*a3_1*b3_1+5*a4_2*b2_1-7*a4_3*b2_1-2*a3_2*b3_1
11|1|0|1|-b2*b4*a3_2*b2_1+4*b2*b4*a2_1*b3_1-b4*a3_1*b2_0-b3*a3_2*b2_0+b4*a3_0*b2_1+3*b2*a4_1*b2_1+5*b1*a4_2*b2_1-5*b1*a4_3*b2_1+2*b4*a2_0*b3_0+2*b3*a2_0*b3_1-3*b2*a3_1*b3_1-2*b1*a3_2*b3_1+a4_0*b2_0-a3_0*b3_0
12|1|0|0|-b3*b4*a3_2*b2_1-2*b4^2*a2_1*b3_0+2*b3*b4*a2_1*b3_1-2*b4*a3_2*b2_0-2*b4*a4_0*b2_1+b3*a4_1*b2_1+3*b2*a4_2*b2_1-3*b2*a4_3*b2_1+2*b4*a3_1*b3_0+4*b4*a2_0*b3_1-b3*a3_1*b3_1-2*b2*a3_2*b3_1+2*a4_1*b2_0-2*a3_0*b3_1
13|2|1|2|-2*a3_2*b2_1+5*a2_1*b3_1-9*a4_2+9*a4_3
14|2|0|3|2*a3_2*b2_1-5*a2_1*b3_1+9*a4_2-12*a4_3
15|2|0|2|2*b1*a3_2*b2_1-5*b1*a2_1*b3_1+9*b1*a4_2-9*b1*a4_3
16|2|0|1|-b4*a2_1*b2_0+2*b4*a2_0*b2_1+2*b2*a3_2*b2_1-5*b2*a2_1*b3_1-3*b4*a4_0-3*b3*a4_1+6*b2*a4_2-6*b2*a4_3+a3_1*b2_0-a3_0*b2_1-2*a2_0*b3_0
17|2|0|0|-b4^2*a2_1*b2_1+b3*a3_2*b2_1+4*b4*a2_1*b3_0-2*b3*a2_1*b3_1-6*b4*a4_1+3*b3*a4_2-3*b3*a4_3+2*a3_2*b2_0+a4_0*b2_1-a3_1*b3_0-4*a2_0*b3_1
18|3|0|1|-3*b4*a3_1-3*b3*a3_2+a2_1*b2_0-2*a2_0*b2_1+4*b4*b3_0+4*b3*b3_1+3*a4_0
19|3|0|0|2*b4*a2_1*b2_1-6*b4*a3_2-2*a2_1*b3_0+8*b4*b3_1+6*a4_1
20|4|0|1|-3*b4*a2_1+4*b4*b2_1+3*a3_1-4*b3_0
21|4|0|0|-a2_1*b2_1+6*a3_2-8*b3_1
22|5|0|1|3*a2_1-4*b2_1
