k	label	terms	degree	leadcoef	leadmonom	trailcoef	trailmonom
1	define_Hfact_0_0	4	3	-1	Hc_11_0^3	1	Hfact_0_0
2	define_Hfact_0_1	5	3	-3	Hc_10_1*Hc_11_0^2	1	Hfact_0_1
3	define_Hfact_0_2	15	6	-9	Hc_11_0^2*minor_a2*u^3	1	Hfact_0_2
4	define_Hfact_0_3	23	6	-18	Hc_10_1*Hc_11_0*minor_a2*u^3	1	Hfact_0_3
5	define_Hfact_0_4	38	9	-27	Hc_11_0*minor_a2^2*u^6	1	Hfact_0_4
6	define_Hfact_0_5	59	9	-27	Hc_10_1*minor_a2^2*u^6	1	Hfact_0_5
7	define_Hfact_0_6	90	12	-27	minor_a2^3*u^9	1	Hfact_0_6
8	define_Hfact_0_7	110	11	-81	minor_a2^4*u^7	1	Hfact_0_7
9	define_Hfact_0_8	117	10	-81	minor_a2^5*u^5	1	Hfact_0_8
10	define_Hfact_0_9	119	11	-27	minor_a2^2*u^9	1	Hfact_0_9
11	define_Hfact_0_10	114	10	108	minor_a2^3*u^7	1	Hfact_0_10
12	define_Hfact_0_11	109	10	-81	minor_a2^2*u^8	1	Hfact_0_11
13	define_Hfact_0_12	101	10	-9	minor_a2*u^9	1	Hfact_0_12
14	define_Hfact_0_13	88	9	18	minor_a2^2*u^7	1	Hfact_0_13
15	define_Hfact_0_14	75	9	-54	minor_a2*u^8	1	Hfact_0_14
16	define_Hfact_0_15	68	9	-1	u^9	1	Hfact_0_15
17	define_Hfact_0_16	56	8	-117	minor_a2*u^7	1	Hfact_0_16
18	define_Hfact_0_17	48	8	-9	u^8	1	Hfact_0_17
19	define_Hfact_0_18	37	7	-63	minor_a2*u^6	1	Hfact_0_18
20	define_Hfact_0_19	33	7	-36	u^7	1	Hfact_0_19
21	define_Hfact_0_20	25	6	189	minor_a2*u^5	1	Hfact_0_20
22	define_Hfact_0_21	21	6	-84	u^6	512/27	1
23	define_Hfact_0_22	16	5	441	minor_a2*u^4	1	Hfact_0_22
24	define_Hfact_0_23	14	5	-126	u^5	1	Hfact_0_23
25	define_Hfact_0_24	10	4	441	minor_a2*u^3	1	Hfact_0_24
26	define_Hfact_0_25	8	4	-126	u^4	-64/3	1
27	define_Hfact_0_26	6	3	243	minor_a2*u^2	1	Hfact_0_26
28	define_Hfact_0_27	6	3	-84	u^3	1	Hfact_0_27
29	define_Hfact_0_28	3	2	72	minor_a2*u	1	Hfact_0_28
30	define_Hfact_0_29	3	2	-36	u^2	8	1
31	define_Hfact_0_30	3	1	9	minor_a2	1	Hfact_0_30
32	define_Hfact_0_31	2	1	-9	u	1	Hfact_0_31
33	define_Hfact_1_1	7	4	-3/8	E82^3*Hc_11_0	1	Hfact_1_1
34	define_Hfact_1_2	34	6	-21/64	E82^4*Hc_11_0^2	1	Hfact_1_2
35	define_Hfact_1_3	61	7	-9/8	E82^3*minor_a2*u^3	1	Hfact_1_3
36	define_Hfact_1_4	150	9	-63/64	E82^4*Hc_11_0*minor_a2*u^3	1	Hfact_1_4
37	define_Hfact_1_5	138	8	-63/64	E82^4*Hc_11_0*minor_a2^2*u	1	Hfact_1_5
38	define_Hfact_1_6	121	9	-27	E82*minor_a2^2*u^6	1	Hfact_1_6
39	define_Hfact_1_7	182	11	-81	minor_a2^3*u^8	1	Hfact_1_7
40	define_Hfact_1_8	167	10	-243	minor_a2^4*u^6	-28	1
