X_power	W_power	literal_terms	semantic_degree	sha256
0	0	12	4	3a3a365752e220e46b56ef9af7c58a020d19ee3947816ae0e550c9616e3837d6
0	1	30	4	06f3b532160ca57e295ab68b321bdfcc235af76d51f94eb75a464231e1859a66
1	0	18	4	d74afef7e10bedb4a9558e44558943732cf8ac83a794de7da03e70abb94d50e1
0	2	51	4	bc9e350e22cd2c393b1ed0e4fba0e72ac5265a0ed6ca8aeb56ddf4fd8768d8a0
1	1	24	4	c9540460f573ddefb37669b6443db33a845eafe4c69d294594548945f77adb6b
2	0	6	3	157d8e9376a94b2774b96485f43cc8054d6ce1d8e7f9fcff2d8cfc3cf833d806
0	3	78	4	b41d3528625a995b60bc0b81c0f240feeb883537364349c0508495359ef08cb9
1	2	54	4	72513d5d44d4a9e546c77727f36019e06108eb28423501efc5411992bdc6e08c
2	1	12	4	3a3a365752e220e46b56ef9af7c58a020d19ee3947816ae0e550c9616e3837d6
0	4	108	4	d9e76aa433e6710c687ca8f65bc022ea10db98220c40d029a758b7de6e99db40
1	3	78	4	b41d3528625a995b60bc0b81c0f240feeb883537364349c0508495359ef08cb9
2	2	24	4	c9540460f573ddefb37669b6443db33a845eafe4c69d294594548945f77adb6b
0	5	144	4	962c9808666e72c78d71f4626fac7af3af240c42f00aa0d61ec39d89070893b2
1	4	138	4	ab6a9f11bcae1339796e7d4ac8c8ae2c597d4c5ac5c84b8abcd2e0ad7bcdfac5
2	3	60	4	2082bce0c9902d109bc2e6462e6a67e0fb41b759e746f80e313cdd5b11d618d0
3	2	6	2	aaf50d890710c4dc094f5e3be6901b29170cd13f8715d5df2e619a6538f02738
0	6	183	4	03cd0019e51cd2afc41a2494822f8dc5e6dc43c4ba012f0a08a43e15aecc1f17
1	5	177	4	c4108fe5c4d57d19505fdbb99958223586316edef5e8d71ab655e19cb1f91feb
2	4	99	4	9af5009f6e839b76c54139df1c418b881bf6ada4630cf1b49e604caaf107fd75
3	3	12	3	351935bbcd2812eceda97494d51064abac73d936a9bc73e762ff9cb27164a670
0	7	228	4	cdc88484374ec1040fd7570a944511d488c2cf27544ba8dfcf010e409702c26e
1	6	258	4	91ec368d103f658469363c1b97fb63625cfc86178be1bdb309225530d3010988
2	5	120	4	b42b0166014ac3d460f412c070ff41c4aae62d3b7709f1044aa6863886422365
3	4	30	4	06f3b532160ca57e295ab68b321bdfcc235af76d51f94eb75a464231e1859a66
0	8	276	4	108b78526bbf51f0df20290efbf647a756b41e0ee54d5ba590c1244b8a450d56
1	7	312	4	440a59bd5ac8041bf1f56201c53f120a8ca5a91f74ae5f340eae5586b3916284
2	6	226	4	dbb729c06ff0917bbc931854f34d6972c1a4004d3f875c0a181e6b7213e32538
3	5	55	4	2c87a947f8478e85fb3882f4f966fffa21610fbdf1d51fba2470598fd727ae51
0	9	330	4	a607f588851a4758158b3f9f32ac0beaa54b35d2b67fd220a0a8bbfbefc0cdad
1	8	414	4	f07f857fb939e715e6cf13c2e59bf672d183f48a6e4e32761fb7538dcff40857
2	7	318	4	45898d0cc918e54b0fd25f2a94dbcffbc07b04c06aa6babc3019b18204da2ff5
3	6	124	4	d91627855d081ef5c526ab7c7e11be16d09c244b49130194b6bef6a894e605f5
4	5	8	2	01cbdeb676f5a3d7c00d7403e6bcc2f47a8aa5e27c9159b2a3c422e06b846e75
0	10	387	4	b3e6e25a1bf94d0bf17c2f55a14e465979a9d05c96906772c0b4a3a47bbb18ab
1	9	483	4	a5f857fbd659b68ed2acdd1e5897cc7382ff1b11daf2a382d6253f73ed11ea84
2	8	379	4	788e9b335c61f0c279ff7532ba5ee35e7d049ec676d4511d4cf040c8a534f1a0
3	7	148	4	6093794aae88fa1554c94a8afbb98e9e3156406b19298cc12107ebf4feedfcf4
4	6	27	3	47bbb0b99ea33ab8c9f7214ecbeff7791aef4e4c1466e23e6c51c98cfe00f9f3
0	11	450	4	71bc983f55ba3c0bafa4c8cedc7ff168d0e4c13b41c12d4497c3ebc6ad8de574
1	10	606	4	e5e92086abcfc66ce4a6fab7260e44afb578fc6a6c7db58ada00642290bb0fe1
2	9	543	4	8140e896b9b284ace4cf565912a38a47fccb7cf5d9711ef8ab1b14ec7cdc1aaa
3	8	295	4	c9022b63de1fce9ea918a5a84d7c62049cf76cc558aa6735fd37bca52aacb45c
4	7	59	4	3d9856c7d6e1f35be519bcbf61e2155d60997d60974cff6f2280bc467e08abbf
0	12	516	4	9a35eb004943e09e1232586a8832f547969acc31a29eedc7db77203f43a58814
1	11	690	4	449e3645c55007b885e5d7e125224214afecd579d1586fd67cfbc991152962c8
2	10	676	4	8746f57fbcb53c2f18af0f2e9c6a7f20989f3c42399ba6d0c569bcf546a360be
3	9	407	4	2714d59d1d70db3adc5ea30b3bf2ccf5fe33250250fd589906e8b107cf7d8c64
4	8	112	4	be5943330a787c016c51d78cc914c7467426ba4e5cfc0c8248efd37af13c9656
0	13	588	4	553ced193f93cefb9c9a0542175d186ec4d51d51262f5f9b525b92c9311eccc0
1	12	834	4	777d05bdfd0670b1cbd69f2fae15fa908a3ebfbe17694990b93fad185f97307b
2	11	774	4	49bea48565f19500532946cd24ada190d0edfb5a05b571e4376ef3c5adf7782a
3	10	582	4	365b2fab7f2bb814b34d6b094bc22cb4a6040be451e382346f0b5f664673c6b3
4	9	167	4	be640b84a06966f3d8336d3569d694f6d78e66e8c9b797ef9c02192eb37ff522
5	8	8	2	01cbdeb676f5a3d7c00d7403e6bcc2f47a8aa5e27c9159b2a3c422e06b846e75
0	14	663	4	8438e3f0c6e7c7f05898c94e113a8772b00714022b9a0bb58178bef334e777b8
1	13	933	4	970e1ff1f5b0140be71fdf2c87890e9e639e38f60986f0e6f2709770de5ae4cc
2	12	991	4	e78997cb62e9cbc5125c3c1e4d5fd83c05f2a8df3ede8d938d7753098a61c482
3	11	670	4	87ca180cdeef2e9dff0d8ba2212641c69053080936b6a6c221bed45e747a40a2
