X_power	W_power	literal_terms	semantic_degree	sha256
0	0	45	8	23b4e4d74477c57f429c526fd076a8e255056bea58e84f1e1b23f63ce6f7e7d8
0	1	242	11	0205b17c94c65c2291e84bf5fe16ff41785421e9d80c3deb23498f4e0b8ee0a8
1	0	80	9	58ad4175dd89c811562f4475037da0577de9812882fb19abbbf534678d78d1a6
0	2	861	11	e95f75edcd9a8aab1aee1cc72ddde4b021f172e846971a78ed365fa61cfa80e8
1	1	396	11	7e59ae2cf01eaa758b42d38d13891a1ed5ee0dbd7b1df7857d9aa5b24080755e
2	0	21	6	3521be038a43dd7f567feaf5170687e2e5260f73739f5d681f2e13967ae5cd6d
0	3	2210	14	146cb45f654531d52344e72703a64367544ae1937d3eab87a77865a289dd9740
1	2	1396	12	d92d92c54a10e158218e24c1c67e1c9f95223a9b2a12f8a0ec2d385150ccc57d
2	1	139	10	78fe451827d7c90e60add1550f21ed9a905143e38fc4e14d969a42cbb7ba9f18
0	4	5322	14	0c9701f743f3482aa6aefef95179e91b7a453bb8a6e21158822047c6781462ab
1	3	3604	14	bc33e9ae9870d37de1881c89737396c85acba0a3b6a6dcb6cc838801e698fdd3
2	2	463	12	05a9104eb13e7d5063f6a6d4630269e6edcced680ad68e474def59bfb9bbf7c9
0	5	10666	17	63153d68f5c2e1aa6a173c59efc2d2d9a22eeac36352c24832bd423f4ec03a6d
1	4	9291	15	56c526c9834f39cbc850dc499de50f59f436fea82abc1cf38191d3fdeff61d82
2	3	2097	14	787ff02adcb310a9f13c004815bd51395aca9e3ae4c016c6f8ecc22c25c23896
3	2	6	2	aaf50d890710c4dc094f5e3be6901b29170cd13f8715d5df2e619a6538f02738
0	6	19402	17	c20f28d9efb9662f491902f6fda504334764c0b5fa8578b3569fbf8f51ae3bcb
1	5	18336	17	82d7c1f783eb4b6043fb790615b9ccc08e262c07ffe4caf7d99b01e56faa29a4
2	4	5908	15	a18224e84503814b25cc83e7455234cfc4e95d7ad4629480b2a2a38f1cd5516a
3	3	50	6	5c4e1c2f1bfeaa779b228964994659541be1b7046deaa101427467d8a58c0ff1
0	7	32799	20	0982526cfba2398c4c9ca2da191ec6c9959df0f1604f0cc522e56d0c6ad61804
1	6	37692	18	5c85f7f670661ad5e10c41b36acc8c2bbff8cc9aaf4ca285fa2dba0f3c610ca6
2	5	13301	17	4d50f057c0baa9d02d49766eba66559b9c40b379520866d5c1284bfb3c6fcb65
3	4	525	10	2cdc5f4ba00432ad897843e2473c1bca26c36156e2885ea08ba93488aafebcce
0	8	51904	20	f6c7724295feb633f59616c790e74f9a622e310574ed6277f40df52baf851ced
1	7	63887	20	5a878c676fd2bfe1b63dd1e7409febd68c8ff7232cc15a3beaffc4dcb370a31f
2	6	32190	18	0496d2738b3efe0e7207f9c0dd4258a1589ae09941191b542909d0a681e70a43
3	5	1827	14	6a66560ee9a4ed9ae18da815f49bc0036161a9256ce378c6266fd7a1c8d6f310
0	9	77255	23	1b2cf3f5a0030d2a7ed966c9b8543d0195239093098cc5840d0994c3bcabfa42
1	8	110561	21	f563a6087fcc448e128b6dc49e7570853cc3dd651cdc821db6649d29eb6c4281
2	7	63081	20	04c83505af9e95e54f84baac0a2fc5eacf4fecf369833be827c4bfcaeccefe96
3	6	7383	16	7dfe6387f588e746237f79f0d99ad1c00c6998e90c0980063e6bf7ea5a29426d
4	5	8	2	01cbdeb676f5a3d7c00d7403e6bcc2f47a8aa5e27c9159b2a3c422e06b846e75
0	10	109925	23	0ce11ab171320f643b34fac16aa1287f3c3cc4b380a2a8fbee4c34f030687441
1	9	164562	23	9e829182df9628e992b791f6277da17ea33415d5133a5b538938e3079436c944
2	8	100867	20	4c12563ff735d99480a22df6b02228def0030a7a781c4102fa69fb08ea865325
3	7	18386	17	dda164b422231a21420e89f284eca1865207342c79109e965526654c2bbd57c3
4	6	89	6	4f127ee560848ed3b18e3c7d101a35500d5c854948a719f33e111bcafcc672f3
0	11	148172	26	b2a5e758fcbbfa33dfe927e5f93c352b4077244c98ba93c99991fac15badf0d8
1	10	241782	23	38c3fccb075c6a03993a95dac1cb124e03b1ee50ff9427f49326441ecb0877b1
2	9	180364	20	283457366fcd28f336bc8142da121d977e57c10ec9fc7a4fb7656ba72bf93d19
3	8	48956	19	21128dff4b7eee762299479cd25de9e6ad0bf015b2452a979dde07a5af2ac2e7
4	7	921	10	9c307fa00b82bc34bfd4a02326647ba5bd38ecf2560821c44fc3afbe053f6610
0	12	190940	26	1e0ead182e80175db9ba36b82c8c2ec9d0212de87c961113d58d60cef1723dad
1	11	323654	23	e8b5345231a746e2d10ce9d5803c2a8fedb128e2d37e62cb750e40ba46ceaa2a
2	10	279047	22	c34784d533e95ef23a98b44c4a71635e61890caf404990af94b209a27a1c567e
3	9	94011	20	71b54e1674983d695277dc711e8a070aaa72f071c2a310230139263a993c5638
4	8	4179	14	a0e4f67d20cb9b38445fb9aa07a7751ed561092aa4f820884381c57165b9dcaf
0	13	237471	26	abdbf409e564218f301e9226e9cea8055aa3be48731223e5f0db6a6cf9ffe86e
1	12	434101	25	e4306ef47261f789c95329dc0b4c2cd33276a6ab8c6f965072d1d6362f39aaad
2	11	381593	23	ab64cde59761ba5a17ffc8ed937999b3b3a1dd1206361dfc6a61c56459e5cc05
3	10	178440	21	e9cf6f06d5194b51b1e83cabe37190c13d6aefbd19ce7a98ef8a60980b322128
4	9	13628	18	0ceefb48bb2ee9734cb8c30c72c98802ec27ef77e9d0ec3acf70b0701114756d
5	8	8	2	01cbdeb676f5a3d7c00d7403e6bcc2f47a8aa5e27c9159b2a3c422e06b846e75
0	14	286393	26	46e0f4583487b9ab7926f5367a2c9a9c9e846b12beca079d6ae0019223c13da0
1	13	539965	25	6c3b6822de1a4bb98f9af406c135c6cc3f8ad5fbb0cd376091f769af17eb573c
2	12	575899	23	e44821619b8efe27b1b1d5ba940d916da50faf471114695bb7fa7fac4c606833
3	11	267434	23	2f68c04579819bfdd9c9b53e6a9cf159ee4eb7cdd634b5e0ebf101f4c098ea51
4	10	43504	19	160a4f7a900e865362061331204a8d04ba0e2697db6ee18888a3fe56e4d80515
5	9	103	6	2a2293b24c3786ab98c7efd150beb8d99fc47f9a62a5e7e6c2086df9eacf48db
0	15	336545	26	b373de8c7d5ecc4da53d1024e45bc38002f4f04f33f17bf0fbec3f4ae95421a4
1	14	682012	26	b1c28f085b7c03d77e81c6b2c05c2145b963c5fc2f6c13074b8a3dddb1d99841
2	13	772322	26	af0adcb969260556340d8013dbe2228eee173caeb967fafd04c4f1df298fed87
3	12	457577	23	c1a5833b4bfae7525fc1efc21e2e4a7b9dafb60c3d802b82fd5ed7c115793cc3
4	11	101304	20	0f97e568e97702698c13768add2ccf3c43c9683381a3d9cb308839936249df2c
5	10	1145	10	a6ebc0b264f4b136e469e639722fe05ecc6386d9c94fa6812690abf6ebbcb313
0	16	386875	26	18573db71c7813e7f0900b575c2febc9a8ce961cbf761f22524f335798aef419
1	15	804744	26	8d9d89b895e2defaa5d7cc80e68dcfc084d306de07db75b825e46a4fbeee2ee1
2	14	946166	26	27339abf783102e72171fe26c6892c2480f0ccfd586810c054d3e494adccaa55
3	13	649956	23	613338c6a1f9b174811d8726ebca7666a7372e5a4532c275df1d3174c30f5db1
4	12	196581	22	2f7073b01a54565cc0bce2a8be2c2960d9f98098b90236b0a5083f78413647b0
5	11	4935	14	8e7bdc2439c377f6df897471d8076d55d1762d292dace63ccbe8c2a3a7496e25
0	17	436067	26	30824851e5df982aabd56200312fcf3a104464a8421409ff186d3326e0e22150
1	16	960737	26	e37a60a0088d9236b097223c917043c97ab3e21c3f6e8068ad4806b368e910d0
2	15	1229892	26	89574660e078de8f37f3f25231100d6cae8aa717f21e9e5b74f7f980486a71c4
3	14	923917	25	66be6050106d59d0720a68f8d8f1077d5389b65bf3bb75b5aa5be52e8ee167ed
4	13	347613	23	11b057570415a5dae2cba1651738506111fd7adfef1596305d8f255af44389f2
5	12	22876	18	cb95e3a4ecd72be8da7123da1e7bd4f350a768a81b407750795b53970a4a427b
6	11	8	2	01cbdeb676f5a3d7c00d7403e6bcc2f47a8aa5e27c9159b2a3c422e06b846e75
0	18	483321	26	69bcaf286b184b363ad32a5ea1265bc026963223a4c5e6a223305499024c56c8
1	17	1081958	26	10958e40400c7480d8d6396eb93946287b14f09438c804f513d8e4aa66502eca
2	16	1477165	26	8dbe83f850cd95d6210f69ab2e1d585dbf526ccc85bbef732739b2af4677a6e7
3	15	1128342	25	8823c868c4cdbe8c67f4ef84a78bfb00d1680c18ac72a3d5ddbb3c4cf7d3f7fd
4	14	499138	23	27587ac5035298bc0f67ab1418d0fd880cc5bbb6d24ea5c129e5b236eb34e9bb
5	13	64352	21	e9d8386bf01f2f2e2c5cde378c133471aa3e434332a010f423be777c3f2dd730
6	12	107	6	4c0d41a25c57e86ab9ba3bb158db8e210213cb8e46e98641021727f19e0c8cba
0	19	527922	26	76e6d38d5192ff92e11ff3fa9043e76f525f6d022cc717a1b8cf0fa9803c3243
1	18	1239164	26	98ebfab882700b6f83d2dfa72a00b0e14254ec92f5c47e6953251ca48867e85e
2	17	1656617	26	ab9edc2541ffb09b665c90cc2f0799215be0af5b07fcb4da04a8b43e41679e18
3	16	1578446	26	4b53bf5043428dae3599a768962331b2efc6af056ae767243704ddda9757252c
