X_power	W_power	literal_terms	semantic_degree	sha256
0	0	1	0	2d6abc707f07e9dc71665247b3dc36a8bce41f5ec3a722f92d42620eba983d99
0	1	1	0	0d36fb48709545a6d2aaf64c5b704253007a0baba005b1626209d62733a7685f
1	0	1	0	25ff7540d924f80ebad17717c99e0650e03b4d7bad5c4144cb74ec4862d75865
0	2	1	0	7702a3214c53db2f0f74c5bb711d1fb2ceb075f90c7888d2e7964e1bed18c244
1	1	1	0	415660cb7d983b8d6405d1538f76c0c5ea46fcd5871f293861945c8e9e82f14a
2	0	1	0	b66168d80b7a13a2d0147a40af7c6743ba48985a0b83d3d21d328cf826d06472
0	3	1	0	2b545fadfdd26861409df54f35acb12ea3abc36d9fd11b0f383f83bc1515b537
1	2	1	0	53b815f4a93529de4087557a06409d61b92d048b4419912888b331481348c4bb
2	1	1	0	ec3762759c5f4f20a116ace9a9785fd7512accc0fcbd8999ef3fb9ac04b8fb8b
0	4	1	0	f81d054425c8cf9f5998c52ef559ae725c93be2df130787a7cbe703872c48088
1	3	1	0	bb580c1d60ef97f09e6be413196959e66f6e0b1a62b1d4b851fc8c5e7c0cecd5
2	2	1	0	d10f938862a1c58b56e5f343bd2c1354e00b010fd4df9c295b5b929ff2e534ae
0	5	1	0	2f20119e9c031eff474256ea205f1a0a5376fb7981c339058dfb2fb4183320f5
1	4	1	0	a97e290f7ac49695bc627603f2cefa51f6229da998dd08a37703e3ab04ee99b2
2	3	1	0	4274627b992b14978c0bbffeff2b65856af9b324a1316f7a5f36acc46c8e0d70
3	2	1	0	1c4e91d9e2eff0638a1b3e0e97c32dfd6d584489a251c71e7dd3f14d57a45f79
0	6	1	0	f2b8a311fd6bf1d5f709caee2c096d8c41ed2e833c457524cb1063eda52c75b2
1	5	1	0	cd26404186ba73e9225f74731c150bdd544a6d20c55b0c21207aa3d41c75bb00
2	4	1	0	ada63cd6aeb9b46203768ba5e37bb0574a02925c133b88f97d5861fc2aaead11
3	3	1	0	40266fdf0ceb35824c28c45472fff90c928792d3caf9f0be9865ca24af81dd4c
0	7	1	0	5003c73615d508f05b58a16b60a524639984d69b3c6b0764f7628bb62b86ef91
1	6	1	0	6da7c185b26b183c56c26e8d40d7e3d3fa6446f032b007bfaf353953af15d4a3
2	5	1	0	959f3c506518493769403e6f879b0f5f8620050c0de0b943d05001f3c4ee52c0
3	4	1	0	99abcf7283054ba7e9b937d84abba78bcddbd1da12b15535af7a0eacfdda9d24
0	8	1	0	f70ca44403bfa91e779654bbafad4f4e5ea4f0e9b8ed0894e0dc2f5ca0151765
1	7	1	0	f6e0ca4cf507644107355b7341fb0d77ac14481b3bee6444e6bcd22f32d05a25
2	6	1	0	42a6d3ed0651cff001d342d365d7e38a9bc4afc865e787dd9937158272475e1a
3	5	1	0	1c7d68a48c083aa9585da4ed3810f8bf9a044cbbd40a4eda997dc31601cdbb5f
0	9	1	0	a5dce3f2f3d8f5c4e637801454caf83e8cde80ba349445f15c7d598677787c82
1	8	1	0	cf3b6c6064bfdeadb79e633fd633581f5288519bbe547352f374be1fc505ef37
2	7	1	0	a343c42deb42dd32784d61d90d1f65c10418816483c4a58c987b0cc227d7c4a9
3	6	1	0	e859db5403a955de38055cd127911705d0b6a8ae104ff6b678ce265185fbb2eb
4	5	1	0	b4ffc82f89bc24bb6ad4724f9f9170f13fdad5c623fc1e0eb2003e17abcc111a
0	10	1	0	42b74e28bb342a08b92ba9ef54b4610c73d3ed7305d8f40be1e501be464d28a8
1	9	1	0	2ed227778831cc164d139b7e0f811a57162085a71eaf1a02ae4228b4085eaed7
2	8	1	0	22965a8dbd095650525620fe42a12a3056cb946cb5f11247733db1b1f91c03d2
3	7	1	0	0002ea40744a44039e47fbbedaf2033bc10eeadd24e280b4e5e4f8ad2a8d5681
4	6	1	0	e174897de76ac0992b63be99bc59cfa74f67ec5cae501b2139fac95a6ed20a4d
0	11	1	0	ae4df70f049285f92ac6e44f00a43ee8f90ecdf33ed0e7fff7eb825540124061
1	10	1	0	e419baae72ecb3a669cd1c32ce79435d8998590fd76528ad6e957d2bddc076aa
2	9	1	0	c78678a9458e91075c4d23ec2d1ddb1aef703be05dacdcca6273c73e4ffbc440
3	8	1	0	b4c5f7b2cd1f0cb9f0f853d65653c7eb02b89198381cd2b5efe3516fa3a0d9e9
4	7	1	0	22daaac5612c051349fe49cc480e833e401d7f38e3659c46fc52b57416dafb59
0	12	1	0	bcc33a8ac0250cc2222e6611882b87509838f7eaf8fac1d0274ec1f0db64666a
1	11	1	0	3ea197dff963e9b661e6dc6c0e555dc8e7285c680703e165c55b891482e5a8ec
2	10	1	0	c158960d73d95e6f3514eb597fe8501ae5bb01ecdcc0b5667f7136597439733f
3	9	1	0	3627be616fc9f8480d5f827a6e934407dd673567b0af3c8b210b8bbd4305cca3
4	8	1	0	75da597c5fc6422c3375f789d4e84f1f855d2f247ae54f8eb20c8fd274cb3de0
0	13	1	0	c956f18b847400afd219d3d5bc177fc06352c7305f46dd896ed71198a04aa0de
1	12	1	0	706e181cca560d2b8b479434e42c60e18cda3366fa8dbde06f5e474cdb2d83f3
2	11	1	0	64fb6ee2f65e4a0ee2bb382225f9c7432bc85623145a83d0c73c922dbc945d14
3	10	1	0	bb55092360b367cd00afb98006647e6284b6edb7775cb0e0b61c3693c60eec7c
4	9	1	0	176686020628b263d88767f37302ee38909f0810aa1f4ecb3f9cec49222e69e1
5	8	1	0	f791740ceb5ba2d187a6d9eb1aa85cbd605ed13d3607950d6ce4055fa29f37e1
0	14	1	0	328b5004b0e7583fa28cb465ab422fcf87183e7e5cba271a2c7ad5d366098c9e
1	13	1	0	f2352823b1f7bee03c6a268d4d65f541df4c3d03846880628d12461aa155c5f1
2	12	1	0	ff4162184ec9d6deddd0de820649cd7b7fcf5034bc593e4d301411e7ab4444e4
3	11	1	0	0d0abe72cf93b0e01762411a82a89afa42edcf7eecd653546030b30cd0afbc5c
4	10	1	0	6f33dda67982a6c3f6061d939a3a1585d8f4c0071eab412f9f79fc7ada59dda8
5	9	1	0	2e2e3c53dc4d07a442a7cb17c5cc98f556517a0a6cd0a9d2b055b15a3ddedfbf
0	15	1	0	7e35e71111c2915e3177f1f02bc7856e872aac6f07cc28225da810b883fc95b2
1	14	1	0	abfe9613c5454bfc515fa009811e6bedfc01eb1a24f090f76da1aec847519d71
2	13	1	0	7bc14f6ebaff0dbc3806359438845a4b8e060caa0e5c5e5dd6e2463597a995ea
3	12	1	0	c17afaecd283d26eef05bbd2c62a7166052d09681d97d237817890a42a74fcdc
4	11	1	0	08f8261bec12ad0323d66ba5481da9a88ac0c7c706975c796ac4c60f3b0de756
5	10	1	0	ef4a099311fe88ca360b43b2dec31b464d9080fcda4b71efba556bc9b804e569
0	16	1	0	9e38dd022e672fd0456c0b65951f9524e52e89ce4e7def303ea4dfcc9475efdc
1	15	1	0	cbec736a4937c026fa16255b3e4551db1d1f5a646464d1357b60aae57b73199f
2	14	1	0	b264f38e92c0832bbecd3cb4b4ec7704f93f4c3c7a9c13a4f8d82d173d8f34a4
