branch,lane,phase,power,dimension,jet0_gauge,residual_rows,rational_point_status,record_source
delta2,finite-source,0,0,1025,free,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results/full-delta2.json
delta2,finite-source,1,1,978,free,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results/full-delta2.json
delta2,finite-source,2,2,936,free,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results/full-delta2.json
delta2,finite-source,3,3,902,free,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results/full-delta2.json
delta2,finite-source,4,4,875,free,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results/full-delta2.json
delta2,finite-source,5,5,856,free,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results/full-delta2.json
delta2,finite-source,6,6,842,free,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results/full-delta2.json
delta2,finite-source,7,7,831,free,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results/full-delta2.json
delta2,finite-source,8,8,824,free,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results/full-delta2.json
delta2,complete-minor,inner_strict,8,822,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,inner_strict,9,821,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,inner_strict,10,820,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,inner_strict,11,819,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,inner_strict,12,818,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,inner_strict,13,816,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,inner_strict,14,814,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,inner_strict,15,812,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,inner_strict,16,810,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,inner_strict,17,807,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,inner_strict,19,806,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,inner_strict,20,805,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,inner_strict,21,804,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,inner_strict,22,803,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,inner_strict,23,801,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,inner_strict,24,799,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,inner_strict,25,797,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,inner_strict,26,795,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,inner_target,27,790,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,8,789,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,9,788,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,10,787,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,11,785,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,12,783,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,13,781,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,14,778,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,15,775,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,16,772,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,17,768,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,18,764,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,19,760,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,20,755,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,21,748,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,22,741,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,23,733,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,24,725,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,25,717,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,26,713,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,27,709,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,28,705,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,29,701,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,30,695,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,31,689,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,32,683,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,33,677,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,34,671,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,35,663,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,36,655,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,37,647,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,38,639,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,39,629,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,40,619,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,41,609,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,42,599,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,43,587,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,44,575,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,45,563,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,46,551,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,47,539,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,48,525,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,49,511,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,50,497,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,51,483,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,52,467,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,54,466,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,55,465,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
delta2,complete-minor,outer_strict,56,464,jet0=0; audited isomorphism,0,FOUND_EXACT_Q,/home/ubuntu/jc2/box/g9966-corrected-20260905/results-source-full/source-full-delta2_minor_block.json
