source_index|h_power|x_power|y_power|expr
0|0|5|2|(3*A2_1_2*B2_1_2)
1|0|4|2|(-10*h_0_2*A2_1_2*B2_1_2+3*A2_0_2*B2_1_2+2*A2_1_2*B2_0_2+2*A2_1_2*B2_1_1+3*A2_1_1*B2_1_2)
2|0|4|1|(-3*h_0_1*A2_1_2*B2_1_2)
3|0|4|0|(-3*h_0_0*A2_1_2*B2_1_2)
4|0|3|2|(12*h_0_2^2*A2_1_2*B2_1_2-10*h_0_2*A2_0_2*B2_1_2-6*h_0_2*A2_1_2*B2_0_2-5*h_0_2*A2_1_2*B2_1_1-7*h_0_2*A2_1_1*B2_1_2-8*h_0_1*A2_1_2*B2_1_2+2*A2_0_2*B2_0_2+2*A2_0_2*B2_1_1+A2_1_2*B2_0_1+A2_1_2*B2_1_0+3*A2_0_1*B2_1_2+2*A2_1_1*B2_0_2+2*A2_1_1*B2_1_1+3*A2_1_0*B2_1_2-2*A3_2_2*B2_1_2)
5|0|3|1|(7*h_0_2*h_0_1*A2_1_2*B2_1_2-3*h_0_1*A2_0_2*B2_1_2-2*h_0_1*A2_1_2*B2_0_2-2*h_0_1*A2_1_2*B2_1_1-3*h_0_1*A2_1_1*B2_1_2-3*h_0_0*A2_1_2*B2_1_2)
6|0|3|0|(7*h_0_2*h_0_0*A2_1_2*B2_1_2-3*h_0_0*A2_0_2*B2_1_2-2*h_0_0*A2_1_2*B2_0_2-2*h_0_0*A2_1_2*B2_1_1-3*h_0_0*A2_1_1*B2_1_2)
7|0|2|2|(-6*h_0_2^3*A2_1_2*B2_1_2+12*h_0_2^2*A2_0_2*B2_1_2+6*h_0_2^2*A2_1_2*B2_0_2+4*h_0_2^2*A2_1_2*B2_1_1+5*h_0_2^2*A2_1_1*B2_1_2+12*h_0_2*h_0_1*A2_1_2*B2_1_2-6*h_0_2*A2_0_2*B2_0_2-5*h_0_2*A2_0_2*B2_1_1-2*h_0_2*A2_1_2*B2_0_1-2*h_0_2*A2_1_2*B2_1_0-7*h_0_2*A2_0_1*B2_1_2-4*h_0_2*A2_1_1*B2_0_2-3*h_0_2*A2_1_1*B2_1_1-4*h_0_2*A2_1_0*B2_1_2+2*h_0_2*A3_2_2*B2_1_2-8*h_0_1*A2_0_2*B2_1_2-4*h_0_1*A2_1_2*B2_0_2-4*h_0_1*A2_1_2*B2_1_1-5*h_0_1*A2_1_1*B2_1_2-6*h_0_0*A2_1_2*B2_1_2+A2_0_2*B2_0_1+A2_0_2*B2_1_0+2*A2_0_1*B2_0_2+2*A2_0_1*B2_1_1+A2_1_1*B2_0_1+A2_1_1*B2_1_0+3*A2_0_0*B2_1_2+2*A2_1_0*B2_0_2+2*A2_1_0*B2_1_1-4*A3_2_2*B2_0_2)
8|0|2|1|(-5*h_0_2^2*h_0_1*A2_1_2*B2_1_2+7*h_0_2*h_0_1*A2_0_2*B2_1_2+4*h_0_2*h_0_1*A2_1_2*B2_0_2+3*h_0_2*h_0_1*A2_1_2*B2_1_1+4*h_0_2*h_0_1*A2_1_1*B2_1_2+4*h_0_2*h_0_0*A2_1_2*B2_1_2+5*h_0_1^2*A2_1_2*B2_1_2-2*h_0_1*A2_0_2*B2_0_2-2*h_0_1*A2_0_2*B2_1_1-h_0_1*A2_1_2*B2_0_1-h_0_1*A2_1_2*B2_1_0-3*h_0_1*A2_0_1*B2_1_2-2*h_0_1*A2_1_1*B2_0_2-2*h_0_1*A2_1_1*B2_1_1-3*h_0_1*A2_1_0*B2_1_2+2*h_0_1*A3_2_2*B2_1_2-3*h_0_0*A2_0_2*B2_1_2-2*h_0_0*A2_1_2*B2_0_2-2*h_0_0*A2_1_2*B2_1_1-3*h_0_0*A2_1_1*B2_1_2-2*A2_1_0*B2_1_0+2*A3_2_2*B2_1_0)
9|0|2|0|(-5*h_0_2^2*h_0_0*A2_1_2*B2_1_2+7*h_0_2*h_0_0*A2_0_2*B2_1_2+4*h_0_2*h_0_0*A2_1_2*B2_0_2+3*h_0_2*h_0_0*A2_1_2*B2_1_1+4*h_0_2*h_0_0*A2_1_1*B2_1_2+5*h_0_1*h_0_0*A2_1_2*B2_1_2-2*h_0_0*A2_0_2*B2_0_2-2*h_0_0*A2_0_2*B2_1_1-h_0_0*A2_1_2*B2_0_1-h_0_0*A2_1_2*B2_1_0-3*h_0_0*A2_0_1*B2_1_2-2*h_0_0*A2_1_1*B2_0_2-2*h_0_0*A2_1_1*B2_1_1-3*h_0_0*A2_1_0*B2_1_2+2*h_0_0*A3_2_2*B2_1_2-c)
