parameters,B,Y,columns,rows,nonzeros,rank_Q,rank_Fp,hilbert_Q,I_piece_zero,status
77,0,0,1,0,0,0,0,1,True,EXACT_Q
77,1,0,0,0,0,0,0,0,True,EXACT_Q
77,2,0,0,0,0,0,0,0,True,EXACT_Q
77,3,0,0,0,0,0,0,0,True,EXACT_Q
77,4,0,0,0,0,0,0,0,True,EXACT_Q
77,0,1,2,0,0,0,0,2,True,EXACT_Q
77,1,1,2,1,1,1,1,1,False,EXACT_Q
77,2,1,0,0,0,0,0,0,True,EXACT_Q
77,3,1,0,0,0,0,0,0,True,EXACT_Q
77,4,1,0,0,0,0,0,0,True,EXACT_Q
77,0,2,5,0,0,0,0,5,True,EXACT_Q
77,1,2,6,3,5,3,3,3,False,EXACT_Q
77,2,2,3,3,3,2,2,1,False,EXACT_Q
77,3,2,0,0,0,0,0,0,True,EXACT_Q
77,4,2,0,0,0,0,0,0,True,EXACT_Q
77,0,3,10,0,0,0,0,10,True,EXACT_Q
77,1,3,16,8,18,8,8,8,False,EXACT_Q
77,2,3,10,11,18,8,8,2,False,EXACT_Q
77,3,3,4,6,6,3,3,1,False,EXACT_Q
77,4,3,0,0,0,0,0,0,True,EXACT_Q
77,0,4,20,0,0,0,0,20,True,EXACT_Q
77,1,4,34,18,52,18,18,16,False,EXACT_Q
77,2,4,30,32,71,24,24,6,False,EXACT_Q
77,3,4,14,24,39,12,12,2,False,EXACT_Q
77,4,4,5,10,10,4,4,1,False,EXACT_Q
77,0,5,36,0,0,0,0,36,True,EXACT_Q
77,1,5,70,38,134,38,38,32,False,EXACT_Q
77,2,5,68,76,220,57,57,11,False,EXACT_Q
77,3,5,44,75,165,39,39,5,False,EXACT_Q
77,4,5,18,42,68,16,16,2,False,EXACT_Q
77,0,6,65,0,0,0,0,65,True,EXACT_Q
77,1,6,132,74,313,74,74,58,False,EXACT_Q
77,2,6,146,166,592,124,124,22,False,EXACT_Q
77,3,6,106,187,538,96,96,10,False,EXACT_Q
77,4,6,58,137,298,53,53,5,False,EXACT_Q
77,0,7,110,0,0,0,0,110,True,EXACT_Q
77,1,7,242,139,684,139,139,103,False,EXACT_Q
77,2,7,284,334,1435,248,248,36,False,EXACT_Q
77,3,7,236,423,1506,217,217,19,False,EXACT_Q
77,4,7,144,355,1006,135,135,9,False,EXACT_Q
77,0,8,185,0,0,0,0,185,True,EXACT_Q
77,1,8,422,249,1411,249,249,173,False,EXACT_Q
77,2,8,534,641,3223,473,473,61,False,EXACT_Q
77,3,8,474,875,3763,442,442,32,False,EXACT_Q
77,4,8,331,827,2897,313,313,18,False,EXACT_Q
77,0,9,300,0,0,0,0,300,True,EXACT_Q
77,1,9,722,434,2786,434,434,288,False,EXACT_Q
77,2,9,952,1173,6807,857,857,95,False,EXACT_Q
77,3,9,912,1716,8662,857,857,55,False,EXACT_Q
77,4,9,682,1753,7417,652,652,30,False,EXACT_Q
77,0,10,481,0,0,0,0,481,True,EXACT_Q
77,1,10,1196,734,5293,734,734,462,False,EXACT_Q
77,2,10,1658,2080,13695,1508,1508,150,False,EXACT_Q
77,3,10,1660,3200,18667,1574,1574,86,False,EXACT_Q
77,4,10,1340,3506,17419,1289,1289,51,False,EXACT_Q
77,0,11,752,0,0,0,0,752,True,EXACT_Q
77,1,11,1948,1215,9744,1215,1215,733,False,EXACT_Q
77,2,11,2794,3576,26454,2567,2567,227,False,EXACT_Q
77,3,11,2938,5765,38196,2802,2802,136,False,EXACT_Q
77,4,11,2484,6650,38190,2404,2404,80,False,EXACT_Q
77,0,12,1165,0,0,0,0,1165,True,EXACT_Q
77,1,12,3102,1967,17442,1967,1967,1135,False,EXACT_Q
77,2,12,4621,6005,49394,4274,4274,347,False,EXACT_Q
77,3,12,5028,10055,74850,4822,4822,206,False,EXACT_Q
77,4,12,4464,12153,79277,4336,4336,128,False,EXACT_Q
77,0,13,1770,0,0,0,0,1770,True,EXACT_Q
77,1,13,4872,3132,30478,3132,3132,1740,False,EXACT_Q
77,2,13,7466,9859,89554,6952,6952,514,False,EXACT_Q
77,3,13,8426,17105,141518,8114,8114,312,False,EXACT_Q
77,4,13,7742,21471,157331,7549,7549,193,False,EXACT_Q
77,0,14,2665,0,0,0,0,2665,True,EXACT_Q
77,1,14,7522,4902,52110,4902,4902,2620,False,EXACT_Q
77,2,14,11881,15896,158282,11118,11118,763,False,EXACT_Q
77,3,14,13790,28425,259438,13330,13330,460,False,EXACT_Q
77,4,14,13129,36947,300748,12836,12836,293,False,EXACT_Q
111,0,0,1,0,0,0,0,1,True,EXACT_Q
111,1,0,0,0,0,0,0,0,True,EXACT_Q
111,2,0,0,0,0,0,0,0,True,EXACT_Q
111,3,0,0,0,0,0,0,0,True,EXACT_Q
111,4,0,0,0,0,0,0,0,True,EXACT_Q
111,5,0,0,0,0,0,0,0,True,EXACT_Q
111,6,0,0,0,0,0,0,0,True,EXACT_Q
111,0,1,2,0,0,0,0,2,True,EXACT_Q
111,1,1,0,0,0,0,0,0,True,EXACT_Q
111,2,1,0,0,0,0,0,0,True,EXACT_Q
111,3,1,0,0,0,0,0,0,True,EXACT_Q
111,4,1,0,0,0,0,0,0,True,EXACT_Q
111,5,1,0,0,0,0,0,0,True,EXACT_Q
111,6,1,0,0,0,0,0,0,True,EXACT_Q
111,0,2,5,0,0,0,0,5,True,EXACT_Q
111,1,2,2,1,1,1,1,1,False,EXACT_Q
111,2,2,0,0,0,0,0,0,True,EXACT_Q
111,3,2,0,0,0,0,0,0,True,EXACT_Q
111,4,2,0,0,0,0,0,0,True,EXACT_Q
111,5,2,0,0,0,0,0,0,True,EXACT_Q
111,6,2,0,0,0,0,0,0,True,EXACT_Q
111,0,3,10,0,0,0,0,10,True,EXACT_Q
111,1,3,6,3,5,3,3,3,False,EXACT_Q
111,2,3,0,0,0,0,0,0,True,EXACT_Q
111,3,3,0,0,0,0,0,0,True,EXACT_Q
111,4,3,0,0,0,0,0,0,True,EXACT_Q
111,5,3,0,0,0,0,0,0,True,EXACT_Q
111,6,3,0,0,0,0,0,0,True,EXACT_Q
111,0,4,20,0,0,0,0,20,True,EXACT_Q
111,1,4,16,8,18,8,8,8,False,EXACT_Q
111,2,4,3,3,3,2,2,1,False,EXACT_Q
111,3,4,0,0,0,0,0,0,True,EXACT_Q
111,4,4,0,0,0,0,0,0,True,EXACT_Q
111,5,4,0,0,0,0,0,0,True,EXACT_Q
111,6,4,0,0,0,0,0,0,True,EXACT_Q
111,0,5,36,0,0,0,0,36,True,EXACT_Q
111,1,5,36,18,53,18,18,18,False,EXACT_Q
111,2,5,10,11,18,8,8,2,False,EXACT_Q
111,3,5,0,0,0,0,0,0,True,EXACT_Q
111,4,5,0,0,0,0,0,0,True,EXACT_Q
111,5,5,0,0,0,0,0,0,True,EXACT_Q
111,6,5,0,0,0,0,0,0,True,EXACT_Q
111,0,6,65,0,0,0,0,65,True,EXACT_Q
111,1,6,76,38,139,38,38,38,False,EXACT_Q
111,2,6,32,32,72,24,24,8,False,EXACT_Q
111,3,6,4,6,6,3,3,1,False,EXACT_Q
111,4,6,0,0,0,0,0,0,True,EXACT_Q
111,5,6,0,0,0,0,0,0,True,EXACT_Q
111,6,6,0,0,0,0,0,0,True,EXACT_Q
111,0,7,110,0,0,0,0,110,True,EXACT_Q
111,1,7,148,74,332,74,74,74,False,EXACT_Q
111,2,7,78,78,232,59,59,19,False,EXACT_Q
111,3,7,14,24,39,12,12,2,False,EXACT_Q
111,4,7,0,0,0,0,0,0,True,EXACT_Q
111,5,7,0,0,0,0,0,0,True,EXACT_Q
111,6,7,0,0,0,0,0,0,True,EXACT_Q
111,0,8,185,0,0,0,0,185,True,EXACT_Q
111,1,8,278,139,740,139,139,139,False,EXACT_Q
111,2,8,178,174,649,133,133,45,False,EXACT_Q
111,3,8,50,77,173,42,42,8,False,EXACT_Q
111,4,8,5,10,10,4,4,1,False,EXACT_Q
111,5,8,0,0,0,0,0,0,True,EXACT_Q
111,6,8,0,0,0,0,0,0,True,EXACT_Q
111,0,9,300,0,0,0,0,300,True,EXACT_Q
111,1,9,498,249,1560,249,249,249,False,EXACT_Q
111,2,9,368,358,1642,275,275,93,False,EXACT_Q
111,3,9,134,201,600,113,113,21,False,EXACT_Q
111,4,9,18,42,68,16,16,2,False,EXACT_Q
111,5,9,0,0,0,0,0,0,True,EXACT_Q
111,6,9,0,0,0,0,0,0,True,EXACT_Q
111,0,10,481,0,0,0,0,481,True,EXACT_Q
111,1,10,868,434,3143,434,434,434,False,EXACT_Q
111,2,10,729,701,3844,541,541,188,False,EXACT_Q
111,3,10,326,475,1789,274,274,52,False,EXACT_Q
111,4,10,68,145,322,61,61,7,False,EXACT_Q
111,5,10,6,14,14,5,5,1,False,EXACT_Q
111,6,10,0,0,0,0,0,0,True,EXACT_Q
111,0,11,752,0,0,0,0,752,True,EXACT_Q
111,1,11,1468,734,6090,734,734,734,False,EXACT_Q
111,2,11,1366,1309,8463,1013,1013,353,False,EXACT_Q
111,3,11,716,1027,4773,602,602,114,False,EXACT_Q
111,4,11,196,403,1191,176,176,20,False,EXACT_Q
111,5,11,22,63,101,20,20,2,False,EXACT_Q
111,6,11,0,0,0,0,0,0,True,EXACT_Q
111,0,12,1164,0,0,0,0,1164,True,EXACT_Q
111,1,12,2430,1215,11415,1215,1215,1215,False,EXACT_Q
111,2,12,2482,2362,17711,1833,1833,649,False,EXACT_Q
111,3,12,1488,2099,11707,1248,1248,240,False,EXACT_Q
111,4,12,510,1003,3755,457,457,53,False,EXACT_Q
111,5,12,86,231,505,79,79,7,False,EXACT_Q
111,6,12,7,18,18,6,6,1,False,EXACT_Q
111,0,13,1767,0,0,0,0,1767,True,EXACT_Q
111,1,13,3933,1967,20780,1967,1967,1966,False,EXACT_Q
111,2,13,4351,4130,35526,3210,3210,1141,False,EXACT_Q
111,3,13,2915,4073,26846,2445,2445,470,False,EXACT_Q
111,4,13,1181,2271,10524,1060,1060,121,False,EXACT_Q
111,5,13,258,680,1972,241,241,17,False,EXACT_Q
111,6,13,26,84,134,24,24,2,False,EXACT_Q
