    PID    PPID   RSS     ELAPSED COMMAND
   3445       1 47460       57:09 fwupd
   1270       1 40616    01:10:34 snapd
    686       1 27296    01:10:55 multipathd
   1344       1 22936    01:10:34 unattended-upgr
   1268       1 22444    01:10:35 amazon-ssm-agen
   1265       1 20860    01:10:35 networkd-dispat
    630       1 18240    01:10:55 systemd-journal
   1275       1 13996    01:10:34 udisksd
      1       0 13608    01:11:05 systemd
   1362       1 13032    01:10:34 ModemManager
   1090       1 12884    01:10:44 systemd-resolve
   1350       1 11688    01:10:34 systemd
  14079    1792 10644       00:00 sshd
    690       1 10260    01:10:55 systemd-udevd
   1198       1 10188    01:10:38 systemd-network
   1266       1 10132    01:10:35 polkitd
   1272       1  9112    01:10:34 systemd-logind
   1792       1  8212    01:09:21 sshd
  14127   14079  7320       00:00 sshd
   1317       1  7000    01:10:34 rsyslogd
   1258       1  5760    01:10:35 dbus-daemon
   1263       1  4784    01:10:35 irqbalance
  14128   14127  4392       00:00 ps
   1367       1  4008    01:10:34 chronyd
   1387    1350  3660    01:10:34 (sd-pam)
   1257       1  2896    01:10:35 cron
   1392    1367  2440    01:10:34 chronyd
   1283       1  2228    01:10:34 agetty
   1289       1  2092    01:10:34 agetty
   1253       1  2080    01:10:35 acpid
      2       0     0    01:11:05 kthreadd
      3       2     0    01:11:05 pool_workqueue_release
      4       2     0    01:11:05 kworker/R-rcu_gp
      5       2     0    01:11:05 kworker/R-sync_wq
      6       2     0    01:11:05 kworker/R-kvfree_rcu_reclaim
      7       2     0    01:11:05 kworker/R-slub_flushwq
      8       2     0    01:11:05 kworker/R-netns
     10       2     0    01:11:05 kworker/0:0H-kblockd
     11       2     0    01:11:05 kworker/0:1-events
     13       2     0    01:11:05 kworker/R-mm_percpu_wq
     14       2     0    01:11:05 ksoftirqd/0
     15       2     0    01:11:05 rcu_sched
     16       2     0    01:11:05 rcu_exp_par_gp_kthread_worker/1
     17       2     0    01:11:05 rcu_exp_gp_kthread_worker
     18       2     0    01:11:05 migration/0
     19       2     0    01:11:05 kprobe-optimizer
