D	m	M_2..M_s	s	d_s	u_s	v_s	g	NONRES	resonant_j	row_count	pair_count	strict_orders
99	66	77,97	3	11	3	8	1	True	-	1	6	4/3,3/2,5/3,2,7/3,5/2
108	72	81,106	3	9	2	7	1	True	-	1	4	3/2,2,5/2,3
120	80	-60,-10,25,118	5	5	2	3	1	True	-	1	0	-
120	100	30,115,118	4	5	2	3	1	True	-	1	0	-
126	84	-21,70,124	4	7	2	5	1	True	-	2	2	3/2,2
126	84	-14,63,124	4	7	2	5	1	True	-	2	2	3/2,2
126	84	105,119,124	4	7	2	5	1	True	-	1	2	3/2,2
126	84	112,119,124	4	7	2	5	1	True	-	1	2	3/2,2
135	90	105,133	3	15	4	11	1	True	-	1	10	5/4,4/3,3/2,5/3,7/4,2,9/4,7/3,5/2,8/3
140	120	-10,135,138	4	5	2	3	1	True	-	1	0	-
144	96	-72,84,102,142	5	6	2	4	2	False	3	3	1	3/2
144	96	-72,84,126,142	5	6	2	4	2	False	3	3	1	3/2
144	96	-72,84,138,142	5	6	2	4	2	False	3	2	1	3/2
144	96	72,84,102,142	5	6	2	4	2	False	3	3	1	3/2
144	96	72,84,138,142	5	6	2	4	2	False	3	3	1	3/2
144	96	120,136,142	4	8	3	5	1	True	-	1	2	4/3,3/2
144	96	120,138,142	4	6	2	4	2	False	3	1	1	3/2
144	108	117,142	3	9	2	7	1	True	-	1	4	3/2,2,5/2,3
144	108	132,138,142	4	6	2	4	2	False	3	1	1	3/2
144	120	132,138,142	4	6	2	4	2	False	3	1	1	3/2
147	42	133,145	3	7	2	5	1	True	-	1	2	3/2,2
147	63	133,145	3	7	2	5	1	True	-	1	2	3/2,2
150	60	105,145,148	4	5	2	3	1	True	-	1	0	-
150	100	-60,65,148	4	5	2	3	1	True	-	2	0	-
150	100	-10,85,148	4	5	2	3	1	True	-	3	0	-
150	100	40,105,148	4	5	2	3	1	True	-	3	0	-
150	100	90,125,148	4	5	2	3	1	True	-	2	0	-
150	120	40,145,148	4	5	2	3	1	True	-	1	0	-
150	120	80,145,148	4	5	2	3	1	True	-	1	0	-
160	64	112,152,158	4	8	3	5	1	True	-	1	2	4/3,3/2
160	120	-100,-50,55,158	5	5	2	3	1	True	-	3	0	-
