D	m	M_2..M_s	s	d_s	u_s	v_s	g	NONRES	resonant_j	row_count	pair_count	strict_orders
144	96	-72,84,102,142	5	6	2	4	2	False	3	3	1	3/2
144	96	-72,84,126,142	5	6	2	4	2	False	3	3	1	3/2
144	96	-72,84,138,142	5	6	2	4	2	False	3	2	1	3/2
144	96	72,84,102,142	5	6	2	4	2	False	3	3	1	3/2
144	96	72,84,138,142	5	6	2	4	2	False	3	3	1	3/2
144	96	120,138,142	4	6	2	4	2	False	3	1	1	3/2
144	108	132,138,142	4	6	2	4	2	False	3	1	1	3/2
144	120	132,138,142	4	6	2	4	2	False	3	1	1	3/2
180	72	126,174,178	4	6	2	4	2	False	3	1	1	3/2
180	108	126,168,178	4	6	2	4	2	False	3	1	1	3/2
180	120	-84,126,178	4	6	2	4	2	False	3	3	1	3/2
180	120	-80,150,178	4	10	2	8	2	False	5	2	5	3/2,2,5/2,3,7/2
180	120	-24,138,178	4	6	2	4	2	False	3	2	1	3/2
180	120	36,150,178	4	6	2	4	2	False	3	2	1	3/2
180	120	96,162,178	4	6	2	4	2	False	3	3	1	3/2
180	120	100,170,178	4	10	2	8	2	False	5	2	5	3/2,2,5/2,3,7/2
180	120	150,165,178	4	15	5	10	5	False	3,6,9	1	9	6/5,5/4,4/3,7/5,3/2,8/5,5/3,7/4,9/5
180	120	168,174,178	4	6	2	4	2	False	3	1	1	3/2
180	120	168,178	3	12	3	9	3	False	4,8	1	7	4/3,3/2,5/3,2,7/3,5/2,8/3
192	128	-32,144,184,190	5	8	2	6	2	False	4	3	3	3/2,2,5/2
192	128	32,144,168,190	5	8	2	6	2	False	4	2	3	3/2,2,5/2
192	128	32,144,184,190	5	8	2	6	2	False	4	2	3	3/2,2,5/2
192	128	32,168,190	4	8	2	6	2	False	4	1	3	3/2,2,5/2
192	128	96,144,184,190	5	8	2	6	2	False	4	2	3	3/2,2,5/2
192	128	144,184,190	4	8	2	6	2	False	4	1	3	3/2,2,5/2
192	128	160,176,184,190	5	8	2	6	2	False	4	1	3	3/2,2,5/2
192	144	-120,-12,18,190	5	6	2	4	2	False	3	5	1	3/2
192	144	-72,-12,42,190	5	6	2	4	2	False	3	1	1	3/2
192	144	-72,-12,150,190	5	6	2	4	2	False	3	1	1	3/2
192	144	-72,12,78,190	5	6	2	4	2	False	3	6	1	3/2
192	144	-72,12,114,190	5	6	2	4	2	False	3	2	1	3/2
192	144	-72,108,174,190	5	6	2	4	2	False	3	3	1	3/2
192	144	-24,-12,42,190	5	6	2	4	2	False	3	1	1	3/2
192	144	-24,-12,150,190	5	6	2	4	2	False	3	1	1	3/2
192	144	-24,132,150,190	5	6	2	4	2	False	3	4	1	3/2
192	144	-24,132,174,190	5	6	2	4	2	False	3	5	1	3/2
192	144	-24,132,186,190	5	6	2	4	2	False	3	3	1	3/2
192	144	24,60,186,190	5	6	2	4	2	False	3	1	1	3/2
192	144	72,108,138,190	5	6	2	4	2	False	3	3	1	3/2
192	144	72,108,174,190	5	6	2	4	2	False	3	3	1	3/2
192	144	120,132,150,190	5	6	2	4	2	False	3	3	1	3/2
200	120	20,150,198	4	10	2	8	2	False	5	2	5	3/2,2,5/2,3,7/2
