D	m	M_2..M_s	s	d_s	u_s	v_s	g	resonant_j	V	row_key	Im_min_candidate	IM_max	principal_minor_floor_candidate
144	96	-72,84,102,142	5	6	2	4	2	3	2:1,3:3,4:8,5:4	(144, 96, (-72, 84, 102, 142), ((2, 1), (3, 3), (4, 8), (5, 4)))	2	1630/117	1
144	96	-72,84,102,142	5	6	2	4	2	3	2:2,3:1,4:8,5:4	(144, 96, (-72, 84, 102, 142), ((2, 2), (3, 1), (4, 8), (5, 4)))	2	544/39	1
144	96	-72,84,102,142	5	6	2	4	2	3	2:2,3:3,4:8,5:4	(144, 96, (-72, 84, 102, 142), ((2, 2), (3, 3), (4, 8), (5, 4)))	2	544/39	1
144	96	-72,84,126,142	5	6	2	4	2	3	2:1,3:16,4:8,5:4	(144, 96, (-72, 84, 126, 142), ((2, 1), (3, 16), (4, 8), (5, 4)))	2	2748/143	1
144	96	-72,84,126,142	5	6	2	4	2	3	2:2,3:16,4:8,5:4	(144, 96, (-72, 84, 126, 142), ((2, 2), (3, 16), (4, 8), (5, 4)))	2	8252/429	1
144	96	-72,84,126,142	5	6	2	4	2	3	2:5,3:16,4:8,5:4	(144, 96, (-72, 84, 126, 142), ((2, 5), (3, 16), (4, 8), (5, 4)))	2	8252/429	1
144	96	-72,84,138,142	5	6	2	4	2	3	2:1,3:3,4:8,5:4	(144, 96, (-72, 84, 138, 142), ((2, 1), (3, 3), (4, 8), (5, 4)))	2	542/39	1
144	96	-72,84,138,142	5	6	2	4	2	3	2:2,3:1,4:8,5:4	(144, 96, (-72, 84, 138, 142), ((2, 2), (3, 1), (4, 8), (5, 4)))	2	542/39	1
144	96	72,84,102,142	5	6	2	4	2	3	2:1,3:1,4:8,5:4	(144, 96, (72, 84, 102, 142), ((2, 1), (3, 1), (4, 8), (5, 4)))	2	9	1
144	96	72,84,102,142	5	6	2	4	2	3	2:2,3:1,4:8,5:4	(144, 96, (72, 84, 102, 142), ((2, 2), (3, 1), (4, 8), (5, 4)))	2	41/3	1
144	96	72,84,102,142	5	6	2	4	2	3	2:3,3:3,4:8,5:4	(144, 96, (72, 84, 102, 142), ((2, 3), (3, 3), (4, 8), (5, 4)))	2	41/3	1
144	96	72,84,138,142	5	6	2	4	2	3	2:1,3:1,4:8,5:4	(144, 96, (72, 84, 138, 142), ((2, 1), (3, 1), (4, 8), (5, 4)))	2	9	1
144	96	72,84,138,142	5	6	2	4	2	3	2:2,3:1,4:8,5:4	(144, 96, (72, 84, 138, 142), ((2, 2), (3, 1), (4, 8), (5, 4)))	2	41/3	1
144	96	72,84,138,142	5	6	2	4	2	3	2:3,3:3,4:8,5:4	(144, 96, (72, 84, 138, 142), ((2, 3), (3, 3), (4, 8), (5, 4)))	2	41/3	1
144	96	120,138,142	4	6	2	4	2	3	2:11,3:13,4:4	(144, 96, (120, 138, 142), ((2, 11), (3, 13), (4, 4)))	10	11	1
