D	m	M_2..M_s	d_s	u_s	v_s	delta	delta_denominator	NONRES
99	66	77,97	11	3	8	4/3	3	True
99	66	77,97	11	3	8	3/2	2	True
99	66	77,97	11	3	8	5/3	3	True
99	66	77,97	11	3	8	2	1	True
99	66	77,97	11	3	8	7/3	3	True
99	66	77,97	11	3	8	5/2	2	True
108	72	81,106	9	2	7	3/2	2	True
108	72	81,106	9	2	7	2	1	True
108	72	81,106	9	2	7	5/2	2	True
108	72	81,106	9	2	7	3	1	True
126	84	-21,70,124	7	2	5	3/2	2	True
126	84	-21,70,124	7	2	5	2	1	True
126	84	-14,63,124	7	2	5	3/2	2	True
126	84	-14,63,124	7	2	5	2	1	True
126	84	105,119,124	7	2	5	3/2	2	True
126	84	105,119,124	7	2	5	2	1	True
126	84	112,119,124	7	2	5	3/2	2	True
126	84	112,119,124	7	2	5	2	1	True
135	90	105,133	15	4	11	5/4	4	True
135	90	105,133	15	4	11	4/3	3	True
135	90	105,133	15	4	11	3/2	2	True
135	90	105,133	15	4	11	5/3	3	True
135	90	105,133	15	4	11	7/4	4	True
135	90	105,133	15	4	11	2	1	True
135	90	105,133	15	4	11	9/4	4	True
135	90	105,133	15	4	11	7/3	3	True
135	90	105,133	15	4	11	5/2	2	True
135	90	105,133	15	4	11	8/3	3	True
144	96	-72,84,102,142	6	2	4	3/2	2	False
144	96	-72,84,126,142	6	2	4	3/2	2	False
144	96	-72,84,138,142	6	2	4	3/2	2	False
144	96	72,84,102,142	6	2	4	3/2	2	False
144	96	72,84,138,142	6	2	4	3/2	2	False
144	96	120,136,142	8	3	5	4/3	3	True
144	96	120,136,142	8	3	5	3/2	2	True
144	96	120,138,142	6	2	4	3/2	2	False
144	108	117,142	9	2	7	3/2	2	True
144	108	117,142	9	2	7	2	1	True
144	108	117,142	9	2	7	5/2	2	True
144	108	117,142	9	2	7	3	1	True
144	108	132,138,142	6	2	4	3/2	2	False
144	120	132,138,142	6	2	4	3/2	2	False
147	42	133,145	7	2	5	3/2	2	True
147	42	133,145	7	2	5	2	1	True
147	63	133,145	7	2	5	3/2	2	True
147	63	133,145	7	2	5	2	1	True
160	64	112,152,158	8	3	5	4/3	3	True
160	64	112,152,158	8	3	5	3/2	2	True
162	108	-90,27,160	9	2	7	3/2	2	True
162	108	-90,27,160	9	2	7	2	1	True
162	108	-90,27,160	9	2	7	5/2	2	True
162	108	-90,27,160	9	2	7	3	1	True
162	108	126,153,160	9	2	7	3/2	2	True
162	108	126,153,160	9	2	7	2	1	True
162	108	126,153,160	9	2	7	5/2	2	True
162	108	126,153,160	9	2	7	3	1	True
165	99	143,163	11	3	8	4/3	3	True
165	99	143,163	11	3	8	3/2	2	True
165	99	143,163	11	3	8	5/3	3	True
165	99	143,163	11	3	8	2	1	True
165	99	143,163	11	3	8	7/3	3	True
165	99	143,163	11	3	8	5/2	2	True
165	110	121,163	11	2	9	3/2	2	True
165	110	121,163	11	2	9	2	1	True
165	110	121,163	11	2	9	5/2	2	True
165	110	121,163	11	2	9	3	1	True
165	110	121,163	11	2	9	7/2	2	True
165	110	121,163	11	2	9	4	1	True
168	112	126,166	14	3	11	4/3	3	True
168	112	126,166	14	3	11	3/2	2	True
168	112	126,166	14	3	11	5/3	3	True
168	112	126,166	14	3	11	2	1	True
168	112	126,166	14	3	11	7/3	3	True
168	112	126,166	14	3	11	5/2	2	True
168	112	126,166	14	3	11	8/3	3	True
168	112	126,166	14	3	11	3	1	True
168	112	126,166	14	3	11	10/3	3	True
168	112	126,166	14	3	11	7/2	2	True
168	112	133,166	7	2	5	3/2	2	True
168	112	133,166	7	2	5	2	1	True
168	112	140,154,161,166	7	2	5	3/2	2	True
168	112	140,154,161,166	7	2	5	2	1	True
168	112	144,166	8	3	5	4/3	3	True
168	112	144,166	8	3	5	3/2	2	True
168	126	28,105,166	7	2	5	3/2	2	True
168	126	28,105,166	7	2	5	2	1	True
168	126	63,154,166	7	2	5	3/2	2	True
168	126	63,154,166	7	2	5	2	1	True
168	126	105,154,166	7	2	5	3/2	2	True
168	126	105,154,166	7	2	5	2	1	True
168	126	154,161,166	7	2	5	3/2	2	True
168	126	154,161,166	7	2	5	2	1	True
171	114	133,169	19	5	14	6/5	5	True
171	114	133,169	19	5	14	5/4	4	True
171	114	133,169	19	5	14	4/3	3	True
171	114	133,169	19	5	14	7/5	5	True
171	114	133,169	19	5	14	3/2	2	True
171	114	133,169	19	5	14	8/5	5	True
171	114	133,169	19	5	14	5/3	3	True
171	114	133,169	19	5	14	7/4	4	True
171	114	133,169	19	5	14	9/5	5	True
171	114	133,169	19	5	14	2	1	True
171	114	133,169	19	5	14	11/5	5	True
171	114	133,169	19	5	14	9/4	4	True
171	114	133,169	19	5	14	7/3	3	True
171	114	133,169	19	5	14	12/5	5	True
171	114	133,169	19	5	14	5/2	2	True
171	114	133,169	19	5	14	13/5	5	True
171	114	133,169	19	5	14	8/3	3	True
171	114	133,169	19	5	14	11/4	4	True
175	70	161,173	7	2	5	3/2	2	True
175	70	161,173	7	2	5	2	1	True
180	72	126,174,178	6	2	4	3/2	2	False
180	108	126,168,178	6	2	4	3/2	2	False
180	120	-84,126,178	6	2	4	3/2	2	False
180	120	-80,150,178	10	2	8	3/2	2	False
180	120	-80,150,178	10	2	8	2	1	False
180	120	-80,150,178	10	2	8	5/2	2	False
180	120	-80,150,178	10	2	8	3	1	False
180	120	-80,150,178	10	2	8	7/2	2	False
180	120	-30,170,178	10	3	7	4/3	3	True
180	120	-30,170,178	10	3	7	3/2	2	True
180	120	-30,170,178	10	3	7	5/3	3	True
180	120	-30,170,178	10	3	7	2	1	True
180	120	-24,138,178	6	2	4	3/2	2	False
180	120	36,150,178	6	2	4	3/2	2	False
180	120	80,170,178	10	3	7	4/3	3	True
180	120	80,170,178	10	3	7	3/2	2	True
180	120	80,170,178	10	3	7	5/3	3	True
180	120	80,170,178	10	3	7	2	1	True
180	120	90,165,178	15	4	11	5/4	4	True
180	120	90,165,178	15	4	11	4/3	3	True
180	120	90,165,178	15	4	11	3/2	2	True
180	120	90,165,178	15	4	11	5/3	3	True
180	120	90,165,178	15	4	11	7/4	4	True
180	120	90,165,178	15	4	11	2	1	True
180	120	90,165,178	15	4	11	9/4	4	True
180	120	90,165,178	15	4	11	7/3	3	True
180	120	90,165,178	15	4	11	5/2	2	True
180	120	90,165,178	15	4	11	8/3	3	True
180	120	90,170,178	10	3	7	4/3	3	True
180	120	90,170,178	10	3	7	3/2	2	True
180	120	90,170,178	10	3	7	5/3	3	True
180	120	90,170,178	10	3	7	2	1	True
180	120	96,162,178	6	2	4	3/2	2	False
180	120	100,170,178	10	2	8	3/2	2	False
180	120	100,170,178	10	2	8	2	1	False
180	120	100,170,178	10	2	8	5/2	2	False
180	120	100,170,178	10	2	8	3	1	False
180	120	100,170,178	10	2	8	7/2	2	False
180	120	150,165,178	15	5	10	6/5	5	False
180	120	150,165,178	15	5	10	5/4	4	False
180	120	150,165,178	15	5	10	4/3	3	False
180	120	150,165,178	15	5	10	7/5	5	False
180	120	150,165,178	15	5	10	3/2	2	False
180	120	150,165,178	15	5	10	8/5	5	False
180	120	150,165,178	15	5	10	5/3	3	False
180	120	150,165,178	15	5	10	7/4	4	False
180	120	150,165,178	15	5	10	9/5	5	False
180	120	150,170,178	10	3	7	4/3	3	True
180	120	150,170,178	10	3	7	3/2	2	True
180	120	150,170,178	10	3	7	5/3	3	True
180	120	150,170,178	10	3	7	2	1	True
180	120	168,174,178	6	2	4	3/2	2	False
180	120	168,178	12	3	9	4/3	3	False
180	120	168,178	12	3	9	3/2	2	False
180	120	168,178	12	3	9	5/3	3	False
180	120	168,178	12	3	9	2	1	False
180	120	168,178	12	3	9	7/3	3	False
180	120	168,178	12	3	9	5/2	2	False
180	120	168,178	12	3	9	8/3	3	False
180	135	150,178	15	4	11	5/4	4	True
180	135	150,178	15	4	11	4/3	3	True
180	135	150,178	15	4	11	3/2	2	True
180	135	150,178	15	4	11	5/3	3	True
180	135	150,178	15	4	11	7/4	4	True
180	135	150,178	15	4	11	2	1	True
180	135	150,178	15	4	11	9/4	4	True
180	135	150,178	15	4	11	7/3	3	True
180	135	150,178	15	4	11	5/2	2	True
180	135	150,178	15	4	11	8/3	3	True
180	144	153,178	9	2	7	3/2	2	True
180	144	153,178	9	2	7	2	1	True
180	144	153,178	9	2	7	5/2	2	True
180	144	153,178	9	2	7	3	1	True
189	126	42,154,187	7	2	5	3/2	2	True
189	126	42,154,187	7	2	5	2	1	True
189	126	162,187	9	2	7	3/2	2	True
189	126	162,187	9	2	7	2	1	True
189	126	162,187	9	2	7	5/2	2	True
189	126	162,187	9	2	7	3	1	True
189	126	168,182,187	7	2	5	3/2	2	True
189	126	168,182,187	7	2	5	2	1	True
192	128	-96,48,184,190	8	3	5	4/3	3	True
192	128	-96,48,184,190	8	3	5	3/2	2	True
192	128	-32,48,184,190	8	3	5	4/3	3	True
192	128	-32,48,184,190	8	3	5	3/2	2	True
192	128	-32,144,184,190	8	3	5	4/3	3	True
192	128	-32,144,184,190	8	3	5	3/2	2	True
192	128	-32,144,184,190	8	2	6	3/2	2	False
192	128	-32,144,184,190	8	2	6	2	1	False
192	128	-32,144,184,190	8	2	6	5/2	2	False
192	128	32,48,184,190	8	3	5	4/3	3	True
192	128	32,48,184,190	8	3	5	3/2	2	True
192	128	32,144,168,190	8	2	6	3/2	2	False
192	128	32,144,168,190	8	2	6	2	1	False
192	128	32,144,168,190	8	2	6	5/2	2	False
192	128	32,144,184,190	8	2	6	3/2	2	False
192	128	32,144,184,190	8	2	6	2	1	False
192	128	32,144,184,190	8	2	6	5/2	2	False
192	128	32,168,190	8	2	6	3/2	2	False
192	128	32,168,190	8	2	6	2	1	False
192	128	32,168,190	8	2	6	5/2	2	False
192	128	48,184,190	8	3	5	4/3	3	True
192	128	48,184,190	8	3	5	3/2	2	True
192	128	96,144,184,190	8	2	6	3/2	2	False
192	128	96,144,184,190	8	2	6	2	1	False
192	128	96,144,184,190	8	2	6	5/2	2	False
192	128	144,184,190	8	2	6	3/2	2	False
192	128	144,184,190	8	2	6	2	1	False
192	128	144,184,190	8	2	6	5/2	2	False
192	128	160,176,184,190	8	3	5	4/3	3	True
192	128	160,176,184,190	8	3	5	3/2	2	True
192	128	160,176,184,190	8	2	6	3/2	2	False
192	128	160,176,184,190	8	2	6	2	1	False
192	128	160,176,184,190	8	2	6	5/2	2	False
192	144	-120,-12,18,190	6	2	4	3/2	2	False
192	144	-72,-12,42,190	6	2	4	3/2	2	False
192	144	-72,-12,150,190	6	2	4	3/2	2	False
192	144	-72,12,78,190	6	2	4	3/2	2	False
192	144	-72,12,114,190	6	2	4	3/2	2	False
192	144	-72,108,174,190	6	2	4	3/2	2	False
192	144	-24,-12,42,190	6	2	4	3/2	2	False
192	144	-24,-12,150,190	6	2	4	3/2	2	False
192	144	-24,132,150,190	6	2	4	3/2	2	False
192	144	-24,132,174,190	6	2	4	3/2	2	False
192	144	-24,132,186,190	6	2	4	3/2	2	False
192	144	24,60,186,190	6	2	4	3/2	2	False
192	144	72,108,138,190	6	2	4	3/2	2	False
192	144	72,108,174,190	6	2	4	3/2	2	False
192	144	112,184,190	8	3	5	4/3	3	True
192	144	112,184,190	8	3	5	3/2	2	True
192	144	120,132,150,190	6	2	4	3/2	2	False
192	144	176,184,190	8	3	5	4/3	3	True
192	144	176,184,190	8	3	5	3/2	2	True
198	132	-44,143,196	11	4	7	5/4	4	True
198	132	-44,143,196	11	4	7	4/3	3	True
198	132	-44,143,196	11	4	7	3/2	2	True
198	132	-44,143,196	11	4	7	5/3	3	True
198	132	99,187,196	11	2	9	3/2	2	True
198	132	99,187,196	11	2	9	2	1	True
198	132	99,187,196	11	2	9	5/2	2	True
198	132	99,187,196	11	2	9	3	1	True
198	132	99,187,196	11	2	9	7/2	2	True
198	132	99,187,196	11	2	9	4	1	True
198	132	165,187,196	11	4	7	5/4	4	True
198	132	165,187,196	11	4	7	4/3	3	True
198	132	165,187,196	11	4	7	3/2	2	True
198	132	165,187,196	11	4	7	5/3	3	True
198	132	176,187,196	11	3	8	4/3	3	True
198	132	176,187,196	11	3	8	3/2	2	True
198	132	176,187,196	11	3	8	5/3	3	True
198	132	176,187,196	11	3	8	2	1	True
198	132	176,187,196	11	3	8	7/3	3	True
198	132	176,187,196	11	3	8	5/2	2	True
200	120	20,150,198	10	2	8	3/2	2	False
200	120	20,150,198	10	2	8	2	1	False
200	120	20,150,198	10	2	8	5/2	2	False
200	120	20,150,198	10	2	8	3	1	False
200	120	20,150,198	10	2	8	7/2	2	False
200	150	170,198	10	3	7	4/3	3	True
200	150	170,198	10	3	7	3/2	2	True
200	150	170,198	10	3	7	5/3	3	True
200	150	170,198	10	3	7	2	1	True
