row_id	n	m	M	d_chain	D_seq	d_s	n1	m1	g_Gamma	triple(n,m,D2)/d_s	Ms_eq_n_2	ell	u_s	child_Mlast_class
R001	84	56	[-56, 64, 82]	[84, 28, 4, 2]	['56', '48', '318']	4	3	2	1	(21, 14, 12)	True	1	1	other
R002	75	50	[-50, 55, 73]	[75, 25, 5, 1]	['50', '45', '207']	5	3	2	1	(15, 10, 9)	True	2	1	n-2-ell
R003	75	50	[-50, 55, 73]	[75, 25, 5, 1]	['50', '45', '207']	5	3	2	1	(15, 10, 9)	True	2	1	n-2-ell
R004	64	48	[-48, 52, 62]	[64, 16, 4, 2]	['48', '92', '358']	4	4	3	3	(16, 12, 23)	True	1	1	n-2-ell
R005	135	90	[-90, 100, 133]	[135, 45, 5, 1]	['90', '80', '687']	5	3	2	1	(27, 18, 16)	True	2	1	other
R006	156	104	[-104, 120, 154]	[156, 52, 4, 2]	['104', '88', '1110']	4	3	2	1	(39, 26, 22)	True	1	1	other
R007	84	56	[-56, 72, 82]	[84, 28, 4, 2]	['56', '40', '270']	4	3	2	1	(21, 14, 10)	True	1	1	n-2-ell
R008	147	98	[-98, 105, 145]	[147, 49, 7, 1]	['98', '91', '597']	7	3	2	1	(21, 14, 13)	True	4	1	n-2-ell
R009	192	128	[-128, 148, 190]	[192, 64, 4, 2]	['128', '108', '1686']	4	3	2	1	(48, 32, 27)	True	1	1	other
R010	140	56	[-56, 120, 138]	[140, 28, 4, 2]	['56', '104', '710']	4	5	2	2	(35, 14, 26)	True	1	1	other
R011	140	84	[-84, 120, 138]	[140, 28, 4, 2]	['84', '216', '1494']	4	5	3	4	(35, 21, 54)	True	1	1	other
R012	108	72	[-72, 81, 106]	[108, 36, 9, 1]	['72', '63', '227']	9	3	2	1	(12, 8, 7)	True	4	2	n-2-ell
R013	192	128	[-128, 136, 190]	[192, 64, 8, 2]	['128', '120', '906']	8	3	2	1	(24, 16, 15)	True	5	1	n-2-ell
R014	125	75	[-75, 105, 123]	[125, 25, 5, 1]	['75', '195', '957']	5	5	3	4	(25, 15, 39)	True	2	1	n-2-ell
R015	99	66	[-66, 77, 97]	[99, 33, 11, 1]	['66', '55', '145']	11	3	2	1	(9, 6, 5)	True	4	3	n-2-ell
R016	168	112	[-112, 133, 166]	[168, 56, 7, 1]	['112', '91', '695']	7	3	2	1	(24, 16, 13)	True	2	2	other
R017	112	80	[-80, 100, 110]	[112, 16, 4, 2]	['80', '380', '1510']	4	7	5	12	(28, 20, 95)	True	1	1	n-2-ell
R018	126	84	[-84, 108, 124]	[126, 42, 6, 2]	['84', '60', '404']	6	3	2	1	(21, 14, 10)	True	3	1	other
R019	168	112	[-112, -28, 148, 166]	[168, 56, 28, 4, 2]	['112', '252', '328', '2278']	4	3	2	1	(42, 28, 63)	True	1	1	other
R020	168	112	[-112, 84, 148, 166]	[168, 56, 28, 4, 2]	['112', '140', '216', '1494']	4	3	2	1	(42, 28, 35)	True	1	1	other
R021	168	112	[-112, 140, 148, 166]	[168, 56, 28, 4, 2]	['112', '84', '160', '1102']	4	3	2	1	(42, 28, 21)	True	1	1	other
R022	150	100	[-100, 125, 130, 148]	[150, 50, 25, 5, 1]	['100', '75', '145', '707']	5	3	2	1	(30, 20, 15)	True	2	1	n-2-ell
R023	165	110	[-110, 121, 163]	[165, 55, 11, 1]	['110', '99', '453']	11	3	2	1	(15, 10, 9)	True	6	2	n-2-ell
R024	165	110	[-110, 121, 163]	[165, 55, 11, 1]	['110', '99', '453']	11	3	2	1	(15, 10, 9)	True	6	2	n-2-ell
R025	180	120	[-120, 132, 150, 178]	[180, 60, 12, 6, 2]	['120', '108', '522', '1016']	6	3	2	1	(30, 20, 18)	True	3	1	n-2-ell
