t	k	sign	numerator_bits	denominator_bits	sha256_norm
2	1	+	44	44	3950c68f1a2be9d46333e4eb4d661d2f064b050fa4ce3a434ccb524d23c3e23e
2	2	+	31	38	38c160f7864755c2fddc03e312f189a743683834ab200042baacfe2a37fd9f61
2	3	+	38	40	640323d86544e234429ae09f0cb7eb35fad01e6e8428c2a359143e203d0ce739
3	1	+	205	204	f4ea32c1785359ed42501bed31dbff743281c30dc14e2fb338deb06ded8c3171
3	2	-	177	177	1262405dcc95acb086cde6a3a9d29b98ac17e8bf0b6178f4e3a94c12b9d23f66
3	4	+	141	142	053971bc1c0a1b3ef376f00e2c17fb04e0f8a1d4abe4d7cb680811e295f2c826
3	5	-	128	131	c800f6bd9fc75e6a09b61312c307f80c739ae38bbeeccf057c2e52b3afb873ef
4	1	+	347	343	529f1984ed13ecab7c36abb3dd94b5ddd7c837397145ae919b8a71a148c6f577
4	2	-	325	324	d1a6f06da35a9c73a510bc6ddeef7572cc2bbeba656369cc489c29c1a3e96c3c
4	6	-	217	219	a8edba845a45c2589b0246df0d96493b8e241eb10f3ff862a4c6cd7e841fda58
4	7	-	207	210	61bcc186a69a0a1370dc1a9a4facbc8c90e7a10bfc46668810bcd0e0d36095f6
5	1	+	456	451	e0f24911d3ebd77722461ce053ef80b2e931c08ba8a59ec731d93e1f004b3cd0
5	2	-	418	417	39ae580c158821447dc923b4f8451f420f537638fbff7b027dcce13ac98c8d86
5	8	-	284	286	87100e7238ce367fbf1cdf40630a5280c8869b74d77404ee2ad1e7de65a3184b
5	9	-	260	263	be3f6a9df8b2f260282585aab932c6a88704964105e827eb8b52e261ea4e486f
6	1	+	687	681	17100a8bc0fff87fe6d634c2a09f4efdcfe33212a2c186a9cd8a644f6dff2023
6	2	-	626	626	b5d46aed2b1f334d6c7bf39746ae39132503b0381330f2a47633c2045b52631b
6	10	-	396	398	dbe1399d1066a7d593a59a948373d42032c7029361d3561a7e9b58516b1e8ed7
6	11	-	376	380	11f1d2e2e207e0e7851aac6dcb177bc40e14efc8c9269560340109752a06f67d
7	1	+	1056	1048	1cc9efca4ed62755b423a9670c9ddc3654b8efdb611ee1d3f35bc3680934594c
7	2	-	1013	1012	b843fb399c6ef53373a4f51d265f62371bec89ae43e74702e5ebe41835859634
7	12	-	611	613	443e73fae25b340052b5c83026b95c11fbe4fbb24643fe11bd9d00961fc324b0
7	13	-	585	589	3c868380a5d6a1b6686ed26df39eee1a94f79397b6010549cbdba69ae0d5db31
