t	branch	kind	r	weight	support	leader_monomial	leader_compact	leader_unit
3	exact	a	0	0	1	b4^0	(-575*d-340)/17248	True
3	exact	a	1	1	1	b4^1	(-1425433*d-3571400)/74287136	True
3	exact	a	2	2	2	b4^2	(-24956055426604*d-21982182137137)/480331985496440	True
3	exact	b	0	4	3	b4^4	(17243090063480373390*d-21238981495666855551)/58053487971322161500	True
3	exact	b	1	5	3	b4^5	(14185872283671545789106*d-16598421836086825836513)/17125778951540037642500	True
3	exact	b	2	6	4	b4^6	(-45013067784004135052129858595*d+55859321248382528564103104868)/221466591657709533734058118750	True
3	exact	c	0	8	5	b4^8	(144636290942640159005137662112087317*d-155466939528920818501075459208734056)/181190053205116389667482549893125000	True
3	exact	c	1	9	5	b4^9	(-148090372336621299130058184452313491313*d+176311094258407708150757796888007353252)/53451065695509334951907352218471875000	True
3	exact	c	2	10	6	b4^10	(110457736076115613768951328730178966647945642*d-156248951979308377738966146132006143321951139)/345608377100776256838844780214943746394531250	True
3	exact	B	1	5	3	b4^5	(2278007000913733232200497*d-2715311442800994277694247)/98014258095453943435556000	True
3	exact	B	2	6	4	b4^6	(-1914318319777506349029832717098*d+1539583842758608266161318625969)/194999630365446646687194065420000	True
3	exact	C	1	9	5	b4^9	(-56258085570165963281437215729089040923157*d+62759307178988906687780317086164123041650)/1682511265536964641882158870192170292500000	True
3	exact	C	2	10	6	b4^10	(2422210816818083968333512886743683531020261947*d+35940846746252481580714413215207997873009616878)/3347360692623813754544744754982742545079537500000	True
4	exact	a	0	0	1	b4^0	(-8125*d-3783)/205821	True
4	exact	a	1	1	1	b4^1	(-10697908*d-10621130)/282415815	True
4	exact	a	2	2	2	b4^2	(-2721622455701409*d-23722492302458443)/296087768790784245	True
4	exact	a	3	3	3	b4^3	(-55135251309789833905632*d-40136844402226222500434)/777595469294727680099085	True
4	exact	b	0	5	5	b4^5	(422433352054348637524649149152*d-605782091775651260525194122880)/1723141245150906197569294159125	True
4	exact	b	1	6	7	b4^6	(2190040542818917546273627821890090553136*d-2925753789880585733902497345855084785680)/4196024000221061847899393988473785168125	True
4	exact	b	2	7	8	b4^7	(26646714258293868005436115249097105602700032*d-34713765563041227156865537013328868457232864)/24181686313273979429444207555574423923904375	True
4	exact	b	3	8	10	b4^8	(-22806134361744902884937610662513714607125332937584*d+31583296469855221490884559579031390919881611295120)/68408902404367990476823338185380044431648901178125	True
4	exact	c	0	10	14	b4^10	(16585356134003641217818869503574015146990641029940372502528*d-17735777195211795200674862638077505993015372509977697838080)/33554076501099682474485003669597545119235690868231290203125	True
4	exact	c	1	11	16	b4^11	(25337413674323777456436386743466010741618973747614735865090048*d-31319490099662282552652518596402489322509250529858480467584000)/18958053223121320598084027073322612992368165340550678964765625	True
4	exact	c	2	12	19	b4^12	(-5701324695068440912850720138805536536997448983878780897827075133566325248*d+7616898874410054395334918332731531059352328286746595441776141984215009792)/1412642442570280559965538210074865713005779858010312366414441154909453125	True
4	exact	c	3	13	21	b4^13	(1153764635862991707492022005014492506077237942307875292524018537957128277504*d-1900013570910128425122966728721400484528336942912736685016480262891592824320)/2394428940156625549141587266076897383544796859327479461072477757571523046875	True
4	exact	B	1	6	7	b4^6	(87052214811522299073550894469561113357558976*d-121237076535503950178198788558537785667472800)/6292160377603493957203079953597829970217348125	True
4	exact	B	2	7	8	b4^7	(29827963549403895670125903768017179360915119455040*d-39822226911415034708676870917233034595067392762368)/564646786845436284087769589315955436985931559948125	True
4	exact	B	3	8	10	b4^8	(-12976435778693186038644411321562354535991100888003728256*d+12924305364939466258259277050346924463549418529211133280)/532453450293443734350505406181106237746178672057682653125	True
4	exact	C	1	11	16	b4^11	(371638105025021457645329691502711940782191382143981714554944183296*d-438187644909164795152947293948453437075785558712270067584363279360)/9476201861630415222272899016627381426848219813639597431217062421875	True
4	exact	C	2	12	19	b4^12	(-7998988470836036077360079402520463271281329623736647245159762769277302045884416*d+10133084710020056632063018398433610756921070370705979448710509209882634258748416)/76966070394170506591547432143010355464770075390888078486444106003768310884296875	True
4	exact	C	3	13	21	b4^13	(456748792854163012740120154034300876917206372621608236117896765437675319793183744*d+609285378421559426764245362963551542129543383958804715243412025570545071416084480)/43485829772706336224224299160800850837595092595851764344840919892129095649627734375	True
5	exact	a	0	0	1	b4^0	(-4380*d-1770)/100793	True
5	exact	a	1	1	1	b4^1	(-987974710*d-651181490)/20300415751	True
5	exact	a	2	2	2	b4^2	(-1006074611291242460*d-1778140429139999590)/29246083658911332521	True
5	exact	a	3	3	3	b4^3	(20066754127173423240*d-716485582915625810600)/6129413081675707335127	True
5	exact	a	4	4	5	b4^4	(-25037818155831603350091192172035*d-14378729957320879630983758371275)/273743219298076087357472856569927	True
5	exact	b	0	6	9	b4^6	(3195584878369401115165764213675351960920*d-5192309721279931264636558801430187034800)/14203944665898417862872583764442241869141	True
5	exact	b	1	7	11	b4^7	(1172520592842273273447623228806106239091060640*d-1758586125127023327970865042410663366629806360)/2860773883324602646507578478245018608138081387	True
5	exact	b	2	8	15	b4^8	(129015201444134919629421470838597526646123754824500260*d-186520774626857740661024169655647969343768224741073220)/179191944396333814265022228014615177933681899510479299	True
5	exact	b	3	9	18	b4^9	(1533771478229081219694003193861940220050900471830495197900*d-2184232758858126374200702734820382822074211176398858398960)/1164210062742980791279849415410954811035131301119584005603	True
5	exact	b	4	10	23	b4^10	(-781690915815057925865920276004460473896369537849276976086798639660*d+1184313297221230034513428082699621021146000469754203058960067465060)/1677235841332480682036187415042799378253870191316726975255305910413	True
5	exact	c	0	12	34	b4^12	(28385919025272692617053469597201382341112565930740704462254007238318139840*d-26083853570706177195555297867203413135521764976280524416138445890665519040)/87028146826925143372355753711225864512047072677415605482793825970604983079	True
5	exact	c	1	13	39	b4^13	(15168659063602441022538761382093562359482901956714525298663476044174514912098800*d-19425302588483068007105556059446505944160301449416604856090876171268086439256800)/17528077967970512351196055287716867693777864766740244853473056107261637826992153	True
5	exact	c	2	14	47	b4^14	(1882186117514277785066819165642958456806746036643358273659119304003605150771472352082560*d-2575541329903860449620875393548249965691903594401427483910401931779981287423581793213600)/1097916333380756501127493955180622454367823425222279126008272269343921098534333661933281	True
5	exact	c	3	15	54	b4^15	(-37757166088071374844803527250266221462089671239917333271696930329866925569184635696306898160*d+55508282262125206899926943051858007422226610728790723103257848764340555882552047803145034560)/7133162417974774987825328226808504086027748793669147481675744933927455377177565801580526657	True
5	exact	c	4	16	64	b4^16	(6798652478782086999276398053693841504826212135242696531869978217792877152076181485803694264252420580*d-12579282835197982815899009801808663344761737546375928252804683115958094319026825932825934002912390700)/10276492234816226504224410365210796195697688001602491771879872933618540667846547873088540084102972047	True
5	exact	B	1	7	11	b4^7	(21666225295225823118421531690594579393961277200*d-35507603745321380282665731312554386927117169200)/2423075479175938441591918971073530761092954934789	True
5	exact	B	2	8	15	b4^8	(16802210885420804541140729532155816134979810265005461000*d-25454242808189770156101052393538723879968708911594487400)/498691181254997005099556860564674040189436726337663889117	True
5	exact	B	3	9	18	b4^9	(33115293350206165732879324718448307267725124885712551007192200*d-48486654227514425662171504012103564002609578416022355987560000)/385559595949032149513686689847553781454181678910880472223584731	True
5	exact	B	4	10	23	b4^10	(-24505819852518227615049470635807351823643407811452183239568042184404400*d+27806259746251722281375774767269973156729240618228187300721308020639800)/555461934224966954834698439551629169691981968349699689484126445492846101	True
5	exact	C	1	13	39	b4^13	(428138623308193588117027285182617445701726440121294791913794939707589585916184800*d-499082774911782180544229834999167448625726937936782877442952899747576951430795200)/14846282038871023961463058828696186936629851457428987390891678522850607239462353591	True
5	exact	C	2	14	47	b4^14	(248581133403978887976702432711224812928253172391698948690061338352491377945847230948179200*d-316490541535701206756733227086929857901393261903169291842306560336308631935427963084459200)/3055501155798645342637815677267672290505652592393602807681021725584132417221050581160321023	True
5	exact	C	3	15	54	b4^15	(-486871857593438922495942145561815926330616343235150122123706019672918275659945710509624860125600*d+676129396373380686900799495772642597756736381399246613687366611110671235299142842934503504448000)/2362339330097632056143028726169759957698411762240967255538928179983292889447534709470034076685289	True
5	exact	C	4	16	64	b4^16	(106504927450674153744537014061476495991377149631305691767656738708743942648684055832125954051718005479400*d+26957196219755370229373717211533260740829549385696861175123501084679135523336413303615154866441965730200)/3403337868849733444989527551519415851702573219306708417535860678536987442755416184965843439432969973609319	True
6	exact	a	0	0	1	b4^0	(-22591*d-8303)/488410	True
6	exact	a	1	1	1	b4^1	(-702351131*d-359668423)/12578511140	True
6	exact	a	2	2	2	b4^2	(-2236417225742796217*d-2255558852529143726)/45227832744193876933	True
6	exact	a	3	3	3	b4^3	(-741417905514871453007623*d-2428082499327411479007029)/27321138748447148789932774	True
6	exact	a	4	4	5	b4^4	(2499151036815246366863419487948063377969*d-23670936722246737385389824085395198622243)/150688703968764554684041802361098424478994	True
6	exact	a	5	5	7	b4^5	(-1183687451697220710561344552981863632127679401*d-508680047383609659004259835264490764333802938)/10438959967436164525736995858565093355782309350	True
6	exact	b	0	7	13	b4^7	(576832779166403862721279988835705537762401130796474716*d-1039773692312402395727317517860534912058155086215805192)/2662484536780575929340479613735143039117377167158469055	True
6	exact	b	1	8	18	b4^8	(923950337189805685094818149790578198379896237062359160249041766676*d-1533274793473627757652957750484129263604483906732957927834174142337)/2586040754621447120733550664357517469086430625985024006737920900130	True
6	exact	b	2	9	23	b4^9	(24120210257600785090465357785821823895209813435916474991992125783918641322*d-38281458249023883517371668411193802856545946483841206596190755506945380214)/43194009540726431859528022273886976102150422017256553828202653458716388371	True
6	exact	b	3	10	30	b4^10	(107927109748230741670910564239941405606469561326832143369032467887971927529466493676*d-167508901237025728755035711530598401379297201135142718742536787834295962650666230087)/120654109770873633871348304526194384305830242906066944838746046633612642229058130050	True
6	exact	b	4	11	37	b4^11	(69023924415515251702381366084715914728623736880746323241503059392851864614341509102460663*d-106042555145975851661298763285457771487479554208102597886727606890961633343158515434349381)/46305056537250081264864602030128722489236601028340543324520893388211077478915730854044175	True
6	exact	b	5	12	47	b4^12	(-19474248406755984314164037850185295546284691929620279576953473662524063289319938514391780145167312519*d+31838007747744526227036760954880624836796432951133906964498139538857618694234171904538296175305215003)/32573669642308742587211469499348152744920010767997205849736755130956795410807917415760049043832144900	True
6	exact	c	0	14	70	b4^14	(285745396427189136915126054483401847124064993400644060298275137862155083860075879738178557159871271225100892*d-145744328530830381988241447132671853012823130280392636521226240203950549075428685237700794127687308143630404)/1333853400480454886594594049640340872871186143046008478089836375022892700832749979562809733098460795706443275	True
6	exact	c	1	15	84	b4^15	(1216206246383301505645685540091996062987667531170199396692105320446304412784343163224308607917815111597129970150678*d-1529324096989798560840089626181196211008991821827184478942863377385707151629404948496515496076520555160280831954186)/2014378736138580567460722960796594584505700957297366773568880444377697442334114855385857444876630001371892101688625	True
6	exact	c	2	16	101	b4^16	(177978729582397169446411008029212171005612566816672417335725033913422013242695383329523292757402464902117205226928789334155725621*d-253884032075534954615403550246280329497719485783589730585307873394722703709382291407844365470611608008239943037553893346554864177)/154566897707693778228285206118592772892721031993649771577184183992678168194588128909986776653304667976576188332723384626865553250	True
6	exact	c	3	17	119	b4^17	(847980366252215727551432524565342932369728776871284437805457173552131503653346419288716719646188678767300513325783637520946260889483*d-1259762987831223348915648068304479034020249267827843392684662416361469218455618500900448658230768580893315289256194844834168798235971)/428304873548019459470578306154620573685729979654403517040377373843711204067203705209573358106307234963092617869976498801044448055750	True
6	exact	c	4	18	141	b4^18	(-2353683879510457652656957853080628181414877529556592441342217899402304511796034859083443796863653755420668252329187008559811608216310994266078148*d+3755565482379105674912483095477815947058509783961317953987621683250545546457138794692003548878891647946016463375323546640683512681832871906717076)/361225069144331055376624362476580429807527494993844647462926230723191968551266587011247224012087496860206840868118725870830138563517226242263625	True
6	exact	c	5	19	164	b4^19	(19920730869836657973177773269182892849330413277520570257710108751031432991830257458303571070219682564793311165663339394468663778605569075619432476*d-40482290307048564536594558621858835622921189175380923829235728795151811355131655617423780523601304644443497760978552114334032489852392599357361312)/23278015502300961731363397870293124906899039270417291119064385705441045229199063083910838552034754739526352466175743939257449161848982184123546625	True
6	exact	B	1	8	18	b4^8	(1981576991448237691323850518863512082259495387111457414396550369182233*d-3943116832067111693473284450501464190173466489589307885074893987726471)/345262301149509405089136349198372157297729352875260555139579819376356300	True
6	exact	B	2	9	23	b4^9	(18365779370206280970288714692024573979056739245249800015759667649892834526841006*d-31692879175102020712237037809412825800281425782162773328254302778130731647624922)/798706261608860449582833696149451049846637243828063266472062072463341664080591085	True
6	exact	B	3	10	30	b4^10	(15135881753728100782476746707450839112582559890934303425662369311527720677326879165345199*d-24653850226395787127305724784094081434802748686856952168047992709630629440856812673178913)/262474286126828639041844015413526046640116271606926611300094868119814930019319388894365500	True
6	exact	B	4	11	37	b4^11	(250064676534683545759245603639758701984173015049856908624505734210424641642015320258718572123621*d-395819828974978074976575878806768487658816043182471197665394451488530556579625558184124865727677)/2065032653889992649330168625133867957174494794047266842121744155790750360498923985098684798319625	True
6	exact	B	5	12	47	b4^12	(-36513988338494649221127467854935456491816882992193141232563422064264683328347961179209638596139119627509123207*d+45767605122505714519203577052526686267428079774141841605122015223602176342789205165546669709112832108383467184)/530948714249374749363421934167620855534714510039959946450924815238231706310257045293235276430700757306234312250	True
6	exact	C	1	15	84	b4^15	(3345176623400089325599085262372902087886449834734320446196979591904147276782513576189272834226973110371753854590453536*d-3693736241836902514913471782078364600894283875632325592793336097666158153006798832140593628299789424795214412537085032)/134469852530930945780840561247976671488678067404385718969590614064433192763013837171282913732739435741580657248224161875	True
6	exact	C	2	16	101	b4^16	(88145094309750015747352060637678015444260466513844628131347240203940964729494032622151218406495437214965303937228386971438807973625867*d-110155396499827632882404029358886244443825928025397296284357477084437952832559231246016794920184691222859326379790554324207594958505104)/1429058686022078095939641282420862486791822559966948534476437833036725509819417680535984167655552405842523568122906511396147785997719375	True
6	exact	C	3	17	119	b4^17	(469100894883028941904128873541878539675412215709146247910656143768381207767726172195545330385982476133127285834733040940203774886508012466*d-632883914123842192420789694355464290200722897187681239930325269676724627942767998214840334705659933800752955112528791661859377634286927067)/3959921618967178403848745993588209950900140313668414389034209235344766387709606392765212128573535716589632807268573943078725514999680388125	True
6	exact	C	4	18	141	b4^18	(-91649153010293326236908029372332915644732844260117498172009898767317918581841166359553473364849624241676218643100009734323596097477106474376536676828972*d+137211438944195984294413408880628478338624936611940581325278225251015508969645272117288918566421296549689955842936449614165544892141698371786392523335364)/273857922276218561216127114164578705703089611971863227355839433521091303177286220137982976440892812986420593719051922800326018824114827316120815214039375	True
6	exact	C	5	19	164	b4^19	(48522001972699567950503544669561602420105443430593273302083688324573637119951613515679365437326477553914378967763259517178611205942300150592276943864852016*d-8682043178809701836912715081195198165983073402769574223712609242281949797998999797495374828185749854226336685760059298869361163308742204189127060979859792)/758860302627401633129888233350047593503261314774033003003031070286944001104260116002350827717713984785371465195492878079703398161622186492970778958103108125	True
2	split_b0	a	0	0	0	b4^0	(0*d+0)/1	False
2	split_b0	a	1	1	0	b4^1	(0*d+0)/1	False
