Frobenius cycle types of Gal(f_t/A_t) at split primes (both prime ideals over p: b=0,1 are the two roots of H_t mod p, sorted ascending);
columns: p b | cycle type | chart vdim,dim | deg m(q2), squarefree | cone dim | slice dim | W nonzero at the found F_p-point | point (b4,q2,..) | T_top(P,beta) | Jacobian rank,expected

== t=3: 49 prime ideals
p=32003 b=0 | 2+5 | 7,0 | 7,1 | 1 | 1 | - |  | -3540 | 
p=32183 b=0 | 1+1+5 | 7,0 | 7,1 | 1 | 1 | 1 | 1,12012, | -642 | ('1', '1')
p=32183 b=1 | 1+1+2+3 | 7,0 | 7,1 | 1 | 1 | 1 | 1,4053, | 7237 | ('1', '1')
p=32233 b=0 | 1+2+4 | 7,0 | 7,1 | 1 | 1 | 1 | 1,1046, | -8816 | ('1', '1')
p=32233 b=1 | 1+3+3 | 7,0 | 7,1 | 1 | 1 | 1 | 1,4086, | 10711 | ('1', '1')
p=32257 b=0 | 7 | 7,0 | 7,1 | 1 | 1 | - |  | -10707 | 
p=32257 b=1 | 1+3+3 | 7,0 | 7,1 | 1 | 1 | 1 | 1,-5075, | 9464 | ('1', '1')
p=32303 b=0 | 1+2+4 | 7,0 | 7,1 | 1 | 1 | 1 | 1,1450, | 14633 | ('1', '1')
p=32303 b=1 | 1+6 | 7,0 | 7,1 | 1 | 1 | 1 | 1,-7702, | 6019 | ('1', '1')
p=32327 b=0 | 2+5 | 7,0 | 7,1 | 1 | 1 | - |  | 15330 | 
p=32327 b=1 | 1+1+5 | 7,0 | 7,1 | 1 | 1 | 1 | 1,12958, | 11671 | ('1', '1')
p=32341 b=0 | 2+2+3 | 7,0 | 7,1 | 1 | 1 | - |  | 8224 | 
p=32341 b=1 | 1+2+4 | 7,0 | 7,1 | 1 | 1 | 1 | 1,-122, | 10263 | ('1', '1')
p=32353 b=0 | 2+5 | 7,0 | 7,1 | 1 | 1 | - |  | -13950 | 
p=32353 b=1 | 1+1+5 | 7,0 | 7,1 | 1 | 1 | 1 | 1,16081, | 4069 | ('1', '1')
p=32363 b=0 | 7 | 7,0 | 7,1 | 1 | 1 | - |  | -12841 | 
p=32363 b=1 | 7 | 7,0 | 7,1 | 1 | 1 | - |  | 6682 | 
p=32377 b=0 | 7 | 7,0 | 7,1 | 1 | 1 | - |  | 11703 | 
p=32377 b=1 | 7 | 7,0 | 7,1 | 1 | 1 | - |  | -11903 | 
p=32401 b=0 | 1+1+2+3 | 7,0 | 7,1 | 1 | 1 | 1 | 1,-6224, | 847 | ('1', '1')
p=32401 b=1 | 1+1+1+4 | 7,0 | 7,1 | 1 | 1 | 1 | 1,-14062, | 15993 | ('1', '1')
p=32411 b=0 | 7 | 7,0 | 7,1 | 1 | 1 | - |  | 4073 | 
p=32411 b=1 | 3+4 | 7,0 | 7,1 | 1 | 1 | - |  | -12073 | 
p=32413 b=0 | 1+3+3 | 7,0 | 7,1 | 1 | 1 | 1 | 1,13381, | 14978 | ('1', '1')
p=32413 b=1 | 1+1+1+1+1+2 | 7,0 | 7,1 | 1 | 1 | 1 | 1,-4480, | -13792 | ('1', '1')
p=32423 b=0 | 1+6 | 7,0 | 7,1 | 1 | 1 | 1 | 1,8248, | -14399 | ('1', '1')
p=32423 b=1 | 1+2+4 | 7,0 | 7,1 | 1 | 1 | 1 | 1,4117, | 7272 | ('1', '1')
p=32497 b=0 | 1+1+1+2+2 | 7,0 | 7,1 | 1 | 1 | 1 | 1,-6613, | 718 | ('1', '1')
p=32497 b=1 | 1+2+4 | 7,0 | 7,1 | 1 | 1 | 1 | 1,2689, | 2998 | ('1', '1')
p=32507 b=0 | 2+2+3 | 7,0 | 7,1 | 1 | 1 | - |  | -14992 | 
p=32507 b=1 | 1+1+2+3 | 7,0 | 7,1 | 1 | 1 | 1 | 1,-11762, | -10824 | ('1', '1')
p=32531 b=0 | 1+1+2+3 | 7,0 | 7,1 | 1 | 1 | 1 | 1,5996, | 7789 | ('1', '1')
p=32531 b=1 | 2+2+3 | 7,0 | 7,1 | 1 | 1 | - |  | -9146 | 
p=32533 b=0 | 2+2+3 | 7,0 | 7,1 | 1 | 1 | - |  | 12382 | 
p=32533 b=1 | 1+1+5 | 7,0 | 7,1 | 1 | 1 | 1 | 1,14116, | 1883 | ('1', '1')
p=32569 b=0 | 1+1+2+3 | 7,0 | 7,1 | 1 | 1 | 1 | 1,-1185, | 8968 | ('1', '1')
p=32569 b=1 | 1+6 | 7,0 | 7,1 | 1 | 1 | 1 | 1,10659, | 12360 | ('1', '1')
p=32579 b=0 | 2+2+3 | 7,0 | 7,1 | 1 | 1 | - |  | 6964 | 
p=32579 b=1 | 3+4 | 7,0 | 7,1 | 1 | 1 | - |  | -4806 | 
p=32603 b=0 | 1+1+1+4 | 7,0 | 7,1 | 1 | 1 | 1 | 1,-7752, | 14989 | ('1', '1')
p=32603 b=1 | 1+2+4 | 7,0 | 7,1 | 1 | 1 | 1 | 1,7526, | 9560 | ('1', '1')
p=32653 b=0 | 1+1+1+2+2 | 7,0 | 7,1 | 1 | 1 | 1 | 1,-11414, | 10751 | ('1', '1')
p=32653 b=1 | 1+2+4 | 7,0 | 7,1 | 1 | 1 | 1 | 1,-15791, | -10893 | ('1', '1')
p=32687 b=0 | 7 | 7,0 | 7,1 | 1 | 1 | - |  | -3274 | 
p=32687 b=1 | 1+6 | 7,0 | 7,1 | 1 | 1 | 1 | 1,10765, | -6874 | ('1', '1')
p=32713 b=0 | 2+2+3 | 7,0 | 7,1 | 1 | 1 | - |  | -2638 | 
p=32713 b=1 | 7 | 7,0 | 7,1 | 1 | 1 | - |  | 10192 | 
p=32749 b=0 | 7 | 7,0 | 7,1 | 1 | 1 | - |  | -12690 | 
p=32749 b=1 | 2+2+3 | 7,0 | 7,1 | 1 | 1 | - |  | 7371 | 

== t=4: 48 prime ideals
p=32203 b=0 | 1+2+13+30 | 46,0 | 46,1 | 1 | 0 | 1 | 1,-8891,8749, | 86 | ('2', '2')
p=32203 b=1 | 3+9+16+18 | 46,0 | 46,1 | 1 | 0 | - |  |  | 
p=32213 b=0 | 1+1+2+17+25 | 46,0 | 46,1 | 1 | 0 | 1 | 1,11779,9444, | 11480 | ('2', '2')
p=32213 b=1 | 1+1+1+2+2+10+12+17 | 46,0 | 46,1 | 1 | 0 | 1 | 1,-15350,2396, | -11700 | ('2', '2')
p=32237 b=0 | 1+1+44 | 46,0 | 46,1 | 1 | 0 | 1 | 1,-10654,-14782, | 8096 | ('2', '2')
p=32237 b=1 | 1+1+1+1+2+16+24 | 46,0 | 46,1 | 1 | 0 | 1 | 1,-7084,13681, | -4511 | ('2', '2')
p=32297 b=0 | 13+33 | 46,0 | 46,1 | 1 | 0 | - |  |  | 
p=32297 b=1 | 18+28 | 46,0 | 46,1 | 1 | 0 | - |  |  | 
p=32323 b=0 | 46 | 46,0 | 46,1 | 1 | 0 | - |  |  | 
p=32323 b=1 | 1+2+3+3+6+31 | 46,0 | 46,1 | 1 | 0 | 1 | 1,11767,3360, | -11294 | ('2', '2')
p=32341 b=0 | 1+1+2+13+29 | 46,0 | 46,1 | 1 | 0 | 1 | 1,-252,1053, | 3997 | ('2', '2')
p=32341 b=1 | 1+4+11+13+17 | 46,0 | 46,1 | 1 | 0 | 1 | 1,5419,832, | 9574 | ('2', '2')
p=32401 b=0 | 4+17+25 | 46,0 | 46,1 | 1 | 0 | - |  |  | 
p=32401 b=1 | 1+1+2+2+2+3+3+13+19 | 46,0 | 46,1 | 1 | 0 | 1 | 1,11346,10827, | 2883 | ('2', '2')
p=32411 b=0 | 1+45 | 46,0 | 46,1 | 1 | 0 | 1 | 1,-2799,846, | -14020 | ('2', '2')
p=32411 b=1 | 21+25 | 46,0 | 46,1 | 1 | 0 | - |  |  | 
p=32443 b=0 | 46 | 46,0 | 46,1 | 1 | 0 | - |  |  | 
p=32443 b=1 | 1+45 | 46,0 | 46,1 | 1 | 0 | 1 | 1,5765,-3152, | 10034 | ('2', '2')
p=32467 b=0 | 1+4+41 | 46,0 | 46,1 | 1 | 0 | 1 | 1,13275,-11333, | -12991 | ('2', '2')
p=32467 b=1 | 1+1+2+7+9+26 | 46,0 | 46,1 | 1 | 0 | 1 | 1,-10961,-5256, | 15443 | ('2', '2')
p=32503 b=0 | 1+1+1+1+4+4+8+26 | 46,0 | 46,1 | 1 | 0 | 1 | 1,13663,14289, | -2438 | ('2', '2')
p=32503 b=1 | 1+1+2+3+9+14+16 | 46,0 | 46,1 | 1 | 0 | 1 | 1,-4632,3894, | -8296 | ('2', '2')
p=32531 b=0 | 1+2+3+40 | 46,0 | 46,1 | 1 | 0 | 1 | 1,-15581,-520, | -10569 | ('2', '2')
p=32531 b=1 | 2+2+6+36 | 46,0 | 46,1 | 1 | 0 | - |  |  | 
p=32537 b=0 | 6+9+31 | 46,0 | 46,1 | 1 | 0 | - |  |  | 
p=32537 b=1 | 2+5+18+21 | 46,0 | 46,1 | 1 | 0 | - |  |  | 
p=32563 b=0 | 1+3+4+7+7+24 | 46,0 | 46,1 | 1 | 0 | 1 | 1,14896,-2661, | 6300 | ('2', '2')
p=32563 b=1 | 1+1+2+2+6+16+18 | 46,0 | 46,1 | 1 | 0 | 1 | 1,13333,4485, | -14574 | ('2', '2')
p=32569 b=0 | 1+2+2+9+16+16 | 46,0 | 46,1 | 1 | 0 | 1 | 1,-3740,7826, | -8353 | ('2', '2')
p=32569 b=1 | 4+4+38 | 46,0 | 46,1 | 1 | 0 | - |  |  | 
p=32573 b=0 | 1+2+2+4+5+32 | 46,0 | 46,1 | 1 | 0 | 1 | 1,3793,-12132, | -10893 | ('2', '2')
p=32573 b=1 | 15+31 | 46,0 | 46,1 | 1 | 0 | - |  |  | 
p=32579 b=0 | 46 | 46,0 | 46,1 | 1 | 0 | - |  |  | 
p=32579 b=1 | 3+3+4+5+31 | 46,0 | 46,1 | 1 | 0 | - |  |  | 
p=32587 b=0 | 2+4+10+30 | 46,0 | 46,1 | 1 | 0 | - |  |  | 
p=32587 b=1 | 1+45 | 46,0 | 46,1 | 1 | 0 | 1 | 1,15242,11515, | 4353 | ('2', '2')
p=32633 b=0 | 1+1+1+2+5+16+20 | 46,0 | 46,1 | 1 | 0 | 1 | 1,-15832,5906, | 11654 | ('2', '2')
p=32633 b=1 | 3+4+7+9+23 | 46,0 | 46,1 | 1 | 0 | - |  |  | 
p=32647 b=0 | 1+1+2+5+12+25 | 46,0 | 46,1 | 1 | 0 | 1 | 1,6996,-316, | -15768 | ('2', '2')
p=32647 b=1 | 22+24 | 46,0 | 46,1 | 1 | 0 | - |  |  | 
p=32693 b=0 | 1+45 | 46,0 | 46,1 | 1 | 0 | 1 | 1,-15758,-8047, | 3223 | ('2', '2')
p=32693 b=1 | 5+41 | 46,0 | 46,1 | 1 | 0 | - |  |  | 
p=32707 b=0 | 1+1+2+9+33 | 46,0 | 46,1 | 1 | 0 | 1 | 1,-2942,7849, | -13475 | ('2', '2')
p=32707 b=1 | 2+2+4+38 | 46,0 | 46,1 | 1 | 0 | - |  |  | 
p=32717 b=0 | 1+1+3+10+31 | 46,0 | 46,1 | 1 | 0 | 1 | 1,6395,-2826, | -4209 | ('2', '2')
p=32717 b=1 | 1+1+3+10+31 | 46,0 | 46,1 | 1 | 0 | 1 | 1,12418,12622, | 10219 | ('2', '2')
p=32749 b=0 | 1+9+18+18 | 46,0 | 46,1 | 1 | 0 | 1 | 1,-5944,-5832, | -11 | ('2', '2')
p=32749 b=1 | 46 | 46,0 | 46,1 | 1 | 0 | - |  |  | 

== t=5: 24 prime ideals
p=32479 b=0 | 1+5+7+103+149 | 265,0 | 265,1 | - | 1 | 1 | 1,13130,-6481,8290, | 6541 | ('3', '3')
p=32479 b=1 | 1+1+2+2+3+11+12+72+161 | 265,0 | 265,1 | - | 1 | 1 | 1,-986,-6790,-12577, | 1575 | ('3', '3')
p=32497 b=0 | 1+1+10+10+11+15+27+35+54+101 | 265,0 | 265,1 | - | 1 | 1 | 1,-696,15022,529, | 1246 | ('3', '3')
p=32497 b=1 | 1+21+34+41+168 | 265,0 | 265,1 | - | 1 | 1 | 1,-11408,16227,10283, | 15325 | ('3', '3')
p=32503 b=0 | 1+1+2+2+4+7+9+43+196 | 265,0 | 265,1 | - | 1 | 1 | 1,11348,-7560,13839, | -15361 | ('3', '3')
p=32503 b=1 | 9+14+18+21+203 | 265,0 | 265,1 | - | 1 | - |  | 6984 | 
p=32537 b=0 | 1+3+261 | 265,0 | 265,1 | - | 1 | 1 | 1,-5864,15539,9240, | 3969 | ('3', '3')
p=32537 b=1 | 1+3+21+23+32+40+65+80 | 265,0 | 265,1 | - | 1 | 1 | 1,5793,4141,14520, | 3724 | ('3', '3')
p=32561 b=0 | 4+14+42+205 | 265,0 | 265,1 | - | 1 | - |  | -9409 | 
p=32561 b=1 | 1+2+2+12+248 | 265,0 | 265,1 | - | 1 | 1 | 1,-11721,-2545,-7207, | -1618 | ('3', '3')
p=32569 b=0 | 1+11+14+20+30+43+146 | 265,0 | 265,1 | - | 1 | 1 | 1,-14890,-3413,14730, | 15307 | ('3', '3')
p=32569 b=1 | 2+8+24+98+133 | 265,0 | 265,1 | - | 1 | - |  | 1145 | 
p=32609 b=0 | 1+1+1+1+2+4+6+10+33+44+162 | 265,0 | 265,1 | - | 1 | 1 | 1,-83,10282,-14316, | 15604 | ('3', '3')
p=32609 b=1 | 2+3+3+3+9+39+64+68+74 | 265,0 | 265,1 | - | 1 | - |  | -7750 | 
p=32633 b=0 | 2+3+3+257 | 265,0 | 265,1 | - | 1 | - |  | -3060 | 
p=32633 b=1 | 1+1+36+48+72+107 | 265,0 | 265,1 | - | 1 | 1 | 1,-8955,-13273,-594, | -15455 | ('3', '3')
p=32647 b=0 | 1+4+7+9+244 | 265,0 | 265,1 | - | 1 | 1 | 1,-1660,-15421,4171, | -7880 | ('3', '3')
p=32647 b=1 | 4+5+7+10+24+28+68+119 | 265,0 | 265,1 | - | 1 | - |  | -14420 | 
p=32687 b=0 | 1+2+3+71+188 | 265,0 | 265,1 | - | 1 | 1 | 1,-954,-14826,-2037, | 9240 | ('3', '3')
p=32687 b=1 | 1+2+15+23+87+137 | 265,0 | 265,1 | - | 1 | 1 | 1,-4843,-10967,-9522, | 8756 | ('3', '3')
p=32713 b=0 | 1+1+1+123+139 | 265,0 | 265,1 | - | 1 | 1 | 1,-3245,5922,14428, | 12415 | ('3', '3')
p=32713 b=1 | 1+2+2+6+11+45+82+116 | 265,0 | 265,1 | - | 1 | 1 | 1,7803,4963,-9216, | -2262 | ('3', '3')
p=32719 b=0 | 2+3+7+8+10+19+35+181 | 265,0 | 265,1 | - | 1 | - |  | -1931 | 
p=32719 b=1 | 1+2+8+33+56+165 | 265,0 | 265,1 | - | 1 | 1 | 1,755,-3298,4497, | -4074 | ('3', '3')

== t=6: 8 prime ideals
p=32003 b=0 | 1+2+4+7+108+180+308+336+602 | 1548,0 | 1548,1 | 1 | 0 | 1 | 1,4339,9016,-15982,-6895, | 13229 | ('4', '4')
p=32533 b=0 | 1+2+3+11+23+36+606+866 | 1548,0 | 1548,1 | - | 0 | 1 | 1,-2825,10068,10680,4905, | 1730 | ('4', '4')
p=32587 b=0 | 1+1+1+3+14+24+38+44+49+58+385+930 | 1548,0 | 1548,1 | - | 0 | 1 | 1,-6207,-14432,6357,2788, | 6259 | ('4', '4')
p=32609 b=0 | 4+5+15+16+49+99+204+1156 | 1548,0 | 1548,1 | - | 0 | - |  |  | 
p=32633 b=0 | 1+1+1+2+524+1019 | 1548,0 | 1548,1 | - | 0 | 1 | 1,-4545,14142,10422,-12008, | 12943 | ('4', '4')
p=32713 b=0 | 1+2+2+47+107+120+137+1132 | 1548,0 | 1548,1 | - | 0 | 1 | 1,3031,-4267,-9377,15174, | 2918 | ('4', '4')
p=32717 b=0 | 9+26+35+114+292+1072 | 1548,0 | 1548,1 | - | 0 | - |  |  | 
p=32719 b=0 | 2+4+5+13+13+13+39+216+486+757 | 1548,0 | 1548,1 | - | 0 | - |  |  | 
