index	exponent_vector	monomial
1	10,0,0,0	b4^10
2	9,1,0,0	b4^9*q2_0
3	6,3,0,0	b4^6*q2_0^3
4	8,2,0,0	b4^8*q2_0^2
5	3,5,0,0	b4^3*q2_0^5
6	5,4,0,0	b4^5*q2_0^4
7	7,2,1,0	b4^7*q2_0^2*q3_0
8	0,7,0,0	q2_0^7
9	2,6,0,0	b4^2*q2_0^6
10	9,0,2,0	b4^9*q3_0^2
11	0,6,1,0	q2_0^6*q3_0
12	2,5,1,0	b4^2*q2_0^5*q3_0
13	4,4,1,0	b4^4*q2_0^4*q3_0
14	7,0,3,0	b4^7*q3_0^3
15	0,5,2,0	q2_0^5*q3_0^2
16	2,4,2,0	b4^2*q2_0^4*q3_0^2
17	4,3,2,0	b4^4*q2_0^3*q3_0^2
18	6,2,2,0	b4^6*q2_0^2*q3_0^2
19	8,1,2,0	b4^8*q2_0*q3_0^2
20	3,1,4,0	b4^3*q2_0*q3_0^4
21	5,0,4,0	b4^5*q3_0^4
22	0,4,3,0	q2_0^4*q3_0^3
23	2,3,3,0	b4^2*q2_0^3*q3_0^3
24	4,2,3,0	b4^4*q2_0^2*q3_0^3
25	6,1,3,0	b4^6*q2_0*q3_0^3
26	8,1,1,1	b4^8*q2_0*q3_0*b3
27	1,6,0,1	b4*q2_0^6*b3
28	0,0,6,0	q3_0^6
29	1,1,5,0	b4*q2_0*q3_0^5
30	3,0,5,0	b4^3*q3_0^5
31	0,3,4,0	q2_0^3*q3_0^4
32	2,2,4,0	b4^2*q2_0^2*q3_0^4
33	5,0,3,1	b4^5*q3_0^3*b3
34	0,4,2,1	q2_0^4*q3_0^2*b3
35	2,3,2,1	b4^2*q2_0^3*q3_0^2*b3
36	4,2,2,1	b4^4*q2_0^2*q3_0^2*b3
37	6,1,2,1	b4^6*q2_0*q3_0^2*b3
38	8,0,2,1	b4^8*q3_0^2*b3
39	1,5,1,1	b4*q2_0^5*q3_0*b3
40	3,4,1,1	b4^3*q2_0^4*q3_0*b3
41	5,3,1,1	b4^5*q2_0^3*q3_0*b3
42	0,2,5,0	q2_0^2*q3_0^5
43	0,5,0,2	q2_0^5*b3^2
44	2,4,0,2	b4^2*q2_0^4*b3^2
45	4,3,0,2	b4^4*q2_0^3*b3^2
46	6,2,0,2	b4^6*q2_0^2*b3^2
47	8,1,0,2	b4^8*q2_0*b3^2
48	0,0,5,1	q3_0^5*b3
49	1,1,4,1	b4*q2_0*q3_0^4*b3
50	3,0,4,1	b4^3*q3_0^4*b3
51	0,3,3,1	q2_0^3*q3_0^3*b3
52	2,2,3,1	b4^2*q2_0^2*q3_0^3*b3
53	4,1,3,1	b4^4*q2_0*q3_0^3*b3
54	4,1,0,3	b4^4*q2_0*b3^3
55	6,0,0,3	b4^6*b3^3
56	0,1,3,2	q2_0*q3_0^3*b3^2
57	2,0,3,2	b4^2*q3_0^3*b3^2
58	1,2,2,2	b4*q2_0^2*q3_0^2*b3^2
59	3,1,2,2	b4^3*q2_0*q3_0^2*b3^2
60	5,0,2,2	b4^5*q3_0^2*b3^2
61	0,4,1,2	q2_0^4*q3_0*b3^2
62	2,3,1,2	b4^2*q2_0^3*q3_0*b3^2
63	4,2,1,2	b4^4*q2_0^2*q3_0*b3^2
64	6,1,1,2	b4^6*q2_0*q3_0*b3^2
65	8,0,1,2	b4^8*q3_0*b3^2
66	0,2,4,1	q2_0^2*q3_0^4*b3
67	0,1,0,4	q2_0*b3^4
68	2,0,0,4	b4^2*b3^4
69	1,0,2,3	b4*q3_0^2*b3^3
70	0,2,1,3	q2_0^2*q3_0*b3^3
71	2,1,1,3	b4^2*q2_0*q3_0*b3^3
72	4,0,1,3	b4^4*q3_0*b3^3
73	1,3,0,3	b4*q2_0^3*b3^3
74	3,2,0,3	b4^3*q2_0^2*b3^3
75	0,0,4,2	q3_0^4*b3^2
76	0,3,2,2	q2_0^3*q3_0^2*b3^2
77	0,0,1,4	q3_0*b3^4
78	0,1,2,3	q2_0*q3_0^2*b3^3
79	0,4,0,3	q2_0^4*b3^3
80	0,0,3,3	q3_0^3*b3^3
81	0,0,0,5	b3^5
