index	exponent_vector	monomial
1	16,0,0,0,0,0,0	b4^16
2	15,1,0,0,0,0,0	b4^15*q2_0
3	12,3,0,0,0,0,0	b4^12*q2_0^3
4	14,2,0,0,0,0,0	b4^14*q2_0^2
5	9,5,0,0,0,0,0	b4^9*q2_0^5
6	11,4,0,0,0,0,0	b4^11*q2_0^4
7	4,8,0,0,0,0,0	b4^4*q2_0^8
8	6,7,0,0,0,0,0	b4^6*q2_0^7
9	8,6,0,0,0,0,0	b4^8*q2_0^6
10	10,4,1,0,0,0,0	b4^10*q2_0^4*q3_0
11	1,10,0,0,0,0,0	b4*q2_0^10
12	3,9,0,0,0,0,0	b4^3*q2_0^9
13	1,9,1,0,0,0,0	b4*q2_0^9*q3_0
14	3,8,1,0,0,0,0	b4^3*q2_0^8*q3_0
15	5,7,1,0,0,0,0	b4^5*q2_0^7*q3_0
16	7,6,1,0,0,0,0	b4^7*q2_0^6*q3_0
17	0,11,0,0,0,0,0	q2_0^11
18	3,7,2,0,0,0,0	b4^3*q2_0^7*q3_0^2
19	5,6,2,0,0,0,0	b4^5*q2_0^6*q3_0^2
20	7,5,2,0,0,0,0	b4^7*q2_0^5*q3_0^2
21	9,4,2,0,0,0,0	b4^9*q2_0^4*q3_0^2
22	11,3,2,0,0,0,0	b4^11*q2_0^3*q3_0^2
23	13,2,2,0,0,0,0	b4^13*q2_0^2*q3_0^2
24	0,10,1,0,0,0,0	q2_0^10*q3_0
25	3,6,3,0,0,0,0	b4^3*q2_0^6*q3_0^3
26	5,5,3,0,0,0,0	b4^5*q2_0^5*q3_0^3
27	7,4,3,0,0,0,0	b4^7*q2_0^4*q3_0^3
28	9,3,3,0,0,0,0	b4^9*q2_0^3*q3_0^3
29	11,2,3,0,0,0,0	b4^11*q2_0^2*q3_0^3
30	13,1,3,0,0,0,0	b4^13*q2_0*q3_0^3
31	15,0,3,0,0,0,0	b4^15*q3_0^3
32	0,9,2,0,0,0,0	q2_0^9*q3_0^2
33	2,8,2,0,0,0,0	b4^2*q2_0^8*q3_0^2
34	8,1,5,0,0,0,0	b4^8*q2_0*q3_0^5
35	10,0,5,0,0,0,0	b4^10*q3_0^5
36	1,6,4,0,0,0,0	b4*q2_0^6*q3_0^4
37	3,5,4,0,0,0,0	b4^3*q2_0^5*q3_0^4
38	5,4,4,0,0,0,0	b4^5*q2_0^4*q3_0^4
39	7,3,4,0,0,0,0	b4^7*q2_0^3*q3_0^4
40	9,2,4,0,0,0,0	b4^9*q2_0^2*q3_0^4
41	11,1,4,0,0,0,0	b4^11*q2_0*q3_0^4
42	13,0,4,0,0,0,0	b4^13*q3_0^4
43	0,8,3,0,0,0,0	q2_0^8*q3_0^3
44	2,7,3,0,0,0,0	b4^2*q2_0^7*q3_0^3
45	3,1,7,0,0,0,0	b4^3*q2_0*q3_0^7
46	5,0,7,0,0,0,0	b4^5*q3_0^7
47	0,4,6,0,0,0,0	q2_0^4*q3_0^6
48	2,3,6,0,0,0,0	b4^2*q2_0^3*q3_0^6
49	4,2,6,0,0,0,0	b4^4*q2_0^2*q3_0^6
50	6,1,6,0,0,0,0	b4^6*q2_0*q3_0^6
51	8,0,6,0,0,0,0	b4^8*q3_0^6
52	1,5,5,0,0,0,0	b4*q2_0^5*q3_0^5
53	3,4,5,0,0,0,0	b4^3*q2_0^4*q3_0^5
54	5,3,5,0,0,0,0	b4^5*q2_0^3*q3_0^5
55	7,2,5,0,0,0,0	b4^7*q2_0^2*q3_0^5
56	0,7,4,0,0,0,0	q2_0^7*q3_0^4
57	2,6,3,1,0,0,0	b4^2*q2_0^6*q3_0^3*q4_0
58	4,5,3,1,0,0,0	b4^4*q2_0^5*q3_0^3*q4_0
59	6,4,3,1,0,0,0	b4^6*q2_0^4*q3_0^3*q4_0
60	8,3,3,1,0,0,0	b4^8*q2_0^3*q3_0^3*q4_0
61	10,2,3,1,0,0,0	b4^10*q2_0^2*q3_0^3*q4_0
62	12,1,3,1,0,0,0	b4^12*q2_0*q3_0^3*q4_0
63	14,0,3,1,0,0,0	b4^14*q3_0^3*q4_0
64	1,8,2,1,0,0,0	b4*q2_0^8*q3_0^2*q4_0
65	0,0,9,0,0,0,0	q3_0^9
66	1,1,8,0,0,0,0	b4*q2_0*q3_0^8
67	3,0,8,0,0,0,0	b4^3*q3_0^8
68	0,3,7,0,0,0,0	q2_0^3*q3_0^7
69	2,2,7,0,0,0,0	b4^2*q2_0^2*q3_0^7
70	0,6,5,0,0,0,0	q2_0^6*q3_0^5
71	0,10,0,2,0,0,0	q2_0^10*q4_0^2
72	2,9,0,2,0,0,0	b4^2*q2_0^9*q4_0^2
73	0,0,8,1,0,0,0	q3_0^8*q4_0
74	1,1,7,1,0,0,0	b4*q2_0*q3_0^7*q4_0
75	3,0,7,1,0,0,0	b4^3*q3_0^7*q4_0
76	0,3,6,1,0,0,0	q2_0^3*q3_0^6*q4_0
77	2,2,6,1,0,0,0	b4^2*q2_0^2*q3_0^6*q4_0
78	4,1,6,1,0,0,0	b4^4*q2_0*q3_0^6*q4_0
79	6,0,6,1,0,0,0	b4^6*q3_0^6*q4_0
80	1,4,5,1,0,0,0	b4*q2_0^4*q3_0^5*q4_0
81	3,3,5,1,0,0,0	b4^3*q2_0^3*q3_0^5*q4_0
82	5,2,5,1,0,0,0	b4^5*q2_0^2*q3_0^5*q4_0
83	7,1,5,1,0,0,0	b4^7*q2_0*q3_0^5*q4_0
84	9,0,5,1,0,0,0	b4^9*q3_0^5*q4_0
85	0,6,4,1,0,0,0	q2_0^6*q3_0^4*q4_0
86	2,5,4,1,0,0,0	b4^2*q2_0^5*q3_0^4*q4_0
87	4,4,4,1,0,0,0	b4^4*q2_0^4*q3_0^4*q4_0
88	6,3,4,1,0,0,0	b4^6*q2_0^3*q3_0^4*q4_0
89	8,2,4,1,0,0,0	b4^8*q2_0^2*q3_0^4*q4_0
90	10,1,4,1,0,0,0	b4^10*q2_0*q3_0^4*q4_0
91	12,0,4,1,0,0,0	b4^12*q3_0^4*q4_0
92	1,7,3,1,0,0,0	b4*q2_0^7*q3_0^3*q4_0
93	0,2,8,0,0,0,0	q2_0^2*q3_0^8
94	1,4,4,2,0,0,0	b4*q2_0^4*q3_0^4*q4_0^2
