t	step	band	tag	family	variable	u_primitive_Q_associate	resultant_H_raw_u	source	unit_deferrals_before_pivot	status
2	1	4	01	top_endpoint	a5_0	1	1	27	0	EXACT_FULL_NONLINEAR_VALIDATED
2	2	4	00	scalar_chain	a3_0	10*q5_1 - 1	900	28	0	EXACT_FULL_NONLINEAR_VALIDATED
2	3	3	12	Q_chain	q4_1	10*q5_1 - 3	-300	19	0	EXACT_FULL_NONLINEAR_VALIDATED
2	4	2	12	Q_chain	q2_0	15*q5_1 - 4	-600	13	0	EXACT_FULL_NONLINEAR_VALIDATED
2	5	2	00	scalar_chain	b2	4*q5_1 - 1	-36	18	0	EXACT_FULL_NONLINEAR_VALIDATED
2	6	1	12	Q_chain	q3_0	40*q5_1 - 11	-4500	7	0	EXACT_FULL_NONLINEAR_VALIDATED
2	7	1	11	low_P_chain	a1_0	125*q5_1 - 21	34800	8	0	EXACT_FULL_NONLINEAR_VALIDATED
2	8	1	00	scalar_chain	a6_0	q5_1	24	12	0	EXACT_FULL_NONLINEAR_VALIDATED
2	9	0	12	Q_chain	q4_0	35*q5_1 - 3	13200	0	0	EXACT_FULL_NONLINEAR_VALIDATED
2	10	3	00	scalar_chain	a4_0	39*q5_1 - 10	-3696	23	6	EXACT_FULL_NONLINEAR_VALIDATED
2	11	0	11	endpoint_A	q5_0	10*q5_1 - 1	900	1	0	EXACT_FULL_NONLINEAR_VALIDATED
2	12	0	00	scalar_chain	b1	25*q5_1 - 4	1800	6	0	EXACT_FULL_NONLINEAR_VALIDATED
3	1	6	01	top_endpoint	a7_0	1	1	38	0	EXACT_FULL_NONLINEAR_VALIDATED_SHARED_ARTIFACT
3	2	6	00	scalar_chain	a4_0	14*q7_1 - 1	4508	39	0	EXACT_FULL_NONLINEAR_VALIDATED_SHARED_ARTIFACT
3	3	5	12	Q_chain	q5_1	7*q7_1 - 2	-196	30	0	EXACT_FULL_NONLINEAR_VALIDATED_SHARED_ARTIFACT
3	4	5	00	scalar_chain	a5_0	7*q7_1 - 1	392	34	0	EXACT_FULL_NONLINEAR_VALIDATED_SHARED_ARTIFACT
3	5	4	12	Q_chain	q6_1	7*q7_1 - 2	-196	25	0	EXACT_FULL_NONLINEAR_VALIDATED_SHARED_ARTIFACT
3	6	4	00	scalar_chain	a6_0	14*q7_1 - 3	-196	29	0	EXACT_FULL_NONLINEAR_VALIDATED_SHARED_ARTIFACT
