step	family	source	band	monomial	variable	coefficient	coefficient_inverse	u_primitive_Q_associate	u_equals_multiplier_times_coefficient	resultant_H_raw_u	resultant_H_primitive_u	nonunit_deferral_history	rhs	inverse_checked	substitution_checked	rows_after	variables_after	expression_bytes_after
1	top_endpoint	27	4	[0,1]	a5_0	50	1/50	1	1/50	1	1	[]	-3*a1_0*b3*q4_1/5 - 27*a1_0*q2_0**2/25 + 9*a1_0*q2_0*q5_0/5 + 6*a1_0*q3_0*q4_1/5 + 3*a1_0*q4_0/5 + 6*a3_0*q2_0/5 - 2*a3_0*q5_0 - 3*a4_0*q4_1/2 - 7*b2*q5_1/5 + 7*b2/50 + 21*b3*q2_0/50 - 7*b3*q4_1**2/10 - 7*b3*q5_0/5 - 63*q2_0**2*q4_1/50 - 42*q2_0*q3_0/25 + 7*q3_0*q5_0/5 + 7*q4_0*q4_1/10	True	True		13	
2	scalar_chain	28	4	[0,0]	a3_0	10 - 100*q5_1	q5_1/3 - 1/6	10*q5_1 - 1	-1/10	900	75	[]	-10*a1_0*b4*q4_1*q5_1 + 5*a1_0*b4*q4_1 - 3*a1_0*q2_0*q5_1 + 12*a1_0*q2_0/5 + 5*a1_0*q4_1**2*q5_1 - 5*a1_0*q4_1**2/2 + 10*a1_0*q5_0*q5_1 - 5*a1_0*q5_0 - 7*b3*q5_1/3 + 7*b3/6 + 7*b4*q2_0*q5_1 - 7*b4*q2_0/2 - 35*b4*q4_1**2*q5_1/3 + 35*b4*q4_1**2/6 - 70*b4*q5_0*q5_1/3 + 35*b4*q5_0/3 - 14*q2_0*q4_1*q5_1 + 7*q2_0*q4_1 - 14*q3_0*q5_1/3 + 91*q3_0/30 + 70*q4_1*q5_0*q5_1/3 - 35*q4_1*q5_0/3	True	True		12	
3	Q_chain	19	3	[1,2]	q4_1	70*q5_1 - 21	10*q5_1/7 - 3/7	10*q5_1 - 3	1/7	-300	-25	[]	-50*a1_0*q5_1/7 + 12*a1_0/7 + 10*b4*q5_1 - 2*b4	True	True		11	
4	Q_chain	13	2	[1,2]	q2_0	56 - 210*q5_1	5/28 - 15*q5_1/28	15*q5_1 - 4	-1/14	-600	-50	[]	-1500*a1_0**2*q5_1/49 + 360*a1_0**2/49 + 600*a1_0*b4*q5_1/7 - 145*a1_0*b4/7 - 275*b4**2*q5_1/4 + 65*b4**2/4 - 25*q5_0*q5_1/4 + 15*q5_0/4	True	True		10	
5	scalar_chain	18	2	[0,0]	b2	35 - 140*q5_1	1/3 - 20*q5_1/21	4*q5_1 - 1	-1/35	-36	-3	[]	23404000*a1_0**5*q5_1/50421 - 6545600*a1_0**5/50421 - 98179000*a1_0**4*b4*q5_1/21609 + 24119600*a1_0**4*b4/21609 + 54355250*a1_0**3*b4**2*q5_1/3087 - 12439300*a1_0**3*b4**2/3087 - 407500*a1_0**3*q5_0*q5_1/441 + 485000*a1_0**3*q5_0/3087 - 57500*a1_0**2*b3*q5_1/441 + 4120*a1_0**2*b3/441 - 304750*a1_0**2*b4**3*q5_1/9 + 3278600*a1_0**2*b4**3/441 + 2048750*a1_0**2*b4*q5_0*q5_1/441 - 57250*a1_0**2*b4*q5_0/63 - 52600*a1_0**2*q3_0*q5_1/441 - 8560*a1_0**2*q3_0/441 + 2750*a1_0*a4_0*q5_1/49 - 100*a1_0*a4_0/49 + 3050*a1_0*b3*b4*q5_1/7 - 415*a1_0*b3*b4/7 + 195625*a1_0*b4**4*q5_1/6 - 146950*a1_0*b4**4/21 - 316375*a1_0*b4**2*q5_0*q5_1/42 + 64175*a1_0*b4**2*q5_0/42 + 1000*a1_0*b4*q3_0*q5_1/3 + 340*a1_0*b4*q3_0/21 - 950*a1_0*q4_0*q5_1/21 + 310*a1_0*q4_0/21 + 500*a1_0*q5_0**2*q5_1/7 + 75*a1_0*q5_0**2/14 - 500*a4_0*b4*q5_1/7 - 50*a4_0*b4/7 - 3475*b3*b4**2*q5_1/12 + 365*b3*b4**2/12 + 575*b3*q5_0*q5_1/12 - 325*b3*q5_0/12 - 152375*b4**5*q5_1/12 + 32275*b4**5/12 + 26125*b4**3*q5_0*q5_1/6 - 5525*b4**3*q5_0/6 - 425*b4**2*q3_0*q5_1/3 - 65*b4**2*q3_0/3 + 100*b4*q4_0*q5_1 - 30*b4*q4_0 + 2125*b4*q5_0**2*q5_1/12 - 1625*b4*q5_0**2/12 + 325*q3_0*q5_0*q5_1/3 - 155*q3_0*q5_0/3	True	True		9	
6	Q_chain	7	1	[1,2]	q3_0	560*q5_1/3 - 154/3	4*q5_1/7 - 13/70	40*q5_1 - 11	3/14	-4500	-375	[]	4700*a1_0**3*q5_1/49 - 7880*a1_0**3/343 - 18020*a1_0**2*b4*q5_1/49 + 622*a1_0**2*b4/7 + 6975*a1_0*b4**2*q5_1/14 - 245*a1_0*b4**2/2 + 485*a1_0*q5_0*q5_1/14 - 127*a1_0*q5_0/14 - 3*b3*q5_1/2 - b3/5 - 975*b4**3*q5_1/4 + 245*b4**3/4 - 205*b4*q5_0*q5_1/4 + 51*b4*q5_0/4	True	True		8	
7	low_P_chain	8	1	[1,1]	a1_0	500*q5_1 - 84	27/232 - 125*q5_1/464	125*q5_1 - 21	1/4	34800	2900	[]	-175*b4*q5_1/116 + 119*b4/58	True	True		7	
8	scalar_chain	12	1	[0,0]	a6_0	-250*q5_1	q5_1/20 - 3/100	q5_1	-1/250	24	2	[]	45015*a4_0*b4**2*q5_1/3364 - 1620*a4_0*b4**2/841 + 11135103*b3*b4**3*q5_1/975560 - 4287129*b3*b4**3/2438900 - 1911*b3*b4*q5_0*q5_1/580 + 1239*b3*b4*q5_0/725 + 341905143377*b4**6*q5_1/4758586568 - 1346801757273*b4**6/95171731360 - 2131748157*b4**4*q5_0*q5_1/22632992 + 712409593*b4**4*q5_0/28291240 + 27083*b4**2*q4_0*q5_1/6728 - 97727*b4**2*q4_0/33640 - 640955*b4**2*q5_0**2*q5_1/26912 + 446089*b4**2*q5_0**2/26912 + 49*q4_0*q5_0*q5_1/8 - 21*q4_0*q5_0/8	True	True		6	
9	Q_chain	0	0	[1,2]	q4_0	245*q5_1 - 21	9/154 - 5*q5_1/44	35*q5_1 - 3	1/7	13200	1100	[]	-225*a4_0*q5_1/308 + 15*a4_0/22 + 1649*b3*b4*q5_1/2552 - 3217*b3*b4/6380 + 527087865*b4**4*q5_1/31120364 - 327536511*b4**4/62240728 + 149375*b4**2*q5_0*q5_1/296032 - 685635*b4**2*q5_0/148016 - 1975*q5_0**2*q5_1/176 + 195*q5_0**2/44	True	True		5	
10	scalar_chain_after_unit_deferral	23	3	[0,0]	a4_0	2925*q5_1/22 - 375/11	13*q5_1/14 - 67/210	39*q5_1 - 10	22/75	-3696	-308	[{"after_substitution_count":3,"attempt":1,"coefficient":"150*q5_1 - 30","coefficient_symbols":["q5_1"],"reason":"nonunit_or_zero_divisor_in_A_t","resultant_H_primitive_u":"0","resultant_H_raw_u":"0","u_equals_multiplier_times_coefficient":"1/30","u_primitive_Q_associate":"5*q5_1 - 1"}]	-233*b3*b4*q5_1/58 + 3*b3*b4/29 - 31710125*b4**4*q5_1/707281 + 75491035*b4**4/5658248 - 233965*b4**2*q5_0*q5_1/6728 + 44001*b4**2*q5_0/3364 - 25*q5_0**2*q5_1/8 - 9*q5_0**2/8	True	True		4	
