step	source_index_0based	h_power	gamma_power	pi_power	pivot_variable	coefficient_in_K	inverse_mod_H	step_rhs	remaining_rows_after	expression_bytes_after
1	14	2	1	1	a1_0	33 - 315*q7_1	35*q7_1/286 - 49/858	-210*b4*q7_1/143 + 580*b4/429 + 315*q5_1*q7_1/143 - 155*q5_1/429	28	70339
2	30	5	1	2	q5_1	10775/143 - 41475*q7_1/143	517/2950 - 1659*q7_1/2950	-252*b4*q7_1/295 + 204*b4/295	26	44657
3	8	1	1	1	q2_0	550/21 - 300*q7_1	1323*q7_1/12925 - 1281/25850	882*a2_0*q7_1/1175 + 112*a2_0/235 + 44316531*b4**2*q7_1/44991925 - 370388109*b4**2/224959625 - 11907*q6_1*q7_1/5170 + 168*q6_1/2585	25	71456
4	1	0	1	1	q7_0	20 - 210*q7_1	21*q7_1/130 - 1/13	252*b4**3*q7_1/295 - 499*b4**3/295 - b4*q6_1	24	60498
5	25	4	1	2	q6_1	331800/517 - 1308300*q7_1/517	99/4550 - 89*q7_1/1300	-14*a2_0*q7_1/325 + 88*a2_0/325 + 29253*b4**2*q7_1/226265 - 368388*b4**2/1131325	22	35560
6	19	3	1	2	q3_0	840*q7_1 - 220	21*q7_1/110 - 13/220	7056*a2_0*b4*q7_1/95875 - 76748*a2_0*b4/95875 - 41659947*b4**3*q7_1/66748175 - 751266173*b4**3/333740875	20	28833
7	13	2	1	2	q4_0	2940*q7_1 - 180	5/1256 - 49*q7_1/6280	2878799*a2_0**2*q7_1/13266500 - 511357*a2_0**2/2653300 - 44088226329*a2_0*b4**2*q7_1/46180686500 + 5991431831*a2_0*b4**2/9236137300 - 441*a4_0*q7_1/628 + 539*a4_0/628 - 455*b3*q7_1/628 - 37*b3/628 - 2258453731132557*b4**4*q7_1/643019878826000 + 476358581429647*b4**4/128603975765200	18	30707
8	39	6	0	0	a4_0	63504/157 - 240786*q7_1/157	2/63 - 13*q7_1/126	7448*a2_0**2*q7_1/63375 + 17924*a2_0**2/63375 + 1179584*a2_0*b4**2*q7_1/2941445 - 69541208*a2_0*b4**2/73536125 - 5*b3*q7_1/3 - 5*b3/126 - 326664952572*b4**4*q7_1/255979251125 - 97529508524*b4**4/51195850225	17	22539
9	7	1	1	2	q5_0	1680*q7_1 - 120	7/920 - 7*q7_1/460	-790959519*a2_0**2*b4*q7_1/2293330000 + 886912873*a2_0**2*b4/11466650000 - 25538892385923*a2_0*b4**3*q7_1/39915408650000 + 9624886261697*a2_0*b4**3/39915408650000 - 147*a5_0*q7_1/184 + 77*a5_0/92 + 37121*b3*b4*q7_1/217120 - 11603*b3*b4/217120 - 655600315771409967*b4**5*q7_1/111156430008520000 + 640417683026190741*b4**5/111156430008520000	15	23173
10	6	0	0	0	b1	700*q7_1 - 110	87/1430 - 21*q7_1/143	-17419130148*a2_0**4*b4**2*q7_1/11156640625 + 7363238624*a2_0**4*b4**2/11156640625 + 152023115375168541*a2_0**3*b4**4*q7_1/9825575301953125 - 25725561933938881*a2_0**3*b4**4/3930230120781250 + 151059466201*a2_0**2*b3*b4**2*q7_1/5733325000 - 64978307737*a2_0**2*b3*b4**2/5733325000 + 718950298482634101513*a2_0**2*b4**6*q7_1/10944904840351625000 - 1513717266235240270673*a2_0**2*b4**6/54724524201758125000 + 151961691*a2_0*a5_0*b4**3*q7_1/4410250 - 64774521*a2_0*a5_0*b4**3/4410250 + 86436*a2_0*a6_0*b4**2*q7_1/1625 - 2744*a2_0*a6_0*b4**2/125 + 2352*a2_0*b2*b4*q7_1/325 - 1316*a2_0*b2*b4/325 + 1176*a2_0*b3**2*q7_1/325 - 658*a2_0*b3**2/325 + 2626042676656189*a2_0*b3*b4**4*q7_1/19957704325000 - 202792911193271*a2_0*b3*b4**4/3991540865000 - 91494315782129883624840909*a2_0*b4**8*q7_1/952480343731600165625000 + 141212660176501058239297*a2_0*b4**8/3809921374926400662500 + 21168588*a2_0*b4**2*q6_0*q7_1/1054625 - 7891058*a2_0*b4**2*q6_0/1054625 + 1029*a5_0*b3*b4*q7_1/46 - 1029*a5_0*b3*b4/92 + 32715338596101*a5_0*b4**5*q7_1/168872882750 - 27078438090921*a5_0*b4**5/337745765500 - 765520434*a6_0*b4**4*q7_1/12444575 + 1569953532*a6_0*b4**4/62222875 + 7203*a9_0*b4*q7_1/65 - 686*a9_0*b4/13 + 173002683*b2*b4**3*q7_1/12444575 - 91445886*b2*b4**3/12444575 + 190773819397*b3**2*b4**2*q7_1/4579603600 - 87318892269*b3**2*b4**2/4579603600 + 31974328464149693937*b3*b4**6*q7_1/122272073009372000 - 13270072398709780801*b3*b4**6/122272073009372000 + 147*b3*q6_0*q7_1/11 - 84*b3*q6_0/11 + 317117045295680323733863298433*b4**10*q7_1/13262336306118800706162500000 - 14599460068067004032064507261*b4**10/2652467261223760141232500000 - 259680843744*b4**4*q6_0*q7_1/3671149625 + 184494086609*b4**4*q6_0/3671149625	14	31485
