source_index_0based	h_power	gamma_power	pi_power	integer_row_equals_multiplier_times_rational_row	denominator_lcm	cleared_integer_content
0	0	1	2	-59049	59049	1
1	0	1	1	2187/2	2187	2
2	0	1	0	2187	2187	1
3	0	0	3	59049	59049	1
4	0	0	2	59049	59049	1
5	0	0	1	-59049	59049	1
6	0	0	0	-59049	59049	1
7	1	1	2	-6561	6561	1
8	1	1	1	2187/2	2187	2
9	1	0	3	6561	6561	1
10	1	0	2	6561	6561	1
11	1	0	1	-59049	59049	1
12	1	0	0	-59049	59049	1
13	2	1	2	-6561	6561	1
14	2	1	1	2187/2	2187	2
15	2	0	3	6561	6561	1
16	2	0	2	6561	6561	1
17	2	0	1	-59049	59049	1
18	2	0	0	-59049	59049	1
19	3	1	2	2187	2187	1
20	3	1	1	-2187/2	2187	2
21	3	0	3	-2187	2187	1
22	3	0	2	-2187	2187	1
23	3	0	1	59049	59049	1
24	3	0	0	59049	59049	1
25	4	1	2	-729	729	1
26	4	1	1	2187/52	2187	52
27	4	0	3	729	729	1
28	4	0	2	2187	2187	1
29	4	0	1	-59049	59049	1
30	4	0	0	-59049	59049	1
31	5	1	2	-243	243	1
32	5	0	3	243	243	1
33	5	0	2	243	243	1
34	5	0	1	59049	59049	1
35	5	0	0	59049	59049	1
36	6	1	2	-729	729	1
37	6	0	3	729	729	1
38	6	0	2	729	729	1
39	6	0	1	59049	59049	1
40	6	0	0	6561	6561	1
41	7	1	2	81/2	81	2
42	7	0	3	-81/2	81	2
43	7	0	2	-81/2	81	2
44	7	0	1	-59049	59049	1
45	7	0	0	-6561/2	6561	2
49	8	0	1	6561	6561	1
50	8	0	0	243/2	243	2
