step	source_index_0based	h_power	gamma_power	pi_power	pivot_variable	pivot_coefficient	step_rhs	final_rhs
1	64	17	0	1	a5_1	9	13*q5_1/9	13*q5_1/9
2	63	16	0	1	a6_1	9	4*a1_0*q5_1/3 + 13*q6_1/9	4*a1_0*q5_1/3 + 13*q6_1/9
3	62	15	0	1	a7_1	9	4*a1_0*q6_1/3 + 11*a2_0*q5_1/9 - 91*q2_0*q5_1/81 + 13*q7_1/9	4*a1_0*q6_1/3 + 11*a2_0*q5_1/9 - 91*q2_0*q5_1/81 + 13*q7_1/9
4	61	14	0	1	a8_1	9	-28*a1_0*q2_0*q5_1/27 + 4*a1_0*q7_1/3 + 11*a2_0*q6_1/9 + 10*a3_0*q5_1/9 - 91*q2_0*q6_1/81 - 26*q3_0*q5_1/27 + 13*q8_1/9	-28*a1_0*q2_0*q5_1/27 + 4*a1_0*q7_1/3 + 11*a2_0*q6_1/9 + 10*a3_0*q5_1/9 - 91*q2_0*q6_1/81 - 26*q3_0*q5_1/27 + 13*q8_1/9
5	60	13	0	0	a9_2	18	26*q5_1**2/81 + 13*q9_1/9	26*q5_1**2/81 + 13*q9_1/9
6	59	13	0	1	a9_1	9	-28*a1_0*q2_0*q6_1/27 - 8*a1_0*q3_0*q5_1/9 + 4*a1_0*q8_1/3 - 77*a2_0*q2_0*q5_1/81 + 11*a2_0*q7_1/9 + 10*a3_0*q6_1/9 + 637*q2_0**2*q5_1/729 - 91*q2_0*q7_1/81 - 26*q3_0*q6_1/27 - 65*q4_0*q5_1/81 + 13*q9_0/9	-28*a1_0*q2_0*q6_1/27 - 8*a1_0*q3_0*q5_1/9 + 4*a1_0*q8_1/3 - 77*a2_0*q2_0*q5_1/81 + 11*a2_0*q7_1/9 + 10*a3_0*q6_1/9 + 637*q2_0**2*q5_1/729 - 91*q2_0*q7_1/81 - 26*q3_0*q6_1/27 - 65*q4_0*q5_1/81 + 13*q9_0/9
7	58	12	0	0	a10_2	18	2*a1_0*q5_1**2/9 + 4*a1_0*q9_1/3 - 26*b4*q5_1**2/81 + 52*q5_1*q6_1/81	2*a1_0*q5_1**2/9 + 4*a1_0*q9_1/3 - 26*b4*q5_1**2/81 + 52*q5_1*q6_1/81
8	57	12	0	1	a10_1	9	196*a1_0*q2_0**2*q5_1/243 - 28*a1_0*q2_0*q7_1/27 - 8*a1_0*q3_0*q6_1/9 - 20*a1_0*q4_0*q5_1/27 + 4*a1_0*q9_0/3 - 77*a2_0*q2_0*q6_1/81 - 22*a2_0*q3_0*q5_1/27 + 11*a2_0*q8_1/9 - 70*a3_0*q2_0*q5_1/81 + 10*a3_0*q7_1/9 + 8*a5_0*q5_1/9 + 26*b3*q5_1**2/81 + 637*q2_0**2*q6_1/729 + 364*q2_0*q3_0*q5_1/243 - 91*q2_0*q8_1/81 - 26*q3_0*q7_1/27 - 65*q4_0*q6_1/81 - 52*q5_0*q5_1/81	196*a1_0*q2_0**2*q5_1/243 - 28*a1_0*q2_0*q7_1/27 - 8*a1_0*q3_0*q6_1/9 - 20*a1_0*q4_0*q5_1/27 + 4*a1_0*q9_0/3 - 77*a2_0*q2_0*q6_1/81 - 22*a2_0*q3_0*q5_1/27 + 11*a2_0*q8_1/9 - 70*a3_0*q2_0*q5_1/81 + 10*a3_0*q7_1/9 + 8*a5_0*q5_1/9 + 26*b3*q5_1**2/81 + 637*q2_0**2*q6_1/729 + 364*q2_0*q3_0*q5_1/243 - 91*q2_0*q8_1/81 - 26*q3_0*q7_1/27 - 65*q4_0*q6_1/81 - 52*q5_0*q5_1/81
9	56	11	0	0	a11_2	18	-2*a1_0*b4*q5_1**2/9 + 4*a1_0*q5_1*q6_1/9 + 11*a2_0*q5_1**2/81 + 11*a2_0*q9_1/9 - 52*b4*q5_1*q6_1/81 - 91*q2_0*q5_1**2/243 - 91*q2_0*q9_1/81 + 52*q5_1*q7_1/81 + 26*q6_1**2/81	-2*a1_0*b4*q5_1**2/9 + 4*a1_0*q5_1*q6_1/9 + 11*a2_0*q5_1**2/81 + 11*a2_0*q9_1/9 - 52*b4*q5_1*q6_1/81 - 91*q2_0*q5_1**2/243 - 91*q2_0*q9_1/81 + 52*q5_1*q7_1/81 + 26*q6_1**2/81
10	55	11	0	1	a11_1	9	2*a1_0*b3*q5_1**2/9 + 196*a1_0*q2_0**2*q6_1/243 + 112*a1_0*q2_0*q3_0*q5_1/81 - 28*a1_0*q2_0*q8_1/27 - 8*a1_0*q3_0*q7_1/9 - 20*a1_0*q4_0*q6_1/27 - 16*a1_0*q5_0*q5_1/27 + 539*a2_0*q2_0**2*q5_1/729 - 77*a2_0*q2_0*q7_1/81 - 22*a2_0*q3_0*q6_1/27 - 55*a2_0*q4_0*q5_1/81 + 11*a2_0*q9_0/9 - 70*a3_0*q2_0*q6_1/81 - 20*a3_0*q3_0*q5_1/27 + 10*a3_0*q8_1/9 + 8*a5_0*q6_1/9 + 7*a6_0*q5_1/9 + 52*b3*q5_1*q6_1/81 - 4459*q2_0**3*q5_1/6561 + 637*q2_0**2*q7_1/729 + 364*q2_0*q3_0*q6_1/243 + 910*q2_0*q4_0*q5_1/729 - 91*q2_0*q9_0/81 + 52*q3_0**2*q5_1/81 - 26*q3_0*q8_1/27 - 65*q4_0*q7_1/81 - 52*q5_0*q6_1/81 - 13*q5_1*q6_0/27	2*a1_0*b3*q5_1**2/9 + 196*a1_0*q2_0**2*q6_1/243 + 112*a1_0*q2_0*q3_0*q5_1/81 - 28*a1_0*q2_0*q8_1/27 - 8*a1_0*q3_0*q7_1/9 - 20*a1_0*q4_0*q6_1/27 - 16*a1_0*q5_0*q5_1/27 + 539*a2_0*q2_0**2*q5_1/729 - 77*a2_0*q2_0*q7_1/81 - 22*a2_0*q3_0*q6_1/27 - 55*a2_0*q4_0*q5_1/81 + 11*a2_0*q9_0/9 - 70*a3_0*q2_0*q6_1/81 - 20*a3_0*q3_0*q5_1/27 + 10*a3_0*q8_1/9 + 8*a5_0*q6_1/9 + 7*a6_0*q5_1/9 + 52*b3*q5_1*q6_1/81 - 4459*q2_0**3*q5_1/6561 + 637*q2_0**2*q7_1/729 + 364*q2_0*q3_0*q6_1/243 + 910*q2_0*q4_0*q5_1/729 - 91*q2_0*q9_0/81 + 52*q3_0**2*q5_1/81 - 26*q3_0*q8_1/27 - 65*q4_0*q7_1/81 - 52*q5_0*q6_1/81 - 13*q5_1*q6_0/27
