step	source_index_0based	h_power	gamma_power	pi_power	pivot_variable	coefficient_in_K
1	14	2	1	1	a1_0	33 - 315*q7_1
2	30	5	1	2	q5_1	10775/143 - 41475*q7_1/143
3	8	1	1	1	q2_0	550/21 - 300*q7_1
4	1	0	1	1	q7_0	20 - 210*q7_1
5	25	4	1	2	q6_1	331800/517 - 1308300*q7_1/517
6	19	3	1	2	q3_0	840*q7_1 - 220
7	13	2	1	2	q4_0	2940*q7_1 - 180
8	39	6	0	0	a4_0	63504/157 - 240786*q7_1/157
9	7	1	1	2	q5_0	1680*q7_1 - 120
10	6	0	0	0	b1	700*q7_1 - 110
11	34	5	0	0	a5_0	16660/23 - 128625*q7_1/46
12	38	6	0	1	a7_0	1029
13	0	0	1	2	q6_0	4900*q7_1 - 420
14	29	4	0	0	a6_0	273714/61 - 1080450*q7_1/61
15	24	3	0	0	b2	980 - 3920*q7_1
16	12	1	0	0	a9_0	4802*q7_1
17	18	2	0	0	a8_0	-9604*q7_1
