source_index_0based	h_power	gamma_power	pi_power	integer_row_equals_multiplier_times_rational_row	denominator_lcm	cleared_integer_content
0	0	1	2	-2401	2401	1
1	0	1	1	343/2	343	2
2	0	1	0	343	343	1
3	0	0	3	2401	2401	1
4	0	0	2	2401	2401	1
5	0	0	1	-2401	2401	1
6	0	0	0	-2401	2401	1
7	1	1	2	-343	343	1
8	1	1	1	343/2	343	2
9	1	0	3	343	343	1
10	1	0	2	343	343	1
11	1	0	1	-2401	2401	1
12	1	0	0	-2401	2401	1
13	2	1	2	343	343	1
14	2	1	1	-343/4	343	4
15	2	0	3	-343	343	1
16	2	0	2	-343	343	1
17	2	0	1	2401	2401	1
18	2	0	0	2401	2401	1
19	3	1	2	-343/3	343	3
20	3	1	1	343/20	343	20
21	3	0	3	343/3	343	3
22	3	0	2	343	343	1
23	3	0	1	-2401	2401	1
24	3	0	0	-2401	2401	1
25	4	1	2	-343/3	343	3
26	4	0	3	343/3	343	3
27	4	0	2	343/3	343	3
28	4	0	1	2401	2401	1
29	4	0	0	2401	2401	1
30	5	1	2	49/3	49	3
31	5	0	3	-49/3	49	3
32	5	0	2	-49/3	49	3
33	5	0	1	-2401	2401	1
34	5	0	0	-343	343	1
38	6	0	1	343	343	1
39	6	0	0	343/2	343	2
