step	source	band	gamma	pi	variable	coefficient	inverse	resultant	resultant_factorization	rows_after	vars_after	terms_after
1	39	6	0	0	b3	140	1/140	19600	{'numer': {'2': 4, '5': 2, '7': 2}, 'denom': {}}	28	19	4198
2	38	6	0	1	b2	1470*q7_1 - 140	1/91 - 3*q7_1/130	37455600	{'numer': {'2': 4, '3': 1, '5': 2, '7': 4, '13': 1}, 'denom': {}}	27	18	12462
3	34	5	0	0	a5_0	490 - 3430*q7_1	3*q7_1/140 - 9/980	94119200	{'numer': {'2': 5, '5': 2, '7': 6}, 'denom': {}}	26	17	13344
4	33	5	0	1	a8_0	-4802	-1/4802	23059204	{'numer': {'2': 2, '7': 8}, 'denom': {}}	25	16	13065
5	30	5	1	2	b4	210*q7_1 - 40	4/5 - 21*q7_1/10	58800	{'numer': {'2': 4, '3': 1, '5': 2, '7': 2}, 'denom': {}}	23	15	7075
6	29	4	0	0	a6_0	4116 - 19208*q7_1	15/1372 - 3*q7_1/98	-368947264	{'numer': {'2': 6, '7': 8, '-1': 1}, 'denom': {}}	22	14	6986
7	28	4	0	1	a9_0	-2401	-1/2401	5764801	{'numer': {'7': 8}, 'denom': {}}	21	13	6601
8	25	4	1	2	a2_0	56 - 392*q7_1	3*q7_1/16 - 9/112	1229312	{'numer': {'2': 9, '7': 4}, 'denom': {}}	19	12	4241
9	24	3	0	0	a7_0	14406*q7_1 - 4116	q7_1/98 - 1/343	-830131344	{'numer': {'2': 4, '3': 2, '7': 8, '-1': 1}, 'denom': {}}	18	11	4084
10	19	3	1	2	q3_0	840*q7_1 - 220	21*q7_1/110 - 13/220	-2587200	{'numer': {'2': 6, '3': 1, '5': 2, '7': 2, '11': 1, '-1': 1}, 'denom': {}}	16	10	2963
11	14	2	1	1	a1_0	252 - 756*q7_1	5/72 - 7*q7_1/24	-1524096	{'numer': {'2': 7, '3': 5, '7': 2, '-1': 1}, 'denom': {}}	15	9	936
12	13	2	1	2	a4_0	5292*q7_1 - 2415/2	48*q7_1/887 - 346/18627	-57501549	{'numer': {'3': 3, '7': 4, '887': 1, '-1': 1}, 'denom': {}}	13	8	704
13	8	1	1	1	q2_0	1375/7 - 725*q7_1	1281/20350 - 4263*q7_1/20350	-2035000	{'numer': {'2': 3, '5': 4, '11': 1, '37': 1, '-1': 1}, 'denom': {}}	12	7	330
14	7	1	1	2	q5_0	2205*q7_1 - 615	49*q7_1/730 - 43/2190	-19315800	{'numer': {'2': 3, '3': 3, '5': 2, '7': 2, '73': 1, '-1': 1}, 'denom': {}}	10	6	249
15	6	0	0	0	b1	700*q7_1 - 110	87/1430 - 21*q7_1/143	2802800	{'numer': {'2': 4, '5': 2, '7': 2, '11': 1, '13': 1}, 'denom': {}}	9	5	297
16	1	0	1	1	q7_0	210*q7_1 - 20	1/13 - 21*q7_1/130	764400	{'numer': {'2': 4, '3': 1, '5': 2, '7': 2, '13': 1}, 'denom': {}}	8	4	147
17	0	0	1	2	q6_0	4200 - 8820*q7_1	q7_1/260 - 1/2730	1348401600	{'numer': {'2': 6, '3': 3, '5': 2, '7': 4, '13': 1}, 'denom': {}}	6	3	75
