step	source	band	gamma	pi	variable	coefficient	inverse	resultant	resultant_factorization	rows_after	vars_after	terms_after
1	26	4	1	1	b4	132*q11_1 - 4	1/14 - 33*q11_1/238	1382304	{'numer': {'2': 5, '3': 1, '7': 1, '11': 2, '17': 1}, 'denom': {}}	46	31	18212
2	52	9	1	2	a1_0	1320*q11_1/17 - 20	33*q11_1/10 - 19/20	-580800/17	{'numer': {'2': 6, '3': 1, '5': 2, '11': 2, '-1': 1}, 'denom': {'17': 1}}	44	30	9741
3	20	3	1	1	a2_0	357 - 3465*q11_1	110*q11_1/9401 - 146/28203	429982938	{'numer': {'2': 1, '3': 3, '7': 2, '11': 2, '17': 1, '79': 1}, 'denom': {}}	43	29	9026
4	47	8	1	2	q2_0	245520*q11_1/79 - 63120/79	341*q11_1/4120 - 59/2472	-4307212800/79	{'numer': {'2': 9, '3': 3, '5': 2, '11': 2, '103': 1, '-1': 1}, 'denom': {'79': 1}}	41	28	7826
5	14	2	1	1	a3_0	221 - 2002*q11_1	154*q11_1/6851 - 67/6851	129319476	{'numer': {'2': 2, '3': 1, '11': 2, '13': 2, '17': 1, '31': 1}, 'denom': {}}	40	27	6768
6	42	7	1	2	q3_0	183040*q11_1/31 - 47040/31	143*q11_1/3280 - 33/2624	-6096076800/31	{'numer': {'2': 14, '3': 1, '5': 2, '11': 2, '41': 1, '-1': 1}, 'denom': {'31': 1}}	38	26	5204
7	8	1	1	1	a4_0	9438*q11_1 - 1122	61/26367 - 13*q11_1/2397	2526802344	{'numer': {'2': 3, '3': 3, '11': 4, '17': 1, '47': 1}, 'denom': {}}	37	25	4496
8	1	0	1	1	q11_0	880 - 9680*q11_1	q11_1/280 - 1/616	3935500800	{'numer': {'2': 9, '3': 1, '5': 2, '7': 1, '11': 4}, 'denom': {}}	36	24	4054
9	37	6	1	2	q4_0	2229920/141 - 8673280*q11_1/141	87/72160 - 6*q11_1/1435	-3011969945600/141	{'numer': {'2': 12, '5': 2, '7': 2, '11': 4, '41': 1, '-1': 1}, 'denom': {'3': 1, '47': 1}}	34	23	3327
10	31	5	1	2	q5_0	14960 - 58080*q11_1	19/14960 - 3*q11_1/680	-19115289600	{'numer': {'2': 10, '3': 1, '5': 2, '11': 4, '17': 1, '-1': 1}, 'denom': {}}	32	22	2942
11	25	4	1	2	b3	87120*q11_1 - 11880	1/3080 - q11_1/1260	159387782400	{'numer': {'2': 8, '3': 5, '5': 2, '7': 1, '11': 4}, 'denom': {}}	30	21	2844
12	61	10	0	0	a6_0	1903330*q11_1/7 - 499125/7	26*q11_1/28435 - 81/312785	-3022460222100/7	{'numer': {'2': 2, '3': 1, '5': 2, '11': 8, '47': 1, '-1': 1}, 'denom': {'7': 1}}	29	20	2488
13	19	3	1	2	a7_0	-83853*q11_1	2*q11_1/11781 - 4/43197	717195212118	{'numer': {'2': 1, '3': 5, '7': 2, '11': 6, '17': 1}, 'denom': {}}	27	19	2253
14	56	9	0	0	q7_0	4859360/119 - 19166400*q11_1/119	289/600160 - 9*q11_1/5456	-16870929715200/119	{'numer': {'2': 12, '3': 1, '5': 2, '11': 6, '31': 1, '-1': 1}, 'denom': {'7': 1, '17': 1}}	26	18	2257
15	36	5	0	0	a11_0	17715610*q11_1	6/13689335 - q11_1/1244485	32011969442554200	{'numer': {'2': 3, '3': 1, '5': 2, '11': 12, '17': 1}, 'denom': {}}	25	17	2203
16	13	2	1	2	a8_0	-585640*q11_1	q11_1/41140 - 3/226270	34983369379200	{'numer': {'2': 7, '3': 1, '5': 2, '11': 8, '17': 1}, 'denom': {}}	23	16	1990
17	6	0	0	0	b1	532400*q11_1 - 82280	43/575960 - q11_1/5236	4047662572800	{'numer': {'2': 8, '3': 1, '5': 2, '7': 1, '11': 6, '17': 1}, 'denom': {}}	22	15	3725
18	51	8	0	0	q8_0	7411008/17 - 29516256*q11_1/17	17/367356 - 7*q11_1/44528	-272623339726848/17	{'numer': {'2': 11, '3': 3, '11': 8, '23': 1, '-1': 1}, 'denom': {'17': 1}}	21	14	3408
19	7	1	1	2	a9_0	307461*q11_1	4/158389 - 2*q11_1/43197	9642291185142	{'numer': {'2': 1, '3': 3, '7': 2, '11': 8, '17': 1}, 'denom': {}}	19	13	2387
20	46	7	0	0	q9_0	15120160/17 - 60906560*q11_1/17	1/42592 - 13*q11_1/164560	-65851048243200	{'numer': {'2': 12, '3': 1, '5': 2, '11': 8, '-1': 1}, 'denom': {}}	18	12	2289
21	30	4	0	0	a12_0	-14172488*q11_1	q11_1/995588 - 3/5475734	20487660443234688	{'numer': {'2': 7, '3': 1, '11': 12, '17': 1}, 'denom': {}}	17	11	2217
22	0	0	1	2	a10_0	966306*q11_1	2/248897 - q11_1/67881	95242223134872	{'numer': {'2': 3, '3': 3, '11': 10, '17': 1}, 'denom': {}}	15	10	1402
23	41	6	0	0	q10_0	927653760*q11_1/17 - 227228320/17	9*q11_1/1650440 - 119/72619360	-247007281960243200/17	{'numer': {'2': 12, '3': 1, '5': 2, '11': 10, '31': 1, '-1': 1}, 'denom': {'17': 1}}	14	9	1457
24	60	10	0	1	b2	12884080*q11_1/17 - 3407360/17	q11_1/3080 - 17/186340	-57619667212800/17	{'numer': {'2': 9, '3': 1, '5': 2, '7': 1, '11': 8, '-1': 1}, 'denom': {'17': 1}}	13	8	1319
25	24	3	0	0	a13_0	-10629366*q11_1	q11_1/746691 - 2/2737867	11524308999319512	{'numer': {'2': 3, '3': 3, '11': 12, '17': 1}, 'denom': {}}	12	7	1245
26	18	2	0	0	a14_0	-7086244*q11_1	q11_1/497794 - 3/2737867	5121915110808672	{'numer': {'2': 5, '3': 1, '11': 12, '17': 1}, 'denom': {}}	11	6	1159
27	12	1	0	0	a15_0	3543122*q11_1	6/2737867 - q11_1/248897	1280478777702168	{'numer': {'2': 3, '3': 1, '11': 12, '17': 1}, 'denom': {}}	10	5	1066
