job	status	result	wall	user_seconds	max_rss_kib
t6_modrun_p32003	complete-exit0	unit-ideal-[1]	16:21.78	659.40	535992
t6_modrun_p32009	complete-exit0	unit-ideal-[1]	16:04.06	651.68	535968
t6_modrun_p32027	complete-exit0	unit-ideal-[1]	16:27.50	653.90	535672
t6_exact_run	cap-exit124	inconclusive-no-basis	1:15:01	2712.98	3365044-per-process-nonaggregate
t6_laurent_exact_run	cap-exit124	inconclusive-no-basis	13:00.56	514.78	1475948-per-process-nonaggregate
t6_laurent_fast	complete-exit0	12x6-bands0..11	0:11.16	10.98	46588
fresh_chart_verify	complete-exit0	63-unknowns-93-equations	3:04.59	180.78	459848
q_h_verify	complete-exit0	22-Q-pivots-H6-c-unit	0:00.52	0.47	55292
t6_dmodel_exact_run	interrupted-exit1	excluded-no-basis	38:15.23	363.51	2500468
t6_laurent_run	interrupted-no-exit	excluded-empty-output	41:12	NA	844660-sampled
