t	family	index	variable	coefficient_in_A_t	primitive_linear_associate	resultant_H_coefficient
2	C	1	C1	(305*y - 93)/8	305*y - 93	-4350
2	Q	2	q2	-42*(10*y - 3)/25	10*y - 3	-21168/25
2	Q	3	q3	-7*(45*y - 13)/20	45*y - 13	-735
2	Q	4	q4	-7*(11*y - 3)/4	11*y - 3	-1029
2	B	5	b2	7*(25*y - 7)/100	25*y - 7	-441/50
3	C	1	C1	3150*(281*y - 82)/14641	281*y - 82	-2341710000/161051
3	C	2	C2	5*(15330*y - 4393)/1331	15330*y - 4393	-17654700/1331
3	Q	3	q3	-180*(7*y - 2)/49	7*y - 2	-129600/49
3	Q	4	q4	-108*(189*y - 53)/847	189*y - 53	-279936/121
3	Q	5	q5	-30*(95*y - 26)/121	95*y - 26	-262800/121
3	Q	6	q6	-90*(287*y - 76)/847	287*y - 76	-421200/121
3	B	7	b2	10*(147*y - 40)/539	147*y - 40	-15600/539
4	C	1	C1	52*(2754*y - 781)/1715	2754*y - 781	-296996544/8575
4	C	2	C2	12*(1629*y - 457)/245	1629*y - 457	-38934432/1225
4	C	3	C3	156*(9279*y - 2572)/18865	9279*y - 2572	-30542020704/1037575
4	Q	4	q4	-52*(18*y - 5)/27	18*y - 5	-54080/9
4	Q	5	q5	-104*(324*y - 89)/1029	324*y - 89	-12849408/2401
4	Q	6	q6	-104*(369*y - 100)/1225	369*y - 100	-29787264/6125
4	Q	7	q7	-52*(1332*y - 355)/2205	1332*y - 355	-1178944/245
4	Q	8	q8	-52*(594*y - 155)/735	594*y - 155	-292032/35
4	B	9	b2	26*(243*y - 65)/1701	243*y - 65	-114920/1701
5	C	1	C1	160*(62359*y - 17337)/93347	62359*y - 17337	-120750643200/1773593
5	C	2	C2	80*(107206*y - 29593)/83521	107206*y - 29593	-89591884800/1419857
5	C	3	C3	80*(6072*y - 1663)/4913	6072*y - 1663	-288076800/4913
5	C	4	C4	800*(7634*y - 2073)/63869	7634*y - 2073	-45534720000/830297
5	Q	5	q5	-480*(11*y - 3)/121	11*y - 3	-1382400/121
5	Q	6	q6	-800*(495*y - 134)/9537	495*y - 134	-8960000/867
5	Q	7	q7	-320*(2761*y - 741)/22253	2761*y - 741	-19046400/2023
5	Q	8	q8	-96*(1276*y - 339)/3179	1276*y - 339	-2543616/289
5	Q	9	q9	-160*(781*y - 205)/3179	781*y - 205	-153600/17
5	Q	10	q10	-160*(1067*y - 276)/3179	1067*y - 276	-4761600/289
5	B	11	b2	80*(121*y - 32)/2057	121*y - 32	-268800/2057
6	C	1	C1	171*(15353*y - 4207)/20125	15353*y - 4207	-54774124236/462875
6	C	2	C2	57*(27066*y - 7379)/12250	27066*y - 7379	-33210066123/300125
6	C	3	C3	9*(4732*y - 1283)/350	4732*y - 1283	-25365717/245
6	C	4	C4	171*(10244*y - 2761)/14875	10244*y - 2761	-171833800788/1770125
6	C	5	C5	57*(351*y - 94)/175	351*y - 94	-112012524/1225
6	Q	6	q6	-342*(26*y - 7)/169	26*y - 7	-3274992/169
6	Q	7	q7	-513*(351*y - 94)/3575	351*y - 94	-53686476/3025
6	Q	8	q8	-19*(1157*y - 308)/455	1157*y - 308	-114076/7
6	Q	9	q9	-342*(2171*y - 574)/15925	2171*y - 574	-129596112/8575
6	Q	10	q10	-1026*(507*y - 133)/11375	507*y - 133	-12632112/875
6	Q	11	q11	-57*(377*y - 98)/455	377*y - 98	-532836/35
6	Q	12	q12	-171*(871*y - 224)/2275	871*y - 224	-5029452/175
6	B	13	b2	19*(507*y - 133)/1690	507*y - 133	-37905/169
