step	source	band	gamma	pi	variable	coefficient
1	92	25	0	1	a7_1	13
2	91	24	0	1	a8_1	13
3	90	23	0	1	a9_1	13
4	89	22	0	1	a10_1	13
5	88	21	0	1	a11_1	13
6	87	20	0	1	a12_1	13
7	86	19	0	0	a13_2	26
8	85	19	0	1	a13_1	13
9	84	18	0	0	a14_2	26
10	83	18	0	1	a14_1	13
11	82	17	0	0	a15_2	26
12	81	17	0	1	a15_1	13
13	80	16	0	0	a16_2	26
14	79	16	0	1	a16_1	13
15	78	15	0	0	a17_2	26
16	77	15	0	1	a17_1	13
17	76	14	0	0	a18_2	26
18	75	14	0	1	a18_1	13
19	74	13	0	0	a19_2	26
20	73	13	0	1	a19_1	13
21	69	12	0	3	a19_0	-52
22	68	12	1	2	a19_3	-39/4
