DDFSWEEP deg_w 52138
DDFSWEEP k=1 cumdeg=0 t=0.1s
DDFSWEEP k=2 cumdeg=0 t=16.7s
DDFSWEEP k=3 cumdeg=0 t=16.7s
DDFSWEEP k=4 cumdeg=0 t=16.7s
DDFSWEEP k=5 cumdeg=0 t=16.7s
DDFSWEEP k=6 cumdeg=0 t=16.7s
DDFSWEEP k=7 cumdeg=7 t=16.7s
DDFSWEEP saved ddf_factor_k7.txt deg=7
DDFSWEEP k=8 cumdeg=0 t=16.7s
DDFSWEEP k=9 cumdeg=0 t=16.7s
DDFSWEEP k=10 cumdeg=0 t=16.7s
DDFSWEEP k=11 cumdeg=0 t=16.7s
DDFSWEEP k=12 cumdeg=0 t=16.7s
DDFSWEEP k=13 cumdeg=0 t=16.7s
DDFSWEEP k=14 cumdeg=7 t=16.7s
DDFSWEEP saved ddf_factor_k14.txt deg=7
DDFSWEEP k=15 cumdeg=0 t=16.6s
DDFSWEEP k=16 cumdeg=0 t=16.7s
DDFSWEEP k=17 cumdeg=17 t=16.6s
DDFSWEEP saved ddf_factor_k17.txt deg=17
DDFSWEEP k=18 cumdeg=0 t=16.6s
DDFSWEEP k=19 cumdeg=0 t=16.6s
DDFSWEEP k=20 cumdeg=20 t=16.6s
DDFSWEEP saved ddf_factor_k20.txt deg=20
DDFSWEEP k=21 cumdeg=7 t=16.7s
DDFSWEEP saved ddf_factor_k21.txt deg=7
DDFSWEEP k=22 cumdeg=0 t=16.6s
DDFSWEEP k=23 cumdeg=0 t=16.6s
DDFSWEEP k=24 cumdeg=0 t=16.6s
DDFSWEEP k=25 cumdeg=0 t=16.7s
DDFSWEEP k=26 cumdeg=0 t=16.6s
DDFSWEEP k=27 cumdeg=0 t=16.7s
DDFSWEEP k=28 cumdeg=7 t=16.7s
DDFSWEEP saved ddf_factor_k28.txt deg=7
DDFSWEEP k=29 cumdeg=0 t=16.6s
DDFSWEEP k=30 cumdeg=0 t=16.7s
DDFSWEEP k=31 cumdeg=0 t=16.6s
DDFSWEEP k=32 cumdeg=0 t=16.6s
DDFSWEEP k=33 cumdeg=0 t=16.6s
DDFSWEEP k=34 cumdeg=17 t=16.7s
DDFSWEEP saved ddf_factor_k34.txt deg=17
DDFSWEEP k=35 cumdeg=7 t=16.6s
DDFSWEEP saved ddf_factor_k35.txt deg=7
DDFSWEEP k=36 cumdeg=0 t=16.7s
DDFSWEEP k=37 cumdeg=0 t=16.7s
DDFSWEEP k=38 cumdeg=0 t=16.7s
DDFSWEEP k=39 cumdeg=0 t=16.7s
DDFSWEEP k=40 cumdeg=20 t=16.7s
DDFSWEEP saved ddf_factor_k40.txt deg=20
DDFSWEEP_DONE cum_low_degree_part=20 of 52138
