log	maxF4deg	maxrows	maxcols
K7_B6_Q0_p32003	6	486870	891018
K7_B6_Q1_p0	6	292502	484251
K7_B6_Q1_p32003	6	292502	484251
K8_B10_Q0_p32003	6	1107745	1385674
K8_B10_Q1_p32003	7	3858207	8907561
K8_B12_Q1_p32003	7	2191129	7005704
K8_B7_Q0_p32003	6	415685	716142
K8_B7_Q1_p32003	7	3489356	6934296
K9_B9_Q0_p32003	6	280958	372754
K9_B9_Q1_p32003	6	283750	568843
K7_B7_Q0_p0	6	568750	1108487
K7_B7_Q0_p32003	6	568750	1108487
K7_B7_Q1_p32003	6	1500429	2258156
K8_B11_Q0_p0	6	271348	318489
K8_B11_Q0_p32003	6	271347	318488
K8_B11_Q1_p32003	6	207503	402683
K8_B8_Q0_p32003	6	443423	778803
K8_B8_Q1_p32003	6	387488	665881
K9_B8_Q0_p32003	7	3055664	4116239
K9_B8_Q1_p32003	6	229120	451898
K7_B8_Q0_p0	6	1188472	2047062
K7_B8_Q0_p32003	6	1188472	2047062
K7_B8_Q1_p32003	6	2326667	2845023
K8_B9_Q0_p32003	6	445322	784871
K8_B9_Q1_p32003	7	3653033	7498305
K9_B10_Q1_p32003	6	295384	600611
