stem	K	b	q	verdict	nv	ngens	form_s	mod_verdict	mod_s	mod_rss_GB	mod_deg	exq_verdict	exq_s	exq_rss_GB	exq_len	host
K7_B6_Q0	7	6	0	MODULAR_TIMEOUT	51	180	0.485	MODULAR_TIMEOUT	2700.068	.	.	.	.	.	.	ip-172-30-0-11
K7_B6_Q1	7	6	1	EXACTQ_UNIT	50	174	0.334	MODULAR_UNIT	145.072	6.0	.	EXACTQ_UNIT	152.867	6.1	1	ip-172-30-0-11
K7_B7_Q0	7	7	0	EXACTQ_UNIT	58	200	3.854	MODULAR_UNIT	407.62	13.4	.	EXACTQ_UNIT	472.922	13.9	1	ip-172-30-0-119
K7_B7_Q1	7	7	1	MODULAR_TIMEOUT	57	194	2.971	MODULAR_TIMEOUT	2700.164	.	.	.	.	.	.	ip-172-30-0-119
K7_B8_Q0	7	8	0	EXACTQ_UNIT	65	221	22.698	MODULAR_UNIT	588.78	25.2	.	EXACTQ_UNIT	712.046	25.4	1	ip-172-30-0-5
K7_B8_Q1	7	8	1	MODULAR_TIMEOUT	64	215	16.644	MODULAR_TIMEOUT	2700.14	.	.	.	.	.	.	ip-172-30-0-5
K8_B7_Q0	8	7	0	MODULAR_TIMEOUT	66	243	5.681	MODULAR_TIMEOUT	2700.104	.	.	.	.	.	.	ip-172-30-0-11
K8_B7_Q1	8	7	1	MODULAR_TIMEOUT	65	237	2.961	MODULAR_TIMEOUT	2700.103	.	.	.	.	.	.	ip-172-30-0-11
K8_B8_Q0	8	8	0	MODULAR_TIMEOUT	74	266	90.081	MODULAR_TIMEOUT	2700.102	.	.	.	.	.	.	ip-172-30-0-119
K8_B8_Q1	8	8	1	MODULAR_TIMEOUT	73	260	63.466	MODULAR_TIMEOUT	2700.005	.	.	.	.	.	.	ip-172-30-0-119
K8_B9_Q0	8	9	0	MODULAR_TIMEOUT	82	290	427.074	MODULAR_TIMEOUT	2700.005	.	.	.	.	.	.	ip-172-30-0-5
K8_B9_Q1	8	9	1	MODULAR_TIMEOUT	81	284	309.919	MODULAR_TIMEOUT	2700.032	.	.	.	.	.	.	ip-172-30-0-5
K8_B10_Q0	8	10	0	MODULAR_TIMEOUT	90	313	1550.944	MODULAR_TIMEOUT	2700.066	.	.	.	.	.	.	ip-172-30-0-11
K8_B10_Q1	8	10	1	MODULAR_TIMEOUT	89	307	1257.568	MODULAR_TIMEOUT	2700.004	.	.	.	.	.	.	ip-172-30-0-11
K9_B8_Q0	9	8	0	MODULAR_TIMEOUT	83	316	115.629	MODULAR_TIMEOUT	2700.102	.	.	.	.	.	.	ip-172-30-0-119
K9_B8_Q1	9	8	1	MODULAR_TIMEOUT	82	310	59.32	MODULAR_TIMEOUT	2700.102	.	.	.	.	.	.	ip-172-30-0-119
K9_B9_Q0	9	9	0	MODULAR_TIMEOUT	92	342	1402.251	MODULAR_TIMEOUT	2700.102	.	.	.	.	.	.	ip-172-30-0-11
K9_B9_Q1	9	9	1	MODULAR_TIMEOUT	91	336	903.681	MODULAR_TIMEOUT	2700.102	.	.	.	.	.	.	ip-172-30-0-11
