scope	chart	operation	status	wall	max_rss_kb	reason
local	K7_B9_Q0	Singular std Q, option(redSB)	RESOURCE_PREEMPT	24:07.38	19106588	protect host negative-control run and avoid global OOM
local	K7_B9_Q1	Singular std Q, option(redSB)	RESOURCE_PREEMPT	21:40.38	9437624	protect host negative-control run and avoid global OOM
fleet	K7_B10_Q0	Singular std Q, option(redSB)	RESOURCE_PREEMPT	14:58.33	17996732	reserve memory for exact cofactor lifts
local	K7_B10_Q1	Singular std Q, option(redSB)	RESOURCE_PREEMPT	18:41.13	10234520	protect host negative-control run and avoid global OOM
fleet	K7_B11_Q0	Singular std Q, option(redSB)	RESOURCE_PREEMPT	12:26.52	21029888	reserve memory for exact cofactor lifts
fleet	K7_B11_Q1	Singular std Q, option(redSB)	RESOURCE_PREEMPT	11:25.18	17221144	reserve memory for exact cofactor lifts
fleet	K7_B12_Q0	Singular std Q, option(redSB)	RESOURCE_PREEMPT	8:40.05	20850816	reserve memory for exact cofactor lifts
fleet	K7_B12_Q1	Singular std Q, option(redSB)	RESOURCE_PREEMPT	8:39.98	19277212	reserve memory for exact cofactor lifts
local	K7_B9_Q0	Debian msolve 0.6.5 Q, t2	TIMEOUT	40:00	unknown	2400-second hard watchdog; empty output, rc124
fleet	K7_B11_Q0	full Singular liftstd Q	RESOURCE_PREEMPT	20:30.68	47494920	cofactor quota met by exact sparse/cleared certificates
fleet	K7_B11_Q1	full Singular liftstd Q	RESOURCE_PREEMPT	38:48.95	42691248	cofactor quota met by exact sparse/cleared certificates
fleet	K7_B12_Q0	full Singular liftstd Q	RESOURCE_PREEMPT	28:00.97	68614988	cofactor quota met by exact sparse/cleared certificates
fleet	K7_B12_Q1	full Singular liftstd Q	RESOURCE_PREEMPT	16:18.07	23679220	cofactor quota met by exact localized/cleared certificate
fleet	K7_B12_Q1	122-generator Singular liftstd Q	RESOURCE_PREEMPT	14:47.45	38165888	6-generator exact subset found
fleet	K7_B12_Q1	6-generator Singular liftstd Q	RESOURCE_PREEMPT	7:38.98	17851532	localized/cleared polynomial certificate already checked
local	K7_B12_Q1	6-generator Singular liftstd Q	RESOURCE_PREEMPT	10:29.94	19992056	localized/cleared polynomial certificate already checked
