b	q	vars	gens	bytes	hash_match	TARGET	CST0	HOMOG	THEOREM
9	0	72	241	12675213	true	212 TARGET_FOUND 1	0	1	disabled
9	1	71	235	11511528	true	208 TARGET_FOUND 1	0	1	disabled
10	0	79	261	19173893	true	238 TARGET_FOUND 1	0	1	disabled
10	1	78	255	17715692	true	234 TARGET_FOUND 1	0	1	disabled
11	0	86	281	27133266	true	264 TARGET_FOUND 1	0	1	disabled
11	1	85	275	25367692	true	260 TARGET_FOUND 1	0	1	disabled
12	0	93	301	36605124	true	290 TARGET_FOUND 1	0	1	disabled
12	1	92	295	34517061	true	286 TARGET_FOUND 1	0	1	disabled
13	0	100	325	47622625	true	318 TARGET_FOUND 1	0	1	disabled
13	1	99	317	45201213	true	313 TARGET_FOUND 1	0	1	disabled
