b	q	raw	simplified	bands
9	0	333	333	14:0..14;15:0..15;16:0..16;17:0..17;18:0..18;19:0..19;20:0..20;21:0..20;22:0..20;23:0..20;24:0..20;25:0..20;26:0..20;27:0..20;28:0..20;29:2..20;30:8..20;31:14..20
9	1	327	327	14:0..14;15:0..15;16:0..16;17:0..17;18:0..18;19:0..19;20:0..20;21:0..20;22:0..20;23:0..20;24:0..20;25:0..20;26:0..20;27:0..20;28:0..20;29:4..20;30:10..20;31:16..20
10	0	375	375	14:0..14;15:0..15;16:0..16;17:0..17;18:0..18;19:0..19;20:0..20;21:0..20;22:0..20;23:0..20;24:0..20;25:0..20;26:0..20;27:0..20;28:0..20;29:0..20;30:0..20;31:2..20;32:8..20;33:14..20
10	1	369	369	14:0..14;15:0..15;16:0..16;17:0..17;18:0..18;19:0..19;20:0..20;21:0..20;22:0..20;23:0..20;24:0..20;25:0..20;26:0..20;27:0..20;28:0..20;29:0..20;30:0..20;31:4..20;32:10..20;33:16..20
11	0	417	417	14:0..14;15:0..15;16:0..16;17:0..17;18:0..18;19:0..19;20:0..20;21:0..20;22:0..20;23:0..20;24:0..20;25:0..20;26:0..20;27:0..20;28:0..20;29:0..20;30:0..20;31:0..20;32:0..20;33:2..20;34:8..20;35:14..20
11	1	411	411	14:0..14;15:0..15;16:0..16;17:0..17;18:0..18;19:0..19;20:0..20;21:0..20;22:0..20;23:0..20;24:0..20;25:0..20;26:0..20;27:0..20;28:0..20;29:0..20;30:0..20;31:0..20;32:0..20;33:4..20;34:10..20;35:16..20
12	0	459	459	14:0..14;15:0..15;16:0..16;17:0..17;18:0..18;19:0..19;20:0..20;21:0..20;22:0..20;23:0..20;24:0..20;25:0..20;26:0..20;27:0..20;28:0..20;29:0..20;30:0..20;31:0..20;32:0..20;33:0..20;34:0..20;35:2..20;36:8..20;37:14..20
12	1	453	453	14:0..14;15:0..15;16:0..16;17:0..17;18:0..18;19:0..19;20:0..20;21:0..20;22:0..20;23:0..20;24:0..20;25:0..20;26:0..20;27:0..20;28:0..20;29:0..20;30:0..20;31:0..20;32:0..20;33:0..20;34:0..20;35:4..20;36:10..20;37:16..20
13	0	507	507	14:0..14;15:0..15;16:0..16;17:0..17;18:0..18;19:0..19;20:0..20;21:0..20;22:0..20;23:0..20;24:0..20;25:0..20;26:0..20;27:0..20;28:0..20;29:0..20;30:0..20;31:0..20;32:0..20;33:0..20;34:0..20;35:0..20;36:0..20;37:2..20;38:4..20;39:12..20
13	1	498	498	14:0..14;15:0..15;16:0..16;17:0..17;18:0..18;19:0..19;20:0..20;21:0..20;22:0..20;23:0..20;24:0..20;25:0..20;26:0..20;27:0..20;28:0..20;29:0..20;30:0..20;31:0..20;32:0..20;33:0..20;34:0..20;35:0..20;36:0..20;37:4..20;38:8..20;39:15..20
