Initial seed for pseudo-random number generator is 0

--------------- INPUT DATA ---------------
#variables                      97
#equations                     330
#invalid equations               0
field characteristic         32003
homogeneous input?               0
signature-based computation      0
monomial order                 DRL
basis hash table resetting     OFF
linear algebra option            2
initial hash table size     131072 (2^17)
max pair selection             ALL
reduce gb                        1
#threads                        64
info level                       2
generate pbm files               0
------------------------------------------

Legend for f4 information
--------------------------------------------------------
deg       current degree of pairs selected in this round
sel       number of pairs selected in this round
pairs     total number of pairs in pair list
mat       matrix dimensions (# rows x # columns)
density   density of the matrix
new data  # new elements for basis in this round
          # zero reductions during linear algebra
time(rd)  time of the current f4 round in seconds given
          for real and cpu time
--------------------------------------------------------

deg     sel   pairs        mat          density            new data         time(rd) in sec (real|cpu)
------------------------------------------------------------------------------------------------------
  3       3    4746       5 x 3          80.00%        0 new       3 zero         0.00 | 0.13         
  4      15    4743      37 x 129         7.23%        5 new      10 zero         0.00 | 0.25         
  3       7    4743      14 x 13         11.54%        4 new       3 zero         0.00 | 0.13         
  2       2    4264       4 x 2          50.00%        0 new       2 zero         0.00 | 0.13         
  3       5    4262      12 x 9          15.74%        1 new       4 zero         0.00 | 0.07         
  3       3    4284       7 x 5          25.71%        1 new       2 zero         0.00 | 0.13         
  3       2    4232       5 x 3          40.00%        0 new       2 zero         0.00 | 0.06         
  4       4    4230      23 x 21          9.11%        1 new       3 zero         0.00 | 0.13         
  3       4    4234      12 x 11         15.91%        1 new       3 zero         0.00 | 0.06         
  4       3    4248      11 x 9          18.18%        0 new       3 zero         0.00 | 0.06         
  5      44    4245     417 x 983         0.87%       20 new      24 zero         0.01 | 0.70         
  4      35    4488     268 x 1272        0.83%       20 new      15 zero         0.01 | 0.70         
  4       9    4819      28 x 29          6.03%        5 new       4 zero         0.00 | 0.19         
  3       9    4878      21 x 16          9.52%        2 new       7 zero         0.00 | 0.13         
  3       5    4888      12 x 8          15.62%        1 new       4 zero         0.00 | 0.13         
  4       5    4892      15 x 13         12.31%        1 new       4 zero         0.00 | 0.06         
  5     174    4891    3013 x 10895       0.12%       66 new     108 zero         0.06 | 2.42         
  4      28    6063     126 x 176         1.65%       13 new      15 zero         0.01 | 0.45         
  4      25    6135      98 x 101         2.36%        5 new      20 zero         0.00 | 0.32         
  4      26    6207      86 x 82          2.44%        3 new      23 zero         0.00 | 0.19         
  4       8    6262      26 x 25          7.85%        1 new       7 zero         0.00 | 0.19         
  5     215    6252    4004 x 15203       0.08%       66 new     149 zero         0.08 | 2.73         
  4       9    7332      47 x 51          4.63%        3 new       6 zero         0.00 | 0.26         
  5      94    7360    3307 x 11153       0.10%       17 new      77 zero         0.05 | 1.29         
  5      32    7655     300 x 456         0.81%        9 new      23 zero         0.01 | 0.58         
  6     991    7765   48241 x 195802      0.02%      291 new     700 zero         1.27 | 16.71        
  5     113   10588    3995 x 18118       0.21%       61 new      52 zero         0.16 | 4.78         
  5      48   11220    2324 x 10884       0.27%       22 new      26 zero         0.09 | 2.14         
  5      36   11404     429 x 641         0.61%        7 new      29 zero         0.01 | 0.76         
  5      12   11437      69 x 107         3.45%        4 new       8 zero         0.01 | 0.58         
  5      20   11502     121 x 136         1.96%        3 new      17 zero         0.01 | 0.45         
  5      12   11519      52 x 62          4.19%        3 new       9 zero         0.01 | 0.45         
  5      20   11530      83 x 80          2.80%        1 new      19 zero         0.01 | 0.32         
  6    1343   11521   56377 x 195374      0.04%      500 new     844 zero         2.79 | 47.17        
  4      18   19671      61 x 69          3.47%        5 new      13 zero         0.02 | 0.84         
  4      20   19662      68 x 68          3.57%        4 new      16 zero         0.01 | 0.75         
  4      18   19709      71 x 69          3.59%        2 new      16 zero         0.01 | 0.54         
  5     134   19695    1019 x 2500        0.45%       41 new      93 zero         0.09 | 4.78         
  4       7   19818     109 x 153         2.31%        2 new       5 zero         0.01 | 0.49         
  5     155   19868    1228 x 1730        0.28%       52 new     103 zero         0.11 | 5.96         
  4      11   20353     148 x 222         1.96%        3 new       8 zero         0.01 | 0.64         
  5     189   20437    1270 x 1646        0.29%       26 new     163 zero         0.06 | 3.15         
  5     106   20671     900 x 1157        0.39%       12 new      94 zero         0.04 | 1.73         
  5      20   20781     170 x 193         1.76%        0 new      20 zero         0.01 | 0.32         
  6    1329   20761   70368 x 252667      0.03%      470 new     859 zero         5.24 | 70.87        
  5      75   29827    2568 x 6469        0.16%       32 new      43 zero         0.17 | 5.73         
  5      80   30347    1729 x 3457        0.23%       31 new      49 zero         0.13 | 5.22         
  5      30   30751     937 x 1556        0.40%        5 new      25 zero         0.04 | 1.18         
  6    1335   30821   62152 x 246640      0.03%      297 new    1039 zero         6.34 | 58.76        
  5      90   35628    1753 x 3368        0.28%       18 new      72 zero         0.12 | 3.95         
  5      31   35658     782 x 1696        0.54%       10 new      21 zero         0.06 | 2.35         
  5      25   35550     731 x 1204        0.51%        4 new      21 zero         0.04 | 1.09         
  6     806   35619   26649 x 86973       0.04%      138 new     670 zero         2.69 | 29.68        
  6     400   37294   22663 x 83750       0.04%      103 new     297 zero         2.92 | 24.23        
  6     334   38871   11531 x 24374       0.06%       66 new     268 zero         0.90 | 14.63        
  6     105   39862    4750 x 9641        0.13%       28 new      77 zero         0.40 | 6.71         
  6      54   40626    3410 x 5657        0.15%       11 new      43 zero         0.23 | 2.88         
  6      29   40853    1326 x 2107        0.36%        5 new      24 zero         0.10 | 1.43         
  7   15443   40942
