 N  W|MFb  B1  B2  B3|Phi  g   C|dB2 dB3    N  W|MFb  B1  B2  B3|Phi  g   C|dB2 dB3
 4  2|  3   -   -   4|  4  1   3|  -   2    5  2|  4   -   6   4|  4  0   3|  6   3
 6  2|  5   -   6   5|  5  0   4|  9   4    6  3|  3   -   -   4|  4  1   3|  -   2
 7  2|  6   -   7   6|  6  0   5| 12   5    7  3|  3   -   6   4|  4  1   3|  9   3
 8  2|  7   -   7   7|  7  0   6| 15   6    8  3|  4   -   6   4|  4  0   3|  6   3
 8  4|  3   -   -   4|  4  1   3|  -   2    9  2|  8   -   8   8|  8  0   7| 18   7
 9  3|  4   -   6   5|  5  1   4|  9   4    9  4|  3   -   7   4|  4  1   3| 12   3
10  2|  9   -   9   9|  9  0   8| 21   8   10  3|  5   -   6   5|  5  0   4|  9   4
10  4|  3   -   6   4|  4  1   3|  9   3   10  5|  3   -   -   4|  4  1   3|  -   2
11  2| 10   -  10  10| 10  0   9| 24   9   11  3|  5   -   7   5|  5  0   4| 12   5
11  4|  4   -   6   4|  4  0   3|  6   3   11  5|  3   -   7   4|  4  1   3| 15   3
12  2| 11   -  11  11| 11  0  10| 27  10   12  3|  6   -   7   6|  6  0   5| 12   5
12  4|  4   -   6   5|  5  1   4|  9   4   12  5|  3   -   6   4|  4  1   3|  9   3
12  6|  3   -   -   4|  4  1   3|  -   2   13  2| 12   -  12  12| 12  0  11| 30  11
13  3|  6   -   7   6|  6  0   5| 15   6   13  4|  4   -   6   5|  5  1   4|  9   4
13  5|  3   -   6   4|  4  1   3|  9   3   13  6|  3   -   8   4|  4  1   3| 18   3
14  2| 13   -  13  13| 13  0  12| 33  12   14  3|  7   -   7   7|  7  0   6| 15   6
14  4|  5   -   6   5|  5  0   4|  9   4   14  5|  4   -   6   4|  4  0   3|  6   3
14  6|  3   -   7   4|  4  1   3| 12   3   14  7|  3   -   -   4|  4  1   3|  -   2
15  2| 14   -  14  14| 14  0  13| 36  13   15  3|  7   -   8   7|  7  0   6| 18   7
15  4|  5   -   7   5|  5  0   4| 12   5   15  5|  4   -   6   5|  5  1   4|  9   4
15  6|  3   -   6   4|  4  1   3|  9   3   15  7|  3   -   8   4|  4  1   3| 21   3
16  2| 15   -  15  15| 15  0  14| 39  14   16  3|  8   -   8   8|  8  0   7| 18   7
16  4|  5   -   7   5|  5  0   4| 12   5   16  5|  4   -   6   5|  5  1   4|  9   4
16  6|  3   -   6   4|  4  1   3|  9   3   16  7|  3   -   7   4|  4  1   3| 12   3
16  8|  3   -   -   4|  4  1   3|  -   2   17  2| 16   -  16  16| 16  0  15| 42  15
17  3|  8   -   8   8|  8  0   7| 21   8   17  4|  6   -   7   6|  6  0   5| 12   5
17  5|  4   -   6   5|  5  1   4|  9   4   17  6|  4   8   6   4|  4  0   3|  6   3
17  7|  3   -   6   4|  4  1   3|  9   3   17  8|  3   -   9   4|  4  1   3| 24   3
18  2| 17   -  17  17| 17  0  16| 45  16   18  3|  9   -   9   9|  9  0   8| 21   8
18  4|  6   -   7   6|  6  0   5| 15   6   18  5|  5   -   6   5|  5  0   4|  9   4
18  6|  4   8   6   5|  5  1   4|  9   4   18  7|  3   -   6   4|  4  1   3|  9   3
18  8|  3   -   7   4|  4  1   3| 15   3   18  9|  3   -   -   4|  4  1   3|  -   2
19  2| 18   -  18  18| 18  0  17| 48  17   19  3|  9   -   9   9|  9  0   8| 24   9
19  4|  6   -   7   6|  6  0   5| 15   6   19  5|  5   -   7   5|  5  0   4| 12   5
19  6|  4   8   6   5|  5  1   4|  9   4   19  7|  3   -   6   4|  4  1   3|  9   3
19  8|  3   -   7   4|  4  1   3| 12   3   19  9|  3   -   9   4|  4  1   3| 27   3
20  2| 19   -  19  19| 19  0  18| 51  18   20  3| 10   -  10  10| 10  0   9| 24   9
20  4|  7   -   7   7|  7  0   6| 15   6   20  5|  5   -   7   5|  5  0   4| 12   5
20  6|  4   9   6   5|  5  1   4|  9   4   20  7|  4   -   6   4|  4  0   3|  6   3
20  8|  3   6   6   4|  4  1   3|  9   3   20  9|  3   -   7   4|  4  1   3| 15   3
20 10|  3   -   -   4|  4  1   3|  -   2
```
