index	X_power	W_power	leading_X	leading_W	normalization	diagonal	lower_entries	literal_coefficient_terms
0	2	0	1	1	-1/2	1	1	1
1	1	0	0	1	-1/2	1	2	2
2	2	1	1	2	-1/4	1	3	3
3	1	1	0	2	-1/4	1	3	3
4	3	2	2	3	-1/6	1	5	5
5	2	2	1	3	-1/6	1	5	5
6	1	2	0	3	-1/6	1	6	6
7	3	3	2	4	-1/8	1	7	7
8	2	3	1	4	-1/8	1	9	9
9	1	3	0	4	-1/8	1	8	8
10	3	4	2	5	-1/10	1	11	11
11	2	4	1	5	-1/10	1	12	12
12	1	4	0	5	-1/10	1	12	12
13	4	5	3	6	-1/12	1	14	14
14	3	5	2	6	-1/12	1	14	14
15	2	5	1	6	-1/12	1	13	13
16	1	5	0	6	-1/12	1	14	14
17	4	6	3	7	-1/14	1	18	18
18	3	6	2	7	-1/14	1	19	19
19	2	6	1	7	-1/14	1	19	19
20	1	6	0	7	-1/14	1	18	18
21	4	7	3	8	-1/16	1	22	22
22	3	7	2	8	-1/16	1	20	20
23	2	7	1	8	-1/16	1	23	23
24	1	7	0	8	-1/16	1	20	20
25	4	8	3	9	-1/18	1	26	29
26	3	8	2	9	-1/18	1	27	27
27	2	8	1	9	-1/18	1	25	25
28	1	8	0	9	-1/18	1	24	24
29	5	9	4	10	-1/20	1	30	33
30	4	9	3	10	-1/20	1	29	31
31	3	9	2	10	-1/20	1	30	33
32	2	9	1	10	-1/20	1	31	31
33	1	9	0	10	-1/20	1	26	26
34	5	10	4	11	-1/22	1	35	38
35	4	10	3	11	-1/22	1	36	39
36	3	10	2	11	-1/22	1	36	39
37	2	10	1	11	-1/22	1	35	35
38	1	10	0	11	-1/22	1	30	30
39	5	11	4	12	-1/24	1	38	43
40	4	11	3	12	-1/24	1	41	44
41	3	11	2	12	-1/24	1	38	41
42	2	11	1	12	-1/24	1	37	37
43	1	11	0	12	-1/24	1	32	32
44	6	12	5	13	-1/26	1	45	51
45	5	12	4	13	-1/26	1	46	52
46	4	12	3	13	-1/26	1	46	52
47	3	12	2	13	-1/26	1	46	49
48	2	12	1	13	-1/26	1	43	43
49	1	12	0	13	-1/26	1	36	36
50	6	13	5	14	-1/28	1	49	54
51	5	13	4	14	-1/28	1	51	57
52	4	13	3	14	-1/28	1	52	58
53	3	13	2	14	-1/28	1	50	53
54	2	13	1	14	-1/28	1	47	47
55	1	13	0	14	-1/28	1	38	38
56	6	14	5	15	-1/30	1	57	66
57	5	14	4	15	-1/30	1	56	62
58	4	14	3	15	-1/30	1	54	60
59	3	14	2	15	-1/30	1	56	59
60	2	14	1	15	-1/30	1	49	49
61	1	14	0	15	-1/30	1	42	42
62	7	15	6	16	-1/32	1	61	69
63	6	15	5	16	-1/32	1	64	73
64	5	15	4	16	-1/32	1	63	72
65	4	15	3	16	-1/32	1	64	70
66	3	15	2	16	-1/32	1	58	61
67	2	15	1	16	-1/32	1	55	55
68	1	15	0	16	-1/32	1	44	44
69	7	16	6	17	-1/34	1	70	79
70	6	16	5	17	-1/34	1	71	80
71	5	16	4	17	-1/34	1	71	80
72	4	16	3	17	-1/34	1	70	76
73	3	16	2	17	-1/34	1	66	69
74	2	16	1	17	-1/34	1	59	59
75	1	16	0	17	-1/34	1	48	48
76	7	17	6	18	-1/36	1	77	86
