source_index|h_power|x_power|y_power|expr
0|0|0|0|-A1_0_0+auxP1_0_0-h_0_0
1|0|0|1|-A1_0_1+auxP1_0_1-h_0_1
2|0|0|2|-A1_0_2+auxP1_0_2-h_0_2
3|0|0|3|-A1_0_3+auxP1_0_3-h_0_3
4|0|0|4|-A1_0_4+auxP1_0_4-h_0_4
5|0|0|5|-A1_0_5+auxP1_0_5-h_0_5
6|0|0|6|-A1_0_6+auxP1_0_6-h_0_6
7|0|0|7|-A1_0_7+auxP1_0_7-h_0_7
8|0|1|5|-A1_1_5+auxP1_1_5-h_1_5
9|0|1|6|-A1_1_6+auxP1_1_6-h_1_6
10|0|1|7|-A1_1_7+auxP1_1_7-h_1_7
11|0|0|0|-A2_0_0-auxP1_0_0*h_0_0+auxP2_0_0
12|0|0|1|-A2_0_1-auxP1_0_0*h_0_1-auxP1_0_1*h_0_0+auxP2_0_1
13|0|0|2|-A2_0_2-auxP1_0_0*h_0_2-auxP1_0_1*h_0_1-auxP1_0_2*h_0_0+auxP2_0_2
14|0|0|3|-A2_0_3-auxP1_0_0*h_0_3-auxP1_0_1*h_0_2-auxP1_0_2*h_0_1-auxP1_0_3*h_0_0+auxP2_0_3
15|0|0|4|-A2_0_4-auxP1_0_0*h_0_4-auxP1_0_1*h_0_3-auxP1_0_2*h_0_2-auxP1_0_3*h_0_1-auxP1_0_4*h_0_0+auxP2_0_4
16|0|0|5|-A2_0_5-auxP1_0_0*h_0_5-auxP1_0_1*h_0_4-auxP1_0_2*h_0_3-auxP1_0_3*h_0_2-auxP1_0_4*h_0_1-auxP1_0_5*h_0_0+auxP2_0_5
17|0|0|6|-A2_0_6-auxP1_0_0*h_0_6-auxP1_0_1*h_0_5-auxP1_0_2*h_0_4-auxP1_0_3*h_0_3-auxP1_0_4*h_0_2-auxP1_0_5*h_0_1-auxP1_0_6*h_0_0+auxP2_0_6
18|0|0|7|-A2_0_7-auxP1_0_0*h_0_7-auxP1_0_1*h_0_6-auxP1_0_2*h_0_5-auxP1_0_3*h_0_4-auxP1_0_4*h_0_3-auxP1_0_5*h_0_2-auxP1_0_6*h_0_1-auxP1_0_7*h_0_0+auxP2_0_7
19|0|0|8|-auxP1_0_0-auxP1_0_1*h_0_7-auxP1_0_2*h_0_6-auxP1_0_3*h_0_5-auxP1_0_4*h_0_4-auxP1_0_5*h_0_3-auxP1_0_6*h_0_2-auxP1_0_7*h_0_1+auxP2_0_8-h_0_0
20|0|0|9|-auxP1_0_1-auxP1_0_2*h_0_7-auxP1_0_3*h_0_6-auxP1_0_4*h_0_5-auxP1_0_5*h_0_4-auxP1_0_6*h_0_3-auxP1_0_7*h_0_2+auxP2_0_9-h_0_1
21|0|0|10|-auxP1_0_2-auxP1_0_3*h_0_7-auxP1_0_4*h_0_6-auxP1_0_5*h_0_5-auxP1_0_6*h_0_4-auxP1_0_7*h_0_3+auxP2_0_10-h_0_2
22|0|0|11|-auxP1_0_3-auxP1_0_4*h_0_7-auxP1_0_5*h_0_6-auxP1_0_6*h_0_5-auxP1_0_7*h_0_4+auxP2_0_11-h_0_3
23|0|0|12|-auxP1_0_4-auxP1_0_5*h_0_7-auxP1_0_6*h_0_6-auxP1_0_7*h_0_5+auxP2_0_12-h_0_4
24|0|0|13|-auxP1_0_5-auxP1_0_6*h_0_7-auxP1_0_7*h_0_6+auxP2_0_13-h_0_5
25|0|0|14|-auxP1_0_6-auxP1_0_7*h_0_7+auxP2_0_14-h_0_6
26|0|0|15|-auxP1_0_7+auxP2_0_15-h_0_7
27|0|1|5|-A2_1_5-auxP1_0_0*h_1_5-auxP1_1_5*h_0_0+auxP2_1_5
28|0|1|6|-A2_1_6-auxP1_0_0*h_1_6-auxP1_0_1*h_1_5-auxP1_1_5*h_0_1-auxP1_1_6*h_0_0+auxP2_1_6
29|0|1|7|-A2_1_7-auxP1_0_0*h_1_7-auxP1_0_1*h_1_6-auxP1_0_2*h_1_5-auxP1_1_5*h_0_2-auxP1_1_6*h_0_1-auxP1_1_7*h_0_0+auxP2_1_7
30|0|1|8|-auxP1_0_1*h_1_7-auxP1_0_2*h_1_6-auxP1_0_3*h_1_5-auxP1_1_5*h_0_3-auxP1_1_6*h_0_2-auxP1_1_7*h_0_1+auxP2_1_8
31|0|1|9|-auxP1_0_2*h_1_7-auxP1_0_3*h_1_6-auxP1_0_4*h_1_5-auxP1_1_5*h_0_4-auxP1_1_6*h_0_3-auxP1_1_7*h_0_2+auxP2_1_9
32|0|1|10|-auxP1_0_3*h_1_7-auxP1_0_4*h_1_6-auxP1_0_5*h_1_5-auxP1_1_5*h_0_5-auxP1_1_6*h_0_4-auxP1_1_7*h_0_3+auxP2_1_10
33|0|1|11|-auxP1_0_4*h_1_7-auxP1_0_5*h_1_6-auxP1_0_6*h_1_5-auxP1_1_5*h_0_6-auxP1_1_6*h_0_5-auxP1_1_7*h_0_4+auxP2_1_11
34|0|1|12|-auxP1_0_5*h_1_7-auxP1_0_6*h_1_6-auxP1_0_7*h_1_5-auxP1_1_5*h_0_7-auxP1_1_6*h_0_6-auxP1_1_7*h_0_5+auxP2_1_12
35|0|1|13|-auxP1_0_6*h_1_7-auxP1_0_7*h_1_6-auxP1_1_5-auxP1_1_6*h_0_7-auxP1_1_7*h_0_6+auxP2_1_13-h_1_5
36|0|1|14|-auxP1_0_7*h_1_7-auxP1_1_6-auxP1_1_7*h_0_7+auxP2_1_14-h_1_6
37|0|1|15|-auxP1_1_7+auxP2_1_15-h_1_7
38|0|2|10|-auxP1_1_5*h_1_5+auxP2_2_10
39|0|2|11|-auxP1_1_5*h_1_6-auxP1_1_6*h_1_5+auxP2_2_11
40|0|2|12|-auxP1_1_5*h_1_7-auxP1_1_6*h_1_6-auxP1_1_7*h_1_5+auxP2_2_12
41|0|2|13|-auxP1_1_6*h_1_7-auxP1_1_7*h_1_6+auxP2_2_13
42|0|2|14|-auxP1_1_7*h_1_7+auxP2_2_14
43|0|0|0|-auxP2_0_0*h_0_0+auxP3_0_0
44|0|0|1|-A3_0_1-auxP2_0_0*h_0_1-auxP2_0_1*h_0_0+auxP3_0_1
45|0|0|2|-A3_0_2-auxP2_0_0*h_0_2-auxP2_0_1*h_0_1-auxP2_0_2*h_0_0+auxP3_0_2
46|0|0|3|-A3_0_3-auxP2_0_0*h_0_3-auxP2_0_1*h_0_2-auxP2_0_2*h_0_1-auxP2_0_3*h_0_0+auxP3_0_3
47|0|0|4|-A3_0_4-auxP2_0_0*h_0_4-auxP2_0_1*h_0_3-auxP2_0_2*h_0_2-auxP2_0_3*h_0_1-auxP2_0_4*h_0_0+auxP3_0_4
48|0|0|5|-A3_0_5-auxP2_0_0*h_0_5-auxP2_0_1*h_0_4-auxP2_0_2*h_0_3-auxP2_0_3*h_0_2-auxP2_0_4*h_0_1-auxP2_0_5*h_0_0+auxP3_0_5
49|0|0|6|-A3_0_6-auxP2_0_0*h_0_6-auxP2_0_1*h_0_5-auxP2_0_2*h_0_4-auxP2_0_3*h_0_3-auxP2_0_4*h_0_2-auxP2_0_5*h_0_1-auxP2_0_6*h_0_0+auxP3_0_6
