source_index|h_power|x_power|y_power|expr
0|0|0|0|-A1_0_0+auxP1_0_0-h_0_0
1|0|0|1|-A1_0_1+auxP1_0_1-h_0_1
2|0|0|2|-A1_0_2+auxP1_0_2-h_0_2
3|0|0|3|-A1_0_3+auxP1_0_3-h_0_3
4|0|0|4|-A1_0_4+auxP1_0_4-h_0_4
5|0|0|5|-A1_0_5+auxP1_0_5-h_0_5
6|0|1|0|-A1_1_0+auxP1_1_0-h_1_0
7|0|1|1|-A1_1_1+auxP1_1_1-h_1_1
8|0|0|0|-A2_0_0-auxP1_0_0*h_0_0+auxP2_0_0
9|0|0|1|-A2_0_1-auxP1_0_0*h_0_1-auxP1_0_1*h_0_0+auxP2_0_1
10|0|0|2|-A2_0_2-auxP1_0_0*h_0_2-auxP1_0_1*h_0_1-auxP1_0_2*h_0_0+auxP2_0_2
11|0|0|3|-A2_0_3-auxP1_0_0*h_0_3-auxP1_0_1*h_0_2-auxP1_0_2*h_0_1-auxP1_0_3*h_0_0+auxP2_0_3
12|0|0|4|-A2_0_4-auxP1_0_0*h_0_4-auxP1_0_1*h_0_3-auxP1_0_2*h_0_2-auxP1_0_3*h_0_1-auxP1_0_4*h_0_0+auxP2_0_4
13|0|0|5|-A2_0_5-auxP1_0_0*h_0_5-auxP1_0_1*h_0_4-auxP1_0_2*h_0_3-auxP1_0_3*h_0_2-auxP1_0_4*h_0_1-auxP1_0_5*h_0_0+auxP2_0_5
14|0|0|6|-auxP1_0_0-auxP1_0_1*h_0_5-auxP1_0_2*h_0_4-auxP1_0_3*h_0_3-auxP1_0_4*h_0_2-auxP1_0_5*h_0_1+auxP2_0_6-h_0_0
15|0|0|7|-auxP1_0_1-auxP1_0_2*h_0_5-auxP1_0_3*h_0_4-auxP1_0_4*h_0_3-auxP1_0_5*h_0_2+auxP2_0_7-h_0_1
16|0|0|8|-auxP1_0_2-auxP1_0_3*h_0_5-auxP1_0_4*h_0_4-auxP1_0_5*h_0_3+auxP2_0_8-h_0_2
17|0|0|9|-auxP1_0_3-auxP1_0_4*h_0_5-auxP1_0_5*h_0_4+auxP2_0_9-h_0_3
18|0|0|10|-auxP1_0_4-auxP1_0_5*h_0_5+auxP2_0_10-h_0_4
19|0|0|11|-auxP1_0_5+auxP2_0_11-h_0_5
20|0|1|0|-A2_1_0-auxP1_0_0*h_1_0-auxP1_1_0*h_0_0+auxP2_1_0
21|0|1|1|-A2_1_1-auxP1_0_0*h_1_1-auxP1_0_1*h_1_0-auxP1_1_0*h_0_1-auxP1_1_1*h_0_0+auxP2_1_1
22|0|1|2|-A2_1_2-auxP1_0_1*h_1_1-auxP1_0_2*h_1_0-auxP1_1_0*h_0_2-auxP1_1_1*h_0_1+auxP2_1_2
23|0|1|3|-A2_1_3-auxP1_0_2*h_1_1-auxP1_0_3*h_1_0-auxP1_1_0*h_0_3-auxP1_1_1*h_0_2+auxP2_1_3
24|0|1|4|-A2_1_4-auxP1_0_3*h_1_1-auxP1_0_4*h_1_0-auxP1_1_0*h_0_4-auxP1_1_1*h_0_3+auxP2_1_4
25|0|1|5|-A2_1_5-auxP1_0_4*h_1_1-auxP1_0_5*h_1_0-auxP1_1_0*h_0_5-auxP1_1_1*h_0_4+auxP2_1_5
26|0|1|6|-auxP1_0_5*h_1_1-auxP1_1_0-auxP1_1_1*h_0_5+auxP2_1_6-h_1_0
27|0|1|7|-auxP1_1_1+auxP2_1_7-h_1_1
28|0|2|0|-A2_2_0-auxP1_1_0*h_1_0+auxP2_2_0
29|0|2|1|-A2_2_1-auxP1_1_0*h_1_1-auxP1_1_1*h_1_0+auxP2_2_1
30|0|2|2|-A2_2_2-auxP1_1_1*h_1_1+auxP2_2_2
31|0|0|0|-A3_0_0-auxP2_0_0*h_0_0+auxP3_0_0
32|0|0|1|-A3_0_1-auxP2_0_0*h_0_1-auxP2_0_1*h_0_0+auxP3_0_1
33|0|0|2|-A3_0_2-auxP2_0_0*h_0_2-auxP2_0_1*h_0_1-auxP2_0_2*h_0_0+auxP3_0_2
34|0|0|3|-A3_0_3-auxP2_0_0*h_0_3-auxP2_0_1*h_0_2-auxP2_0_2*h_0_1-auxP2_0_3*h_0_0+auxP3_0_3
35|0|0|4|-A3_0_4-auxP2_0_0*h_0_4-auxP2_0_1*h_0_3-auxP2_0_2*h_0_2-auxP2_0_3*h_0_1-auxP2_0_4*h_0_0+auxP3_0_4
36|0|0|5|-A3_0_5-auxP2_0_0*h_0_5-auxP2_0_1*h_0_4-auxP2_0_2*h_0_3-auxP2_0_3*h_0_2-auxP2_0_4*h_0_1-auxP2_0_5*h_0_0+auxP3_0_5
37|0|0|6|-auxP2_0_0-auxP2_0_1*h_0_5-auxP2_0_2*h_0_4-auxP2_0_3*h_0_3-auxP2_0_4*h_0_2-auxP2_0_5*h_0_1-auxP2_0_6*h_0_0+auxP3_0_6
38|0|0|7|-auxP2_0_1-auxP2_0_2*h_0_5-auxP2_0_3*h_0_4-auxP2_0_4*h_0_3-auxP2_0_5*h_0_2-auxP2_0_6*h_0_1-auxP2_0_7*h_0_0+auxP3_0_7
39|0|0|8|-auxP2_0_2-auxP2_0_3*h_0_5-auxP2_0_4*h_0_4-auxP2_0_5*h_0_3-auxP2_0_6*h_0_2-auxP2_0_7*h_0_1-auxP2_0_8*h_0_0+auxP3_0_8
40|0|0|9|-auxP2_0_3-auxP2_0_4*h_0_5-auxP2_0_5*h_0_4-auxP2_0_6*h_0_3-auxP2_0_7*h_0_2-auxP2_0_8*h_0_1-auxP2_0_9*h_0_0+auxP3_0_9
41|0|0|10|-auxP2_0_10*h_0_0-auxP2_0_4-auxP2_0_5*h_0_5-auxP2_0_6*h_0_4-auxP2_0_7*h_0_3-auxP2_0_8*h_0_2-auxP2_0_9*h_0_1+auxP3_0_10
42|0|0|11|-auxP2_0_10*h_0_1-auxP2_0_11*h_0_0-auxP2_0_5-auxP2_0_6*h_0_5-auxP2_0_7*h_0_4-auxP2_0_8*h_0_3-auxP2_0_9*h_0_2+auxP3_0_11
43|0|0|12|-auxP2_0_10*h_0_2-auxP2_0_11*h_0_1-auxP2_0_6-auxP2_0_7*h_0_5-auxP2_0_8*h_0_4-auxP2_0_9*h_0_3+auxP3_0_12-h_0_0
44|0|0|13|-auxP2_0_10*h_0_3-auxP2_0_11*h_0_2-auxP2_0_7-auxP2_0_8*h_0_5-auxP2_0_9*h_0_4+auxP3_0_13-h_0_1
45|0|0|14|-auxP2_0_10*h_0_4-auxP2_0_11*h_0_3-auxP2_0_8-auxP2_0_9*h_0_5+auxP3_0_14-h_0_2
46|0|0|15|-auxP2_0_10*h_0_5-auxP2_0_11*h_0_4-auxP2_0_9+auxP3_0_15-h_0_3
47|0|0|16|-auxP2_0_10-auxP2_0_11*h_0_5+auxP3_0_16-h_0_4
48|0|0|17|-auxP2_0_11+auxP3_0_17-h_0_5
49|0|1|0|-A3_1_0-auxP2_0_0*h_1_0-auxP2_1_0*h_0_0+auxP3_1_0
50|0|1|1|-A3_1_1-auxP2_0_0*h_1_1-auxP2_0_1*h_1_0-auxP2_1_0*h_0_1-auxP2_1_1*h_0_0+auxP3_1_1
