source_index|h_power|x_power|y_power|expr
0|0|0|0|-A1_0_0+auxP1_0_0-h_0_0
1|0|0|1|-A1_0_1+auxP1_0_1-h_0_1
2|0|0|2|-A1_0_2+auxP1_0_2-h_0_2
3|0|0|3|-A1_0_3+auxP1_0_3-h_0_3
4|0|0|4|-A1_0_4+auxP1_0_4-h_0_4
5|0|0|5|-A1_0_5+auxP1_0_5-h_0_5
6|0|1|0|-A1_1_0+auxP1_1_0-h_1_0
7|0|1|1|-A1_1_1+auxP1_1_1-h_1_1
8|0|1|2|-A1_1_2+auxP1_1_2-h_1_2
9|0|1|3|-A1_1_3+auxP1_1_3-h_1_3
10|0|1|4|-A1_1_4+auxP1_1_4-h_1_4
11|0|2|0|-A1_2_0+auxP1_2_0-h_2_0
12|0|0|0|-A2_0_0-auxP1_0_0*h_0_0+auxP2_0_0
13|0|0|1|-A2_0_1-auxP1_0_0*h_0_1-auxP1_0_1*h_0_0+auxP2_0_1
14|0|0|2|-A2_0_2-auxP1_0_0*h_0_2-auxP1_0_1*h_0_1-auxP1_0_2*h_0_0+auxP2_0_2
15|0|0|3|-A2_0_3-auxP1_0_0*h_0_3-auxP1_0_1*h_0_2-auxP1_0_2*h_0_1-auxP1_0_3*h_0_0+auxP2_0_3
16|0|0|4|-A2_0_4-auxP1_0_0*h_0_4-auxP1_0_1*h_0_3-auxP1_0_2*h_0_2-auxP1_0_3*h_0_1-auxP1_0_4*h_0_0+auxP2_0_4
17|0|0|5|-A2_0_5-auxP1_0_0*h_0_5-auxP1_0_1*h_0_4-auxP1_0_2*h_0_3-auxP1_0_3*h_0_2-auxP1_0_4*h_0_1-auxP1_0_5*h_0_0+auxP2_0_5
18|0|0|6|-auxP1_0_0-auxP1_0_1*h_0_5-auxP1_0_2*h_0_4-auxP1_0_3*h_0_3-auxP1_0_4*h_0_2-auxP1_0_5*h_0_1+auxP2_0_6-h_0_0
19|0|0|7|-auxP1_0_1-auxP1_0_2*h_0_5-auxP1_0_3*h_0_4-auxP1_0_4*h_0_3-auxP1_0_5*h_0_2+auxP2_0_7-h_0_1
20|0|0|8|-auxP1_0_2-auxP1_0_3*h_0_5-auxP1_0_4*h_0_4-auxP1_0_5*h_0_3+auxP2_0_8-h_0_2
21|0|0|9|-auxP1_0_3-auxP1_0_4*h_0_5-auxP1_0_5*h_0_4+auxP2_0_9-h_0_3
22|0|0|10|-auxP1_0_4-auxP1_0_5*h_0_5+auxP2_0_10-h_0_4
23|0|0|11|-auxP1_0_5+auxP2_0_11-h_0_5
24|0|1|0|-A2_1_0-auxP1_0_0*h_1_0-auxP1_1_0*h_0_0+auxP2_1_0
25|0|1|1|-A2_1_1-auxP1_0_0*h_1_1-auxP1_0_1*h_1_0-auxP1_1_0*h_0_1-auxP1_1_1*h_0_0+auxP2_1_1
26|0|1|2|-A2_1_2-auxP1_0_0*h_1_2-auxP1_0_1*h_1_1-auxP1_0_2*h_1_0-auxP1_1_0*h_0_2-auxP1_1_1*h_0_1-auxP1_1_2*h_0_0+auxP2_1_2
27|0|1|3|-A2_1_3-auxP1_0_0*h_1_3-auxP1_0_1*h_1_2-auxP1_0_2*h_1_1-auxP1_0_3*h_1_0-auxP1_1_0*h_0_3-auxP1_1_1*h_0_2-auxP1_1_2*h_0_1-auxP1_1_3*h_0_0+auxP2_1_3
28|0|1|4|-A2_1_4-auxP1_0_0*h_1_4-auxP1_0_1*h_1_3-auxP1_0_2*h_1_2-auxP1_0_3*h_1_1-auxP1_0_4*h_1_0-auxP1_1_0*h_0_4-auxP1_1_1*h_0_3-auxP1_1_2*h_0_2-auxP1_1_3*h_0_1-auxP1_1_4*h_0_0+auxP2_1_4
29|0|1|5|-A2_1_5-auxP1_0_1*h_1_4-auxP1_0_2*h_1_3-auxP1_0_3*h_1_2-auxP1_0_4*h_1_1-auxP1_0_5*h_1_0-auxP1_1_0*h_0_5-auxP1_1_1*h_0_4-auxP1_1_2*h_0_3-auxP1_1_3*h_0_2-auxP1_1_4*h_0_1+auxP2_1_5
30|0|1|6|-auxP1_0_2*h_1_4-auxP1_0_3*h_1_3-auxP1_0_4*h_1_2-auxP1_0_5*h_1_1-auxP1_1_0-auxP1_1_1*h_0_5-auxP1_1_2*h_0_4-auxP1_1_3*h_0_3-auxP1_1_4*h_0_2+auxP2_1_6-h_1_0
31|0|1|7|-auxP1_0_3*h_1_4-auxP1_0_4*h_1_3-auxP1_0_5*h_1_2-auxP1_1_1-auxP1_1_2*h_0_5-auxP1_1_3*h_0_4-auxP1_1_4*h_0_3+auxP2_1_7-h_1_1
32|0|1|8|-auxP1_0_4*h_1_4-auxP1_0_5*h_1_3-auxP1_1_2-auxP1_1_3*h_0_5-auxP1_1_4*h_0_4+auxP2_1_8-h_1_2
33|0|1|9|-auxP1_0_5*h_1_4-auxP1_1_3-auxP1_1_4*h_0_5+auxP2_1_9-h_1_3
34|0|1|10|-auxP1_1_4+auxP2_1_10-h_1_4
35|0|2|0|-A2_2_0-auxP1_0_0*h_2_0-auxP1_1_0*h_1_0-auxP1_2_0*h_0_0+auxP2_2_0
36|0|2|1|-A2_2_1-auxP1_0_1*h_2_0-auxP1_1_0*h_1_1-auxP1_1_1*h_1_0-auxP1_2_0*h_0_1+auxP2_2_1
37|0|2|2|-A2_2_2-auxP1_0_2*h_2_0-auxP1_1_0*h_1_2-auxP1_1_1*h_1_1-auxP1_1_2*h_1_0-auxP1_2_0*h_0_2+auxP2_2_2
38|0|2|3|-A2_2_3-auxP1_0_3*h_2_0-auxP1_1_0*h_1_3-auxP1_1_1*h_1_2-auxP1_1_2*h_1_1-auxP1_1_3*h_1_0-auxP1_2_0*h_0_3+auxP2_2_3
39|0|2|4|-A2_2_4-auxP1_0_4*h_2_0-auxP1_1_0*h_1_4-auxP1_1_1*h_1_3-auxP1_1_2*h_1_2-auxP1_1_3*h_1_1-auxP1_1_4*h_1_0-auxP1_2_0*h_0_4+auxP2_2_4
40|0|2|5|-A2_2_5-auxP1_0_5*h_2_0-auxP1_1_1*h_1_4-auxP1_1_2*h_1_3-auxP1_1_3*h_1_2-auxP1_1_4*h_1_1-auxP1_2_0*h_0_5+auxP2_2_5
41|0|2|6|-auxP1_1_2*h_1_4-auxP1_1_3*h_1_3-auxP1_1_4*h_1_2-auxP1_2_0+auxP2_2_6-h_2_0
42|0|2|7|-auxP1_1_3*h_1_4-auxP1_1_4*h_1_3+auxP2_2_7
43|0|2|8|-auxP1_1_4*h_1_4+auxP2_2_8
44|0|3|0|-A2_3_0-auxP1_1_0*h_2_0-auxP1_2_0*h_1_0+auxP2_3_0
45|0|3|1|-A2_3_1-auxP1_1_1*h_2_0-auxP1_2_0*h_1_1+auxP2_3_1
46|0|3|2|-A2_3_2-auxP1_1_2*h_2_0-auxP1_2_0*h_1_2+auxP2_3_2
47|0|3|3|-A2_3_3-auxP1_1_3*h_2_0-auxP1_2_0*h_1_3+auxP2_3_3
48|0|3|4|-A2_3_4-auxP1_1_4*h_2_0-auxP1_2_0*h_1_4+auxP2_3_4
49|0|4|0|-A2_4_0-auxP1_2_0*h_2_0+auxP2_4_0
50|0|0|0|-auxP2_0_0*h_0_0+auxP3_0_0
