row_id	n	m	gcd	n1	m1	semigroup	genus	n_prime	m_prime	n1_prime	m1_prime	parent_eq_child	Weierstrass_32
R001	84	56	28	3	2	<3,2>	1	21	14	3	2	1	1
R002	75	50	25	3	2	<3,2>	1	15	10	3	2	1	1
R003	75	50	25	3	2	<3,2>	1	15	10	3	2	1	1
R004	64	48	16	4	3	<4,3>	3	16	12	4	3	1	0
R005	135	90	45	3	2	<3,2>	1	27	18	3	2	1	1
R006	156	104	52	3	2	<3,2>	1	39	26	3	2	1	1
R007	84	56	28	3	2	<3,2>	1	21	14	3	2	1	1
R008	147	98	49	3	2	<3,2>	1	21	14	3	2	1	1
R009	192	128	64	3	2	<3,2>	1	48	32	3	2	1	1
R010	140	56	28	5	2	<5,2>	2	35	14	5	2	1	0
R011	140	84	28	5	3	<5,3>	4	35	21	5	3	1	0
R012	108	72	36	3	2	<3,2>	1	24	16	3	2	1	1
R013	192	128	64	3	2	<3,2>	1	24	16	3	2	1	1
R014	125	75	25	5	3	<5,3>	4	25	15	5	3	1	0
R015	99	66	33	3	2	<3,2>	1	27	18	3	2	1	1
R016	168	112	56	3	2	<3,2>	1	48	32	3	2	1	1
R017	112	80	16	7	5	<7,5>	12	28	20	7	5	1	0
R018	126	84	42	3	2	<3,2>	1	21	14	3	2	1	1
R019	168	112	56	3	2	<3,2>	1	42	28	3	2	1	1
R020	168	112	56	3	2	<3,2>	1	42	28	3	2	1	1
R021	168	112	56	3	2	<3,2>	1	42	28	3	2	1	1
R022	150	100	50	3	2	<3,2>	1	30	20	3	2	1	1
R023	165	110	55	3	2	<3,2>	1	30	20	3	2	1	1
R024	165	110	55	3	2	<3,2>	1	30	20	3	2	1	1
R025	180	120	60	3	2	<3,2>	1	30	20	3	2	1	1
R026	180	120	60	3	2	<3,2>	1	30	20	3	2	1	1
R027	180	120	60	3	2	<3,2>	1	30	20	3	2	1	1
R028	180	120	60	3	2	<3,2>	1	30	20	3	2	1	1
R029	168	112	56	3	2	<3,2>	1	63	42	3	2	1	1
R030	180	144	36	5	4	<5,4>	6	30	24	5	4	1	0
R031	132	88	44	3	2	<3,2>	1	33	22	3	2	1	1
R032	196	112	28	7	4	<7,4>	9	49	28	7	4	1	0
R033	196	112	28	7	4	<7,4>	9	49	28	7	4	1	0
R034	128	96	32	4	3	<4,3>	3	32	24	4	3	1	0
R035	144	108	36	4	3	<4,3>	3	32	24	4	3	1	0
R036	175	100	25	7	4	<7,4>	9	35	20	7	4	1	0
R037	175	125	25	7	5	<7,5>	12	35	25	7	5	1	0
R038	135	90	45	3	2	<3,2>	1	36	24	3	2	1	1
R039	144	96	48	3	2	<3,2>	1	36	24	3	2	1	1
R040	144	96	48	3	2	<3,2>	1	36	24	3	2	1	1
R041	144	96	48	3	2	<3,2>	1	36	24	3	2	1	1
R042	144	96	48	3	2	<3,2>	1	36	24	3	2	1	1
R043	168	112	56	3	2	<3,2>	1	36	24	3	2	1	1
R044	147	42	21	7	2	<7,2>	3	42	12	7	2	1	0
R045	147	63	21	7	3	<7,3>	6	42	18	7	3	1	0
R046	160	112	16	10	7	<10,7>	27	40	28	10	7	1	0
R047	200	150	50	4	3	<4,3>	3	40	30	4	3	1	0
R048	200	150	50	4	3	<4,3>	3	40	30	4	3	1	0
R049	189	126	63	3	2	<3,2>	1	42	28	3	2	1	1
R050	196	56	28	7	2	<7,2>	3	49	14	7	2	1	0
R051	180	144	36	5	4	<5,4>	6	40	32	5	4	1	0
R052	165	99	33	5	3	<5,3>	4	45	27	5	3	1	0
R053	200	150	50	4	3	<4,3>	3	60	45	4	3	1	0
R054	175	70	35	5	2	<5,2>	2	50	20	5	2	1	0
R055	171	114	57	3	2	<3,2>	1	45	30	3	2	1	1
R056	180	120	60	3	2	<3,2>	1	45	30	3	2	1	1
R057	192	144	48	4	3	<4,3>	3	32	24	4	3	1	0
R058	192	144	48	4	3	<4,3>	3	32	24	4	3	1	0
R059	192	128	64	3	2	<3,2>	1	48	32	3	2	1	1
R060	192	128	64	3	2	<3,2>	1	48	32	3	2	1	1
R061	200	120	40	5	3	<5,3>	4	50	30	5	3	1	0
R062	180	135	45	4	3	<4,3>	3	48	36	4	3	1	0
R063	168	112	56	3	2	<3,2>	1	42	28	3	2	1	1
R064	180	120	60	3	2	<3,2>	1	45	30	3	2	1	1
R065	180	120	60	3	2	<3,2>	1	45	30	3	2	1	1
R066	162	108	54	3	2	<3,2>	1	36	24	3	2	1	1
