source_index|h_power|x_power|y_power|expr
0|0|3|2|(-2*s2^2*A3_3*B2_1+3*s2*A2_1*B2_0-3*s2*A2_1*B2_2-3*s2*A2_3*B2_0+3*s2*A2_3*B2_2)
1|0|2|3|(-s2^2*A2_1*B2_0+2*s2^2*A3_3*B2_1-s2*A2_1*B2_0+2*s2*A2_1*B2_2+2*s2*A2_3*B2_0-4*s2*A2_3*B2_2+2*s2*A3_3*B2_1-4*A2_1*B2_0+4*A2_1*B2_2+4*A2_3*B2_0-4*A2_3*B2_2)
2|0|2|2|(-b4*s2*A2_2*B2_0+b4*s2*A2_2*B2_2-3*s2*A2_0*B2_0+3*s2*A2_0*B2_2)
3|0|2|1|(2*b5*s2*A2_1*B2_1+3*b5*s2*A2_2*B2_0-3*b5*s2*A2_2*B2_2-2*b5*s2*A2_3*B2_1+2*s2*A3_0*B2_1-2*s2*A3_1*B2_0+2*s2*A3_1*B2_2-2*s2*A3_2*B2_1)
4|0|2|0|(-s2*A3_3*B2_0+s2*A3_3*B2_2-c)
5|0|1|4|(s2^2*A2_1*B2_0-2*s2*A2_1*B2_0+s2*A2_1*B2_2+s2*A2_3*B2_0-2*s2*A3_3*B2_1+4*A2_1*B2_0-4*A2_1*B2_2-4*A2_3*B2_0+5*A2_3*B2_2)
6|0|1|3|(-2*b1*s2*A3_3*B2_1+4*b1*A2_1*B2_0-4*b1*A2_1*B2_2-4*b1*A2_3*B2_0+4*b1*A2_3*B2_2+b4*s2*A2_2*B2_0-b4*s2*A2_2*B2_2+b4*A2_2*B2_0-b4*A2_2*B2_2+2*s2*A2_0*B2_0-4*s2*A2_0*B2_2+4*A2_0*B2_0-4*A2_0*B2_2)
7|0|1|2|(-2*b2*s2*A3_3*B2_1+3*b2*A2_1*B2_0-3*b2*A2_1*B2_2-3*b2*A2_3*B2_0+3*b2*A2_3*B2_2-3*b5*s2*A2_1*B2_1-2*b5*s2*A2_2*B2_0+4*b5*s2*A2_2*B2_2+b5*s2*A2_3*B2_1-b5*A2_1*B2_1-4*b5*A2_2*B2_0+4*b5*A2_2*B2_2+b5*A2_3*B2_1-s2*A3_0*B2_1+s2*A3_1*B2_0-3*s2*A3_1*B2_2+3*s2*A3_2*B2_1-3*A3_0*B2_1+3*A3_1*B2_0-3*A3_1*B2_2+3*A3_2*B2_1)
8|0|1|1|(-2*b3*s2*A3_3*B2_1+2*b3*A2_1*B2_0-2*b3*A2_1*B2_2-2*b3*A2_3*B2_0+2*b3*A2_3*B2_2-2*b5*s2*A2_0*B2_1-2*s2*A3_3*B2_2+2*A3_3*B2_0-2*A3_3*B2_2)
9|0|1|0|(b4*A2_1*B2_0-b4*A2_1*B2_2-b4*A2_3*B2_0+b4*A2_3*B2_2+2*b5^2*s2*A2_2*B2_1)
10|0|0|4|(-b1*s2*A2_1*B2_0-b1*A2_1*B2_2-b4*A2_2*B2_0+b4*A2_2*B2_2+s2*A2_0*B2_0-4*A2_0*B2_0+5*A2_0*B2_2)
11|0|0|3|(-b1*b4*A2_2*B2_0+b1*b4*A2_2*B2_2-4*b1*A2_0*B2_0+4*b1*A2_0*B2_2-b2*s2*A2_1*B2_0+b2*A2_1*B2_0-2*b2*A2_1*B2_2+b5*s2*A2_1*B2_1-b5*s2*A2_2*B2_0+b5*A2_1*B2_1+4*b5*A2_2*B2_0-5*b5*A2_2*B2_2-s2*A3_0*B2_1+s2*A3_1*B2_0+3*A3_0*B2_1-3*A3_1*B2_0+4*A3_1*B2_2-4*A3_2*B2_1)
12|0|0|2|(4*b1*b5*A2_2*B2_0-4*b1*b5*A2_2*B2_2+3*b1*A3_0*B2_1-3*b1*A3_1*B2_0+3*b1*A3_1*B2_2-3*b1*A3_2*B2_1-b2*b4*A2_2*B2_0+b2*b4*A2_2*B2_2-3*b2*A2_0*B2_0+3*b2*A2_0*B2_2-b3*s2*A2_1*B2_0+2*b3*A2_1*B2_0-3*b3*A2_1*B2_2+b5*s2*A2_0*B2_1+b5*A2_0*B2_1+s2*A3_3*B2_0-2*A3_3*B2_0+3*A3_3*B2_2)
13|0|0|1|(-2*b1*A3_3*B2_0+2*b1*A3_3*B2_2+3*b2*b5*A2_2*B2_0-3*b2*b5*A2_2*B2_2+2*b2*A3_0*B2_1-2*b2*A3_1*B2_0+2*b2*A3_1*B2_2-2*b2*A3_2*B2_1-b3*b4*A2_2*B2_0+b3*b4*A2_2*B2_2-2*b3*A2_0*B2_0+2*b3*A2_0*B2_2-b4*s2*A2_1*B2_0-b4*s2*A3_3*B2_1+3*b4*A2_1*B2_0-4*b4*A2_1*B2_2-b4*A3_3*B2_1-b5^2*s2*A2_2*B2_1-b5^2*A2_2*B2_1)
14|0|0|0|(-b2*A3_3*B2_0+b2*A3_3*B2_2+2*b3*b5*A2_2*B2_0-2*b3*b5*A2_2*B2_2+b3*A3_0*B2_1-b3*A3_1*B2_0+b3*A3_1*B2_2-b3*A3_2*B2_1-b4^2*A2_2*B2_0+b4^2*A2_2*B2_2-b4*A2_0*B2_0+b4*A2_0*B2_2-b5*s2*A2_1*B2_0-b5*s2*A3_3*B2_1+4*b5*A2_1*B2_0-5*b5*A2_1*B2_2-b5*A3_3*B2_1+A3_0*B2_2-A3_2*B2_0)
15|1|2|2|(6*s2*A3_0-6*s2*A3_2)
16|1|2|1|(-5*s2*A2_2*B2_0+5*s2*A2_2*B2_2)
17|1|1|3|(-4*s2*A3_0+8*s2*A3_2-8*A3_0+8*A3_2)
18|1|1|2|(2*s2*A2_1*B2_1+3*s2*A2_2*B2_0-7*s2*A2_2*B2_2+2*s2*A2_3*B2_1-2*A2_1*B2_1+7*A2_2*B2_0-7*A2_2*B2_2+2*A2_3*B2_1)
19|1|1|1|(4*b4*s2*A3_3+4*b5*s2*A3_1+2*s2*A2_0*B2_1)
20|1|1|0|(-4*b5*s2*A2_2*B2_1+8*b5*s2*A3_3)
21|1|0|4|(-2*s2*A3_0+8*A3_0-10*A3_2)
22|1|0|3|(8*b1*A3_0-8*b1*A3_2-2*s2*A2_1*B2_1+2*s2*A2_2*B2_0+2*A2_1*B2_1-7*A2_2*B2_0+9*A2_2*B2_2-4*A2_3*B2_1)
23|1|0|2|(3*b1*A2_1*B2_1-7*b1*A2_2*B2_0+7*b1*A2_2*B2_2-3*b1*A2_3*B2_1+6*b2*A3_0-6*b2*A3_2-2*b4*s2*A3_3-2*b4*A3_3-2*b5*s2*A3_1-2*b5*A3_1-s2*A2_0*B2_1-A2_0*B2_1)
24|1|0|1|(2*b2*A2_1*B2_1-5*b2*A2_2*B2_0+5*b2*A2_2*B2_2-2*b2*A2_3*B2_1+4*b3*A3_0-4*b3*A3_2+2*b5*s2*A2_2*B2_1-4*b5*s2*A3_3+2*b5*A2_2*B2_1-4*b5*A3_3)
25|1|0|0|(b3*A2_1*B2_1-3*b3*A2_2*B2_0+3*b3*A2_2*B2_2-b3*A2_3*B2_1+2*b4*A3_0-2*b4*A3_2+s2*A2_1*B2_0+s2*A3_3*B2_1-4*A2_1*B2_0+6*A2_1*B2_2-A2_3*B2_0+A3_3*B2_1)
26|2|2|2|(6*s2*A2_1-6*s2*A2_3-9*s2*B2_0+9*s2*B2_2)
27|2|1|3|(-4*s2*A2_1+8*s2*A2_3+6*s2*B2_0-12*s2*B2_2-8*A2_1+8*A2_3+12*B2_0-12*B2_2)
28|2|1|1|(4*b5*s2*A2_2-6*b5*s2*B2_1-4*s2*A3_1)
29|2|1|0|(2*s2*A2_2*B2_1-8*s2*A3_3)
30|2|0|4|(-2*s2*A2_1+3*s2*B2_0+8*A2_1-10*A2_3-12*B2_0+15*B2_2)
31|2|0|3|(8*b1*A2_1-8*b1*A2_3-12*b1*B2_0+12*b1*B2_2)
32|2|0|2|(6*b2*A2_1-6*b2*A2_3-9*b2*B2_0+9*b2*B2_2-2*b5*s2*A2_2+3*b5*s2*B2_1-2*b5*A2_2+3*b5*B2_1+2*s2*A3_1+2*A3_1)
33|2|0|1|(4*b3*A2_1-4*b3*A2_3-6*b3*B2_0+6*b3*B2_2-s2*A2_2*B2_1+4*s2*A3_3-A2_2*B2_1+4*A3_3)
34|2|0|0|(2*b4*A2_1-2*b4*A2_3-3*b4*B2_0+3*b4*B2_2)
35|3|1|1|(-4*s2*A2_2+6*s2*B2_1)
36|3|0|2|(2*s2*A2_2-3*s2*B2_1+2*A2_2-3*B2_1)
