source_index|h_power|x_power|y_power|expr
0|0|2|3|(4*A3_1*B2_0-4*A3_3*B2_0)
1|0|1|4|(-8*A3_1*B2_0+10*A3_3*B2_0)
2|0|1|3|(-2*b7*A2_0*B2_0)
3|0|1|2|(2*b6*A3_2*B2_0+2*b7^2*A2_1*B2_0)
4|0|1|1|(2*b7*A3_2*B2_0)
5|0|1|0|(-c)
6|0|0|5|(4*A3_1*B2_0-6*A3_3*B2_0)
7|0|0|4|(5*b1*A3_1*B2_0-5*b1*A3_3*B2_0+2*b7*A2_0*B2_0)
8|0|0|3|(4*b2*A3_1*B2_0-4*b2*A3_3*B2_0-2*b6*A3_2*B2_0-2*b7^2*A2_1*B2_0)
9|0|0|2|(3*b3*A3_1*B2_0-3*b3*A3_3*B2_0-2*b7*A3_2*B2_0)
10|0|0|1|(2*b4*A3_1*B2_0-2*b4*A3_3*B2_0)
11|0|0|0|(b5*A3_1*B2_0-b5*A3_3*B2_0)
12|1|2|4|(10*A3_1-10*A3_3)
13|1|1|5|(-20*A3_1+24*A3_3)
14|1|1|3|(4*b6*A3_2+4*b7*A3_0+2*A2_0*B2_0)
15|1|1|2|(-4*b7*A2_1*B2_0+8*b7*A3_2)
16|1|1|1|(-2*A3_2*B2_0)
17|1|0|6|(10*A3_1-14*A3_3)
18|1|0|5|(12*b1*A3_1-12*b1*A3_3)
19|1|0|4|(10*b2*A3_1-10*b2*A3_3-4*b6*A3_2-4*b7*A3_0-2*A2_0*B2_0)
20|1|0|3|(8*b3*A3_1-8*b3*A3_3+4*b7*A2_1*B2_0-8*b7*A3_2)
21|1|0|2|(6*b4*A3_1-6*b4*A3_3+2*A3_2*B2_0)
22|1|0|1|(4*b5*A3_1-4*b5*A3_3)
23|1|0|0|(2*b6*A3_1-2*b6*A3_3)
24|2|1|3|(4*b7*A2_1-6*b7*B2_0-4*A3_0)
25|2|1|2|(2*A2_1*B2_0-8*A3_2)
26|2|0|4|(-4*b7*A2_1+6*b7*B2_0+4*A3_0)
27|2|0|3|(-2*A2_1*B2_0+8*A3_2)
28|3|1|3|(-4*A2_1+6*B2_0)
29|3|0|4|(4*A2_1-6*B2_0)
