step|source_index|h_power|x_power|y_power|variable|coefficient_Qstar|rhs
1|516|7|0|0|A1_0_2|-18|1/6*h0_0_4^3*A1_1_4-2*h0_0_4^2*A1_0_4-2/3*h0_0_4*h0_1_3*A1_0_4-1/2*h0_0_4*h0_0_3*A1_1_4-1/6*h0_0_4^2*A1_1_3+2*h0_0_3*A1_0_4+2/3*h0_1_2*A1_0_4+1/2*h0_0_2*A1_1_4+3/2*h0_0_4*A1_0_3+1/2*h0_1_3*A1_0_3+1/3*h0_0_3*A1_1_3+1/6*h0_0_4*A1_1_2-5/6*A1_1_1
2|515|7|0|1|A1_0_3|-27|-1/9*h0_0_4^2*A1_1_4+4/3*h0_0_4*A1_0_4+4/9*h0_1_3*A1_0_4+2/9*h0_0_3*A1_1_4+1/9*h0_0_4*A1_1_3-5/9*A1_1_2
3|514|7|0|2|A1_0_4|-36|1/12*h0_0_4*A1_1_4-5/12*A1_1_3
4|513|7|0|3|A1_1_4|-15|0
5|512|7|1|0|A1_1_2|-12|-1/2*h0_0_4^2*A1_2_3-1/4*h0_0_4*A1_1_3-5/6*h0_1_3*A1_1_3-5/6*h0_2_2*A1_1_3+h0_0_3*A1_2_3+1/2*h0_0_4*A1_2_2
6|511|7|1|1|A1_1_3|-21|2/7*h0_0_4*A1_2_3-10/7*A1_2_2
7|510|7|1|2|A1_2_3|-30|0
8|509|7|2|0|A1_2_2|-6|3/2*h0_0_4*A1_3_2
9|508|7|2|1|A1_3_2|-45|0
10|504|6|0|2|A2_0_4|-36|1/12*h0_1_2*A1_0_1-1/6*h0_0_2*A1_1_1-5/36*h0_1_1*A1_1_1+1/12*h0_0_4*A2_1_4-5/36*h0_0_4*B2_1_4-5/12*A2_1_3+5/3*B2_0_4+25/36*B2_1_3
11|503|6|0|3|A2_1_4|-15|1/5*h0_1_3*A1_0_1-3/5*h0_0_3*A1_1_1-1/3*h0_1_2*A1_1_1+5/3*B2_1_4
12|502|6|0|4|A1_0_1|-9|-4/3*h0_0_4*A1_1_1-5/9*h0_1_3*A1_1_1
13|501|6|1|0|A2_0_3|-27|68/135*h0_0_4^3*h0_1_3*A1_1_1+29/81*h0_0_4^2*h0_1_3^2*A1_1_1+5/81*h0_0_4*h0_1_3^3*A1_1_1-8/405*h0_0_4^2*h0_1_3*h0_2_2*A1_1_1-2/243*h0_0_4*h0_1_3^2*h0_2_2*A1_1_1+17/15*h0_0_4^2*h0_0_3*A1_1_1-13/45*h0_0_4*h0_0_3*h0_1_3*A1_1_1-7/27*h0_0_3*h0_1_3^2*A1_1_1+1/27*h0_0_4^2*h0_1_2*A1_1_1-229/405*h0_0_4*h0_1_3*h0_1_2*A1_1_1-17/81*h0_1_3^2*h0_1_2*A1_1_1-2/45*h0_0_4*h0_0_3*h0_2_2*A1_1_1-10/81*h0_0_4*h0_1_2*h0_2_2*A1_1_1-10/243*h0_1_3*h0_1_2*h0_2_2*A1_1_1+2/9*h0_0_4^3*A2_2_4-10/27*h0_0_4^3*B2_2_4-7/5*h0_0_3^2*A1_1_1-8/9*h0_0_4*h0_0_2*A1_1_1-4/9*h0_1_3*h0_0_2*A1_1_1-56/45*h0_0_3*h0_1_2*A1_1_1-7/27*h0_1_2^2*A1_1_1-4/27*h0_0_2*h0_2_2*A1_1_1-20/27*h0_0_4*h0_1_1*A1_1_1-10/27*h0_1_3*h0_1_1*A1_1_1-10/81*h0_2_2*h0_1_1*A1_1_1-2/3*h0_0_4*h0_0_3*A2_2_4-2/9*h0_0_4^2*A2_2_3+10/9*h0_0_4*h0_0_3*B2_2_4+10/27*h0_0_4^2*B2_2_3+2/3*h0_0_2*A2_2_4-5/9*h0_0_4*A2_1_3-5/9*h0_1_3*A2_1_3-10/27*h0_2_2*A2_1_3+4/9*h0_0_3*A2_2_3+2/9*h0_0_4*A2_2_2-10/9*h0_0_2*B2_2_4-110/81*A1_1_1*B2_2_4+25/27*h0_0_4*B2_1_3+25/27*h0_1_3*B2_1_3+50/81*h0_2_2*B2_1_3-20/27*h0_0_3*B2_2_3-10/27*h0_0_4*B2_2_2-A2_1_2+5/3*B2_0_3+5/3*B2_1_2
