step|source_index|h_power|x_power|y_power|variable|coefficient_Qstar|rhs
1|50|13|0|1|a4_1|7|10/7*q4_1
2|49|12|0|1|a5_1|7|9/7*a1_0*q4_1+10/7*q5_1
3|48|11|0|1|a6_1|7|8/7*a2_0*q4_1-50/49*q2_0*q4_1+9/7*a1_0*q5_1+10/7*q6_1
4|47|10|0|0|a7_2|14|15/49*q4_1^2+10/7*q7_1
5|46|10|0|1|a7_1|7|-45/49*a1_0*q2_0*q4_1-40/49*q3_0*q4_1+8/7*a2_0*q5_1-50/49*q2_0*q5_1+9/7*a1_0*q6_1+10/7*q7_0
6|45|9|0|0|a8_2|14|-15/49*b4*q4_1^2+9/49*a1_0*q4_1^2+30/49*q4_1*q5_1+9/7*a1_0*q7_1
7|44|9|0|1|a8_1|7|-40/49*a2_0*q2_0*q4_1+250/343*q2_0^2*q4_1-36/49*a1_0*q3_0*q4_1+15/49*b3*q4_1^2-45/49*a1_0*q2_0*q5_1+6/7*a4_0*q4_1-30/49*q4_0*q4_1-40/49*q3_0*q5_1+8/7*a2_0*q6_1-50/49*q2_0*q6_1+9/7*a1_0*q7_0
8|43|8|0|0|a9_2|14|-9/49*b4*a1_0*q4_1^2+4/49*a2_0*q4_1^2-100/343*q2_0*q4_1^2-30/49*b4*q4_1*q5_1+18/49*a1_0*q4_1*q5_1+15/49*q5_1^2+30/49*q4_1*q6_1+8/7*a2_0*q7_1-50/49*q2_0*q7_1
9|42|8|0|1|a9_1|7|225/343*a1_0*q2_0^2*q4_1+9/49*b3*a1_0*q4_1^2-32/49*a2_0*q3_0*q4_1+400/343*q2_0*q3_0*q4_1-27/49*a1_0*q4_0*q4_1-40/49*a2_0*q2_0*q5_1+250/343*q2_0^2*q5_1-36/49*a1_0*q3_0*q5_1+30/49*b3*q4_1*q5_1-45/49*a1_0*q2_0*q6_1+5/7*a5_0*q4_1-20/49*q4_1*q5_0+6/7*a4_0*q5_1-30/49*q4_0*q5_1-40/49*q3_0*q6_1+8/7*a2_0*q7_0-50/49*q2_0*q7_0
10|41|7|0|0|a10_2|14|-4/49*b4*a2_0*q4_1^2+100/343*b4*q2_0*q4_1^2-45/343*a1_0*q2_0*q4_1^2-18/49*b4*a1_0*q4_1*q5_1-60/343*q3_0*q4_1^2+8/49*a2_0*q4_1*q5_1-200/343*q2_0*q4_1*q5_1-15/49*b4*q5_1^2+9/49*a1_0*q5_1^2-30/49*b4*q4_1*q6_1+18/49*a1_0*q4_1*q6_1-45/49*a1_0*q2_0*q7_1+30/49*q5_1*q6_1+30/49*q4_1*q7_0-40/49*q3_0*q7_1
11|40|7|0|1|a10_1|7|200/343*a2_0*q2_0^2*q4_1-1250/2401*q2_0^3*q4_1+360/343*a1_0*q2_0*q3_0*q4_1+4/49*b3*a2_0*q4_1^2-100/343*b3*q2_0*q4_1^2+225/343*a1_0*q2_0^2*q5_1+18/49*b3*a1_0*q4_1*q5_1-30/49*a4_0*q2_0*q4_1+160/343*q3_0^2*q4_1-24/49*a2_0*q4_0*q4_1+300/343*q2_0*q4_0*q4_1-18/49*a1_0*q4_1*q5_0-32/49*a2_0*q3_0*q5_1+400/343*q2_0*q3_0*q5_1-27/49*a1_0*q4_0*q5_1+15/49*b3*q5_1^2-40/49*a2_0*q2_0*q6_1+250/343*q2_0^2*q6_1-36/49*a1_0*q3_0*q6_1+30/49*b3*q4_1*q6_1-45/49*a1_0*q2_0*q7_0+4/7*a6_0*q4_1+5/7*a5_0*q5_1-20/49*q5_0*q5_1-10/49*q4_1*q6_0+6/7*a4_0*q6_1-30/49*q4_0*q6_1-40/49*q3_0*q7_0
12|36|6|0|3|a10_0|-28|15/343*q4_1^3-45/98*q4_1*q7_1+3/4*a10_3
13|35|6|1|2|a10_3|-21/4|-20/343*q4_1^3+30/49*q4_1*q7_1
