source_index|h_power|x_power|y_power|min_weight|max_weight|homogeneous
0|0|1|2|63|63|1
1|0|1|1|64|64|1
2|0|1|0|65|65|1
3|0|0|3|63|63|1
4|0|0|2|64|64|1
5|0|0|1|65|65|1
6|0|0|0|66|66|1
7|1|1|2|59|59|1
8|1|1|1|60|60|1
9|1|0|3|59|59|1
10|1|0|2|60|60|1
11|1|0|1|61|61|1
12|1|0|0|62|62|1
13|2|1|2|55|55|1
14|2|1|1|56|56|1
15|2|0|3|55|55|1
16|2|0|2|56|56|1
17|2|0|1|57|57|1
18|2|0|0|58|58|1
19|3|1|2|51|51|1
20|3|1|1|52|52|1
21|3|0|3|51|51|1
22|3|0|2|52|52|1
23|3|0|1|53|53|1
24|3|0|0|54|54|1
25|4|1|2|47|47|1
26|4|0|3|47|47|1
27|4|0|2|48|48|1
28|4|0|1|49|49|1
29|4|0|0|50|50|1
30|5|1|2|43|43|1
31|5|0|3|43|43|1
32|5|0|2|44|44|1
33|5|0|1|45|45|1
34|5|0|0|46|46|1
