
=== (99,66)  (8 admissible rows) ===
 # M                      d                    V           d_s  v_s  u_s  v_s/u_s  ell      (n(,m()  6.4 auto
-------------------------------------------------------------------------------------------------------------
 1 (-66, -22, 97)         (99, 33, 11, 1)      (1, 9)       11    9    2      9/2    6      (18,12)     False
 2 (-66, 22, 97)          (99, 33, 11, 1)      (1, 7)       11    7    4      7/4    2      (36,24)     False
 3 (-66, 22, 97)          (99, 33, 11, 1)      (5, 7)       11    7    4      7/4    2      (36,24)     False
 4 (-66, 22, 97)          (99, 33, 11, 1)      (1, 8)       11    8    3      8/3    4      (27,18)     False
 5 (-66, 22, 97)          (99, 33, 11, 1)      (1, 10)      11   10    1       10    8        (9,6)      True
 6 (-66, 55, 97)          (99, 33, 11, 1)      (2, 10)      11   10    1       10    8        (9,6)      True
 7 (-66, 77, 97)          (99, 33, 11, 1)      (8, 7)       11    7    4      7/4    2      (36,24)     False
 8 (-66, 77, 97)          (99, 33, 11, 1)      (8, 8)       11    8    3      8/3    4      (27,18)     False

=== (108,72)  (199 admissible rows) ===
 # M                      d                    V           d_s  v_s  u_s  v_s/u_s  ell      (n(,m()  6.4 auto
-------------------------------------------------------------------------------------------------------------
 1 (-72, 40, 106)         (108, 36, 4, 2)      (1, 3)        4    3    1        3    1      (27,18)      True
 2 (-72, 56, 106)         (108, 36, 4, 2)      (1, 3)        4    3    1        3    1      (27,18)      True
 3 (-72, 64, 106)         (108, 36, 4, 2)      (1, 3)        4    3    1        3    1      (27,18)      True
 4 (-72, 42, 106)         (108, 36, 6, 2)      (1, 5)        6    5    1        5    3      (18,12)      True
 5 (-72, 66, 106)         (108, 36, 6, 2)      (1, 5)        6    5    1        5    3      (18,12)      True
 6 (-72, 81, 106)         (108, 36, 9, 1)      (7, 6)        9    6    3        2    2      (36,24)     False
 7 (-72, 81, 106)         (108, 36, 9, 1)      (7, 7)        9    7    2      7/2    4      (24,16)     False
 8 (-72, -24, 106)        (108, 36, 12, 2)     (1, 11)      12   11    1       11    9        (9,6)      True
 9 (-72, 48, 106)         (108, 36, 12, 2)     (1, 7)       12    7    5      7/5    1      (45,30)     False
10 (-72, 48, 106)         (108, 36, 12, 2)     (1, 9)       12    9    3        3    5      (27,18)     False
11 (-72, 48, 106)         (108, 36, 12, 2)     (1, 11)      12   11    1       11    9        (9,6)      True
12 (-72, 84, 106)         (108, 36, 12, 2)     (8, 7)       12    7    5      7/5    1      (45,30)     False
13 (-72, 96, 106)         (108, 36, 12, 2)     (17, 8)      12    8    4        2    3      (36,24)     False
14 (-72, -60, -40, 106)   (108, 36, 12, 4, 2)  (1, 9, 3)     4    3    1        3    1      (27,18)      True
15 (-72, -60, -40, 106)   (108, 36, 12, 4, 2)  (2, 9, 3)     4    3    1        3    1      (27,18)      True
16 (-72, -60, -20, 106)   (108, 36, 12, 4, 2)  (1, 9, 3)     4    3    1        3    1      (27,18)      True
17 (-72, -60, -20, 106)   (108, 36, 12, 4, 2)  (2, 9, 3)     4    3    1        3    1      (27,18)      True
18 (-72, -60, 20, 106)    (108, 36, 12, 4, 2)  (1, 9, 3)     4    3    1        3    1      (27,18)      True
19 (-72, -60, 20, 106)    (108, 36, 12, 4, 2)  (2, 9, 3)     4    3    1        3    1      (27,18)      True
20 (-72, -60, 40, 106)    (108, 36, 12, 4, 2)  (1, 9, 3)     4    3    1        3    1      (27,18)      True
21 (-72, -60, 40, 106)    (108, 36, 12, 4, 2)  (2, 9, 3)     4    3    1        3    1      (27,18)      True
22 (-72, -60, 80, 106)    (108, 36, 12, 4, 2)  (1, 9, 3)     4    3    1        3    1      (27,18)      True
23 (-72, -60, 80, 106)    (108, 36, 12, 4, 2)  (2, 9, 3)     4    3    1        3    1      (27,18)      True
24 (-72, -60, 100, 106)   (108, 36, 12, 4, 2)  (1, 4, 3)     4    3    1        3    1      (27,18)      True
25 (-72, -60, 100, 106)   (108, 36, 12, 4, 2)  (1, 9, 3)     4    3    1        3    1      (27,18)      True
26 (-72, -60, 100, 106)   (108, 36, 12, 4, 2)  (2, 9, 3)     4    3    1        3    1      (27,18)      True
27 (-72, -48, 68, 106)    (108, 36, 12, 4, 2)  (1, 9, 3)     4    3    1        3    1      (27,18)      True
28 (-72, -48, 68, 106)    (108, 36, 12, 4, 2)  (2, 9, 3)     4    3    1        3    1      (27,18)      True
29 (-72, -24, 4, 106)     (108, 36, 12, 4, 2)  (1, 9, 3)     4    3    1        3    1      (27,18)      True
30 (-72, -24, 4, 106)     (108, 36, 12, 4, 2)  (2, 9, 3)     4    3    1        3    1      (27,18)      True
31 (-72, -24, 4, 106)     (108, 36, 12, 4, 2)  (20, 9, 3)    4    3    1        3    1      (27,18)      True
32 (-72, -24, 32, 106)    (108, 36, 12, 4, 2)  (1, 9, 3)     4    3    1        3    1      (27,18)      True
33 (-72, -24, 32, 106)    (108, 36, 12, 4, 2)  (2, 9, 3)     4    3    1        3    1      (27,18)      True
34 (-72, -24, 88, 106)    (108, 36, 12, 4, 2)  (1, 2, 3)     4    3    1        3    1      (27,18)      True
35 (-72, -24, 88, 106)    (108, 36, 12, 4, 2)  (1, 9, 3)     4    3    1        3    1      (27,18)      True
36 (-72, -24, 88, 106)    (108, 36, 12, 4, 2)  (2, 9, 3)     4    3    1        3    1      (27,18)      True
37 (-72, -24, 104, 106)   (108, 36, 12, 4, 2)  (1, 7, 3)     4    3    1        3    1      (27,18)      True
