admissible rows 48<=n<=100 (Kmin=16, full (1)-(13)): 592
  u_s=1 (Prop 6.4 automatic): 457
  u_s>=2 (hypothesis live)  : 135
  u_s<=0 (no minor disc)    : 0

LIVE  n= 48 m= 32 M=(-32, 24, 46) d=(48, 16, 8, 2) V=(3, 5) d_s=8 v_s=5 u_s=3 v/u=5/3 ell=1 -> (18,12)
AUTO  n= 48 m= 32 M=(-32, -8, 36, 46) d=(48, 16, 8, 4, 2) V=(2, 1, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (12,8)
AUTO  n= 54 m= 36 M=(-36, 24, 52) d=(54, 18, 6, 2) V=(1, 5) d_s=6 v_s=5 u_s=1 v/u=5 ell=3 -> (9,6)
LIVE  n= 54 m= 36 M=(-36, 27, 52) d=(54, 18, 9, 1) V=(3, 7) d_s=9 v_s=7 u_s=2 v/u=7/2 ell=4 -> (12,8)
AUTO  n= 60 m= 40 M=(-40, 24, 58) d=(60, 20, 4, 2) V=(1, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (15,10)
AUTO  n= 60 m= 40 M=(-40, 32, 58) d=(60, 20, 4, 2) V=(1, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (15,10)
LIVE  n= 60 m= 40 M=(-40, -10, 58) d=(60, 20, 10, 2) V=(2, 7) d_s=10 v_s=7 u_s=3 v/u=7/3 ell=3 -> (18,12)
LIVE  n= 60 m= 40 M=(-40, 10, 58) d=(60, 20, 10, 2) V=(1, 8) d_s=10 v_s=8 u_s=2 v/u=4 ell=5 -> (12,8)
AUTO  n= 60 m= 40 M=(-40, 10, 58) d=(60, 20, 10, 2) V=(1, 9) d_s=10 v_s=9 u_s=1 v/u=9 ell=7 -> (6,4)
AUTO  n= 60 m= 40 M=(-40, 30, 58) d=(60, 20, 10, 2) V=(1, 9) d_s=10 v_s=9 u_s=1 v/u=9 ell=7 -> (6,4)
LIVE  n= 60 m= 40 M=(-40, 50, 58) d=(60, 20, 10, 2) V=(11, 7) d_s=10 v_s=7 u_s=3 v/u=7/3 ell=3 -> (18,12)
AUTO  n= 60 m= 40 M=(-40, -10, 15, 58) d=(60, 20, 10, 5, 1) V=(1, 8, 4) d_s=5 v_s=4 u_s=1 v/u=4 ell=2 -> (12,8)
AUTO  n= 60 m= 40 M=(-40, -10, 45, 58) d=(60, 20, 10, 5, 1) V=(1, 8, 4) d_s=5 v_s=4 u_s=1 v/u=4 ell=2 -> (12,8)
AUTO  n= 60 m= 40 M=(-40, -10, 45, 58) d=(60, 20, 10, 5, 1) V=(2, 8, 4) d_s=5 v_s=4 u_s=1 v/u=4 ell=2 -> (12,8)
AUTO  n= 60 m= 40 M=(-40, -10, 45, 58) d=(60, 20, 10, 5, 1) V=(11, 8, 4) d_s=5 v_s=4 u_s=1 v/u=4 ell=2 -> (12,8)
AUTO  n= 60 m= 40 M=(-40, 10, 15, 58) d=(60, 20, 10, 5, 1) V=(1, 8, 4) d_s=5 v_s=4 u_s=1 v/u=4 ell=2 -> (12,8)
AUTO  n= 60 m= 40 M=(-40, 10, 15, 58) d=(60, 20, 10, 5, 1) V=(3, 8, 4) d_s=5 v_s=4 u_s=1 v/u=4 ell=2 -> (12,8)
